"Plot Title: 1_1_0_0_0_Development"
"#","Date Time, GMT-05:00","Intensity, lum/ft² (LGR S/N: 1262011, SEN S/N: 1262011, LBL: light)","Coupler Attached (LGR S/N: 1262011)","Host Connected (LGR S/N: 1262011)","End Of File (LGR S/N: 1262011)"
1,12/11/15 04:28:00 PM,12.0,,,
2,12/11/15 04:28:01 PM,9.0,,,
3,12/11/15 04:28:02 PM,12.0,,,
4,12/11/15 04:28:03 PM,11.0,,,
5,12/11/15 04:28:04 PM,9.0,,,
6,12/11/15 04:28:05 PM,7.0,,,
7,12/11/15 04:28:06 PM,7.0,,,
8,12/11/15 04:28:07 PM,6.0,,,
9,12/11/15 04:28:08 PM,8.0,,,
10,12/11/15 04:28:09 PM,9.0,,,
11,12/11/15 04:28:10 PM,9.0,,,
12,12/11/15 04:28:11 PM,9.0,,,
13,12/11/15 04:28:12 PM,8.0,,,
14,12/11/15 04:28:13 PM,8.0,,,
15,12/11/15 04:28:14 PM,8.0,,,
16,12/11/15 04:28:15 PM,8.0,,,
17,12/11/15 04:28:16 PM,8.0,,,
18,12/11/15 04:28:17 PM,8.0,,,
19,12/11/15 04:28:18 PM,8.0,,,
20,12/11/15 04:28:19 PM,8.0,,,
21,12/11/15 04:28:20 PM,8.0,,,
22,12/11/15 04:28:21 PM,8.0,,,
23,12/11/15 04:28:22 PM,8.0,,,
24,12/11/15 04:28:23 PM,8.0,,,
25,12/11/15 04:28:24 PM,8.0,,,
26,12/11/15 04:28:25 PM,8.0,,,
27,12/11/15 04:28:26 PM,8.0,,,
28,12/11/15 04:28:27 PM,8.0,,,
29,12/11/15 04:28:28 PM,8.0,,,
30,12/11/15 04:28:29 PM,8.0,,,
31,12/11/15 04:28:30 PM,8.0,,,
32,12/11/15 04:28:31 PM,8.0,,,
33,12/11/15 04:28:32 PM,8.0,,,
34,12/11/15 04:28:33 PM,8.0,,,
35,12/11/15 04:28:34 PM,8.0,,,
36,12/11/15 04:28:35 PM,8.0,,,
37,12/11/15 04:28:36 PM,8.0,,,
38,12/11/15 04:28:37 PM,8.0,,,
39,12/11/15 04:28:38 PM,8.0,,,
40,12/11/15 04:28:39 PM,8.0,,,
41,12/11/15 04:28:40 PM,8.0,,,
42,12/11/15 04:28:41 PM,8.0,,,
43,12/11/15 04:28:42 PM,8.0,,,
44,12/11/15 04:28:43 PM,8.0,,,
45,12/11/15 04:28:44 PM,8.0,,,
46,12/11/15 04:28:45 PM,8.0,,,
47,12/11/15 04:28:46 PM,8.0,,,
48,12/11/15 04:28:47 PM,8.0,,,
49,12/11/15 04:28:48 PM,8.0,,,
50,12/11/15 04:28:49 PM,9.0,,,
51,12/11/15 04:28:50 PM,9.0,,,
52,12/11/15 04:28:51 PM,9.0,,,
53,12/11/15 04:28:52 PM,9.0,,,
54,12/11/15 04:28:53 PM,9.0,,,
55,12/11/15 04:28:54 PM,9.0,,,
56,12/11/15 04:28:55 PM,9.0,,,
57,12/11/15 04:28:56 PM,9.0,,,
58,12/11/15 04:28:57 PM,10.0,,,
59,12/11/15 04:28:58 PM,10.0,,,
60,12/11/15 04:28:59 PM,10.0,,,
61,12/11/15 04:29:00 PM,10.0,,,
62,12/11/15 04:29:01 PM,10.0,,,
63,12/11/15 04:29:02 PM,10.0,,,
64,12/11/15 04:29:03 PM,11.0,,,
65,12/11/15 04:29:04 PM,11.0,,,
66,12/11/15 04:29:05 PM,12.0,,,
67,12/11/15 04:29:06 PM,12.0,,,
68,12/11/15 04:29:07 PM,12.0,,,
69,12/11/15 04:29:08 PM,11.0,,,
70,12/11/15 04:29:09 PM,8.0,,,
71,12/11/15 04:29:10 PM,7.0,,,
72,12/11/15 04:29:11 PM,7.0,,,
73,12/11/15 04:29:12 PM,8.0,,,
74,12/11/15 04:29:13 PM,9.0,,,
75,12/11/15 04:29:14 PM,9.0,,,
76,12/11/15 04:29:15 PM,10.0,,,
77,12/11/15 04:29:16 PM,9.0,,,
78,12/11/15 04:29:17 PM,8.0,,,
79,12/11/15 04:29:18 PM,8.0,,,
80,12/11/15 04:29:19 PM,8.0,,,
81,12/11/15 04:29:20 PM,8.0,,,
82,12/11/15 04:29:21 PM,8.0,,,
83,12/11/15 04:29:22 PM,8.0,,,
84,12/11/15 04:29:23 PM,8.0,,,
85,12/11/15 04:29:24 PM,8.0,,,
86,12/11/15 04:29:25 PM,8.0,,,
87,12/11/15 04:29:26 PM,8.0,,,
88,12/11/15 04:29:27 PM,9.0,,,
89,12/11/15 04:29:28 PM,9.0,,,
90,12/11/15 04:29:29 PM,9.0,,,
91,12/11/15 04:29:30 PM,9.0,,,
92,12/11/15 04:29:31 PM,9.0,,,
93,12/11/15 04:29:32 PM,9.0,,,
94,12/11/15 04:29:33 PM,9.0,,,
95,12/11/15 04:29:34 PM,9.0,,,
96,12/11/15 04:29:35 PM,9.0,,,
97,12/11/15 04:29:36 PM,9.0,,,
98,12/11/15 04:29:37 PM,9.0,,,
99,12/11/15 04:29:38 PM,9.0,,,
100,12/11/15 04:29:39 PM,9.0,,,
101,12/11/15 04:29:40 PM,9.0,,,
102,12/11/15 04:29:41 PM,9.0,,,
103,12/11/15 04:29:42 PM,9.0,,,
104,12/11/15 04:29:43 PM,9.0,,,
105,12/11/15 04:29:44 PM,9.0,,,
106,12/11/15 04:29:45 PM,9.0,,,
107,12/11/15 04:29:46 PM,9.0,,,
108,12/11/15 04:29:47 PM,9.0,,,
109,12/11/15 04:29:48 PM,9.0,,,
110,12/11/15 04:29:49 PM,9.0,,,
111,12/11/15 04:29:50 PM,9.0,,,
112,12/11/15 04:29:51 PM,9.0,,,
113,12/11/15 04:29:52 PM,9.0,,,
114,12/11/15 04:29:53 PM,9.0,,,
115,12/11/15 04:29:54 PM,9.0,,,
116,12/11/15 04:29:55 PM,9.0,,,
117,12/11/15 04:29:56 PM,9.0,,,
118,12/11/15 04:29:57 PM,10.0,,,
119,12/11/15 04:29:58 PM,10.0,,,
120,12/11/15 04:29:59 PM,10.0,,,
121,12/11/15 04:30:00 PM,10.0,,,
122,12/11/15 04:30:01 PM,10.0,,,
123,12/11/15 04:30:02 PM,10.0,,,
124,12/11/15 04:30:03 PM,8.0,,,
125,12/11/15 04:30:04 PM,0.0,,,
126,12/11/15 04:30:05 PM,0.0,,,
127,12/11/15 04:30:06 PM,0.0,,,
128,12/11/15 04:30:07 PM,0.0,,,
129,12/11/15 04:30:08 PM,0.0,,,
130,12/11/15 04:30:09 PM,0.0,,,
131,12/11/15 04:30:10 PM,0.0,,,
132,12/11/15 04:30:11 PM,0.0,,,
133,12/11/15 04:30:12 PM,0.0,,,
134,12/11/15 04:30:13 PM,0.0,,,
135,12/11/15 04:30:14 PM,0.0,,,
136,12/11/15 04:30:15 PM,0.0,,,
137,12/11/15 04:30:16 PM,0.0,,,
138,12/11/15 04:30:17 PM,0.0,Logged,Logged,
139,12/11/15 04:30:18 PM,0.0,,,
140,12/11/15 04:30:19 PM,0.0,,,
141,12/11/15 04:30:20 PM,0.0,,,
142,12/11/15 04:30:21 PM,0.0,,,
143,12/11/15 04:30:22 PM,0.0,,,
