"Plot Title: 1_9_0_0_0_Development"
"#","Date Time, GMT-05:00","Intensity, lum/ft² (LGR S/N: 1262011, SEN S/N: 1262011, LBL: light)","Coupler Attached (LGR S/N: 1262011)","Host Connected (LGR S/N: 1262011)","Stopped (LGR S/N: 1262011)","End Of File (LGR S/N: 1262011)"
1,12/12/15 06:44:00 PM,9.0,,,,
2,12/12/15 06:44:01 PM,9.0,,,,
3,12/12/15 06:44:02 PM,9.0,,,,
4,12/12/15 06:44:03 PM,9.0,,,,
5,12/12/15 06:44:04 PM,10.0,,,,
6,12/12/15 06:44:05 PM,7.0,,,,
7,12/12/15 06:44:06 PM,7.0,,,,
8,12/12/15 06:44:07 PM,7.0,,,,
9,12/12/15 06:44:08 PM,8.0,,,,
10,12/12/15 06:44:09 PM,7.0,,,,
11,12/12/15 06:44:10 PM,8.0,,,,
12,12/12/15 06:44:11 PM,8.0,,,,
13,12/12/15 06:44:12 PM,8.0,,,,
14,12/12/15 06:44:13 PM,6.0,,,,
15,12/12/15 06:44:14 PM,6.0,,,,
16,12/12/15 06:44:15 PM,8.0,,,,
17,12/12/15 06:44:16 PM,8.0,,,,
18,12/12/15 06:44:17 PM,8.0,,,,
19,12/12/15 06:44:18 PM,8.0,,,,
20,12/12/15 06:44:19 PM,8.0,,,,
21,12/12/15 06:44:20 PM,8.0,,,,
22,12/12/15 06:44:21 PM,8.0,,,,
23,12/12/15 06:44:22 PM,8.0,,,,
24,12/12/15 06:44:23 PM,8.0,,,,
25,12/12/15 06:44:24 PM,7.0,,,,
26,12/12/15 06:44:25 PM,7.0,,,,
27,12/12/15 06:44:26 PM,7.0,,,,
28,12/12/15 06:44:27 PM,7.0,,,,
29,12/12/15 06:44:28 PM,7.0,,,,
30,12/12/15 06:44:29 PM,7.0,,,,
31,12/12/15 06:44:30 PM,7.0,,,,
32,12/12/15 06:44:31 PM,7.0,,,,
33,12/12/15 06:44:32 PM,7.0,,,,
34,12/12/15 06:44:33 PM,8.0,,,,
35,12/12/15 06:44:34 PM,8.0,,,,
36,12/12/15 06:44:35 PM,8.0,,,,
37,12/12/15 06:44:36 PM,8.0,,,,
38,12/12/15 06:44:37 PM,8.0,,,,
39,12/12/15 06:44:38 PM,8.0,,,,
40,12/12/15 06:44:39 PM,8.0,,,,
41,12/12/15 06:44:40 PM,8.0,,,,
42,12/12/15 06:44:41 PM,8.0,,,,
43,12/12/15 06:44:42 PM,8.0,,,,
44,12/12/15 06:44:43 PM,8.0,,,,
45,12/12/15 06:44:44 PM,8.0,,,,
46,12/12/15 06:44:45 PM,8.0,,,,
47,12/12/15 06:44:46 PM,8.0,,,,
48,12/12/15 06:44:47 PM,8.0,,,,
49,12/12/15 06:44:48 PM,8.0,,,,
50,12/12/15 06:44:49 PM,8.0,,,,
51,12/12/15 06:44:50 PM,8.0,,,,
52,12/12/15 06:44:51 PM,8.0,,,,
53,12/12/15 06:44:52 PM,8.0,,,,
54,12/12/15 06:44:53 PM,8.0,,,,
55,12/12/15 06:44:54 PM,8.0,,,,
56,12/12/15 06:44:55 PM,8.0,,,,
57,12/12/15 06:44:56 PM,8.0,,,,
58,12/12/15 06:44:57 PM,8.0,,,,
59,12/12/15 06:44:58 PM,8.0,,,,
60,12/12/15 06:44:59 PM,8.0,,,,
61,12/12/15 06:45:00 PM,8.0,,,,
62,12/12/15 06:45:01 PM,8.0,,,,
63,12/12/15 06:45:02 PM,8.0,,,,
64,12/12/15 06:45:03 PM,8.0,,,,
65,12/12/15 06:45:04 PM,8.0,,,,
66,12/12/15 06:45:05 PM,8.0,,,,
67,12/12/15 06:45:06 PM,8.0,,,,
68,12/12/15 06:45:07 PM,8.0,,,,
69,12/12/15 06:45:08 PM,8.0,,,,
70,12/12/15 06:45:09 PM,8.0,,,,
71,12/12/15 06:45:10 PM,8.0,,,,
72,12/12/15 06:45:11 PM,8.0,,,,
73,12/12/15 06:45:12 PM,8.0,,,,
74,12/12/15 06:45:13 PM,8.0,,,,
75,12/12/15 06:45:14 PM,8.0,,,,
76,12/12/15 06:45:15 PM,8.0,,,,
77,12/12/15 06:45:16 PM,8.0,,,,
78,12/12/15 06:45:17 PM,8.0,,,,
79,12/12/15 06:45:18 PM,8.0,,,,
80,12/12/15 06:45:19 PM,8.0,,,,
81,12/12/15 06:45:20 PM,8.0,,,,
82,12/12/15 06:45:21 PM,8.0,,,,
83,12/12/15 06:45:22 PM,8.0,,,,
84,12/12/15 06:45:23 PM,7.0,,,,
85,12/12/15 06:45:24 PM,7.0,,,,
86,12/12/15 06:45:25 PM,7.0,,,,
87,12/12/15 06:45:26 PM,7.0,,,,
88,12/12/15 06:45:27 PM,7.0,,,,
89,12/12/15 06:45:28 PM,7.0,,,,
90,12/12/15 06:45:29 PM,7.0,,,,
91,12/12/15 06:45:30 PM,7.0,,,,
92,12/12/15 06:45:31 PM,7.0,,,,
93,12/12/15 06:45:32 PM,7.0,,,,
94,12/12/15 06:45:33 PM,7.0,,,,
95,12/12/15 06:45:34 PM,7.0,,,,
96,12/12/15 06:45:35 PM,7.0,,,,
97,12/12/15 06:45:36 PM,7.0,,,,
98,12/12/15 06:45:37 PM,7.0,,,,
