"Plot Title: 2_10_1_9_1_3Development"
"#","Date Time, GMT-05:00","Intensity, lum/ft² (LGR S/N: 1262011, SEN S/N: 1262011, LBL: light)","Coupler Attached (LGR S/N: 1262011)","Host Connected (LGR S/N: 1262011)","Stopped (LGR S/N: 1262011)","End Of File (LGR S/N: 1262011)"
1,12/14/15 05:30:00 PM,8.0,,,,
2,12/14/15 05:30:01 PM,7.0,,,,
3,12/14/15 05:30:02 PM,7.0,,,,
4,12/14/15 05:30:03 PM,7.0,,,,
5,12/14/15 05:30:04 PM,7.0,,,,
6,12/14/15 05:30:05 PM,6.0,,,,
7,12/14/15 05:30:06 PM,6.0,,,,
8,12/14/15 05:30:07 PM,6.0,,,,
9,12/14/15 05:30:08 PM,6.0,,,,
10,12/14/15 05:30:09 PM,6.0,,,,
11,12/14/15 05:30:10 PM,6.0,,,,
12,12/14/15 05:30:11 PM,6.0,,,,
13,12/14/15 05:30:12 PM,6.0,,,,
14,12/14/15 05:30:13 PM,6.0,,,,
15,12/14/15 05:30:14 PM,6.0,,,,
16,12/14/15 05:30:15 PM,6.0,,,,
17,12/14/15 05:30:16 PM,6.0,,,,
18,12/14/15 05:30:17 PM,6.0,,,,
19,12/14/15 05:30:18 PM,6.0,,,,
20,12/14/15 05:30:19 PM,6.0,,,,
21,12/14/15 05:30:20 PM,6.0,,,,
22,12/14/15 05:30:21 PM,6.0,,,,
23,12/14/15 05:30:22 PM,6.0,,,,
24,12/14/15 05:30:23 PM,5.0,,,,
25,12/14/15 05:30:24 PM,5.0,,,,
26,12/14/15 05:30:25 PM,5.0,,,,
27,12/14/15 05:30:26 PM,5.0,,,,
28,12/14/15 05:30:27 PM,5.0,,,,
29,12/14/15 05:30:28 PM,5.0,,,,
30,12/14/15 05:30:29 PM,6.0,,,,
31,12/14/15 05:30:30 PM,6.0,,,,
32,12/14/15 05:30:31 PM,6.0,,,,
33,12/14/15 05:30:32 PM,6.0,,,,
34,12/14/15 05:30:33 PM,6.0,,,,
35,12/14/15 05:30:34 PM,6.0,,,,
36,12/14/15 05:30:35 PM,6.0,,,,
37,12/14/15 05:30:36 PM,6.0,,,,
38,12/14/15 05:30:37 PM,6.0,,,,
39,12/14/15 05:30:38 PM,6.0,,,,
40,12/14/15 05:30:39 PM,6.0,,,,
41,12/14/15 05:30:40 PM,6.0,,,,
42,12/14/15 05:30:41 PM,6.0,,,,
43,12/14/15 05:30:42 PM,6.0,,,,
44,12/14/15 05:30:43 PM,6.0,,,,
45,12/14/15 05:30:44 PM,6.0,,,,
46,12/14/15 05:30:45 PM,6.0,,,,
47,12/14/15 05:30:46 PM,6.0,,,,
48,12/14/15 05:30:47 PM,6.0,,,,
49,12/14/15 05:30:48 PM,6.0,,,,
50,12/14/15 05:30:49 PM,6.0,,,,
51,12/14/15 05:30:50 PM,6.0,,,,
52,12/14/15 05:30:51 PM,5.0,,,,
53,12/14/15 05:30:52 PM,6.0,,,,
54,12/14/15 05:30:53 PM,5.0,,,,
55,12/14/15 05:30:54 PM,5.0,,,,
56,12/14/15 05:30:55 PM,5.0,,,,
57,12/14/15 05:30:56 PM,5.0,,,,
58,12/14/15 05:30:57 PM,5.0,,,,
59,12/14/15 05:30:58 PM,4.0,,,,
60,12/14/15 05:30:59 PM,4.0,,,,
61,12/14/15 05:31:00 PM,4.0,,,,
62,12/14/15 05:31:01 PM,4.0,,,,
63,12/14/15 05:31:02 PM,4.0,,,,
64,12/14/15 05:31:03 PM,4.0,,,,
65,12/14/15 05:31:04 PM,4.0,,,,
66,12/14/15 05:31:05 PM,4.0,,,,
67,12/14/15 05:31:06 PM,4.0,,,,
68,12/14/15 05:31:07 PM,4.0,,,,
69,12/14/15 05:31:08 PM,6.0,,,,
70,12/14/15 05:31:09 PM,5.0,,,,
71,12/14/15 05:31:10 PM,6.0,,,,
72,12/14/15 05:31:11 PM,6.0,,,,
73,12/14/15 05:31:12 PM,6.0,,,,
74,12/14/15 05:31:13 PM,6.0,,,,
75,12/14/15 05:31:14 PM,6.0,,,,
76,12/14/15 05:31:15 PM,6.0,,,,
77,12/14/15 05:31:16 PM,6.0,,,,
78,12/14/15 05:31:17 PM,6.0,,,,
79,12/14/15 05:31:18 PM,6.0,,,,
80,12/14/15 05:31:19 PM,6.0,,,,
81,12/14/15 05:31:20 PM,6.0,,,,
82,12/14/15 05:31:21 PM,6.0,,,,
83,12/14/15 05:31:22 PM,6.0,,,,
84,12/14/15 05:31:23 PM,6.0,,,,
85,12/14/15 05:31:24 PM,6.0,,,,
86,12/14/15 05:31:25 PM,6.0,,,,
87,12/14/15 05:31:26 PM,6.0,,,,
88,12/14/15 05:31:27 PM,6.0,,,,
89,12/14/15 05:31:28 PM,6.0,,,,
90,12/14/15 05:31:29 PM,6.0,,,,
91,12/14/15 05:31:30 PM,6.0,,,,
92,12/14/15 05:31:31 PM,6.0,,,,
93,12/14/15 05:31:32 PM,6.0,,,,
94,12/14/15 05:31:33 PM,6.0,,,,
95,12/14/15 05:31:34 PM,6.0,,,,
96,12/14/15 05:31:35 PM,6.0,,,,
97,12/14/15 05:31:36 PM,6.0,,,,
98,12/14/15 05:31:37 PM,6.0,,,,
99,12/14/15 05:31:38 PM,6.0,,,,
100,12/14/15 05:31:39 PM,6.0,,,,
101,12/14/15 05:31:40 PM,6.0,,,,
102,12/14/15 05:31:41 PM,6.0,,,,
103,12/14/15 05:31:42 PM,6.0,,,,
104,12/14/15 05:31:43 PM,6.0,,,,
105,12/14/15 05:31:44 PM,6.0,,,,
106,12/14/15 05:31:45 PM,6.0,,,,
107,12/14/15 05:31:46 PM,7.0,,,,
108,12/14/15 05:31:47 PM,7.0,,,,
109,12/14/15 05:31:48 PM,7.0,,,,
110,12/14/15 05:31:49 PM,7.0,,,,
111,12/14/15 05:31:50 PM,7.0,,,,
112,12/14/15 05:31:51 PM,7.0,,,,
113,12/14/15 05:31:52 PM,7.0,,,,
114,12/14/15 05:31:53 PM,7.0,,,,
115,12/14/15 05:31:54 PM,6.0,,,,
116,12/14/15 05:31:55 PM,6.0,,,,
117,12/14/15 05:31:56 PM,6.0,,,,
118,12/14/15 05:31:57 PM,6.0,,,,
119,12/14/15 05:31:58 PM,6.0,,,,
120,12/14/15 05:31:59 PM,6.0,,,,
121,12/14/15 05:32:00 PM,6.0,,,,
122,12/14/15 05:32:01 PM,2.0,,,,
123,12/14/15 05:32:02 PM,0.0,,,,
124,12/14/15 05:32:03 PM,0.0,,,,
125,12/14/15 05:32:04 PM,0.0,,,,
126,12/14/15 05:32:05 PM,0.0,,,,
127,12/14/15 05:32:06 PM,0.0,,,,
128,12/14/15 05:32:07 PM,0.0,,,,
129,12/14/15 05:32:08 PM,0.0,,,,
130,12/14/15 05:32:09 PM,0.0,,,,
131,12/14/15 05:32:10 PM,0.0,,,,
132,12/14/15 05:32:11 PM,0.0,,,,
133,12/14/15 05:32:12 PM,0.0,,,,
134,12/14/15 05:32:13 PM,0.0,,,,
135,12/14/15 05:32:14 PM,0.0,,,,
136,12/14/15 05:32:15 PM,0.0,,,,
137,12/14/15 05:32:16 PM,0.0,,,,
138,12/14/15 05:32:17 PM,0.0,,,,
139,12/14/15 05:32:18 PM,0.0,,,,
140,12/14/15 05:32:19 PM,0.0,Logged,Logged,,
141,12/14/15 05:32:20 PM,0.0,,,,
142,12/14/15 05:32:21 PM,0.0,,,,
143,12/14/15 05:32:22 PM,0.0,,,,
144,12/14/15 05:32:23 PM,0.0,,,,
145,12/14/15 05:32:24 PM,0.0,,,,
146,12/14/15 05:32:25 PM,0.0,,,,
147,12/14/15 05:32:26 PM,0.0,,,Logged,Logged
