"Plot Title: 2_6_1_6_1_2Developmen"
"#","Date Time, GMT-05:00","Intensity, lum/ft² (LGR S/N: 1262011, SEN S/N: 1262011, LBL: light)","Coupler Attached (LGR S/N: 1262011)","Host Connected (LGR S/N: 1262011)","Stopped (LGR S/N: 1262011)","End Of File (LGR S/N: 1262011)"
1,12/14/15 05:12:00 PM,9.0,,,,
2,12/14/15 05:12:01 PM,10.0,,,,
3,12/14/15 05:12:02 PM,10.0,,,,
4,12/14/15 05:12:03 PM,9.0,,,,
5,12/14/15 05:12:04 PM,8.0,,,,
6,12/14/15 05:12:05 PM,7.0,,,,
7,12/14/15 05:12:06 PM,7.0,,,,
8,12/14/15 05:12:07 PM,7.0,,,,
9,12/14/15 05:12:08 PM,6.0,,,,
10,12/14/15 05:12:09 PM,6.0,,,,
11,12/14/15 05:12:10 PM,6.0,,,,
12,12/14/15 05:12:11 PM,6.0,,,,
13,12/14/15 05:12:12 PM,6.0,,,,
14,12/14/15 05:12:13 PM,6.0,,,,
15,12/14/15 05:12:14 PM,6.0,,,,
16,12/14/15 05:12:15 PM,7.0,,,,
17,12/14/15 05:12:16 PM,7.0,,,,
18,12/14/15 05:12:17 PM,7.0,,,,
19,12/14/15 05:12:18 PM,7.0,,,,
20,12/14/15 05:12:19 PM,7.0,,,,
21,12/14/15 05:12:20 PM,7.0,,,,
22,12/14/15 05:12:21 PM,7.0,,,,
23,12/14/15 05:12:22 PM,7.0,,,,
24,12/14/15 05:12:23 PM,7.0,,,,
25,12/14/15 05:12:24 PM,6.0,,,,
26,12/14/15 05:12:25 PM,6.0,,,,
27,12/14/15 05:12:26 PM,6.0,,,,
28,12/14/15 05:12:27 PM,6.0,,,,
29,12/14/15 05:12:28 PM,6.0,,,,
30,12/14/15 05:12:29 PM,6.0,,,,
31,12/14/15 05:12:30 PM,6.0,,,,
32,12/14/15 05:12:31 PM,6.0,,,,
33,12/14/15 05:12:32 PM,6.0,,,,
34,12/14/15 05:12:33 PM,7.0,,,,
35,12/14/15 05:12:34 PM,7.0,,,,
36,12/14/15 05:12:35 PM,7.0,,,,
37,12/14/15 05:12:36 PM,7.0,,,,
38,12/14/15 05:12:37 PM,7.0,,,,
39,12/14/15 05:12:38 PM,7.0,,,,
40,12/14/15 05:12:39 PM,7.0,,,,
41,12/14/15 05:12:40 PM,7.0,,,,
42,12/14/15 05:12:41 PM,7.0,,,,
43,12/14/15 05:12:42 PM,6.0,,,,
44,12/14/15 05:12:43 PM,6.0,,,,
45,12/14/15 05:12:44 PM,6.0,,,,
46,12/14/15 05:12:45 PM,6.0,,,,
47,12/14/15 05:12:46 PM,6.0,,,,
48,12/14/15 05:12:47 PM,6.0,,,,
49,12/14/15 05:12:48 PM,6.0,,,,
50,12/14/15 05:12:49 PM,6.0,,,,
51,12/14/15 05:12:50 PM,6.0,,,,
52,12/14/15 05:12:51 PM,6.0,,,,
53,12/14/15 05:12:52 PM,6.0,,,,
54,12/14/15 05:12:53 PM,6.0,,,,
55,12/14/15 05:12:54 PM,6.0,,,,
56,12/14/15 05:12:55 PM,6.0,,,,
57,12/14/15 05:12:56 PM,6.0,,,,
58,12/14/15 05:12:57 PM,6.0,,,,
59,12/14/15 05:12:58 PM,6.0,,,,
60,12/14/15 05:12:59 PM,6.0,,,,
61,12/14/15 05:13:00 PM,6.0,,,,
62,12/14/15 05:13:01 PM,6.0,,,,
63,12/14/15 05:13:02 PM,6.0,,,,
64,12/14/15 05:13:03 PM,6.0,,,,
65,12/14/15 05:13:04 PM,6.0,,,,
66,12/14/15 05:13:05 PM,6.0,,,,
67,12/14/15 05:13:06 PM,6.0,,,,
68,12/14/15 05:13:07 PM,6.0,,,,
69,12/14/15 05:13:08 PM,6.0,,,,
70,12/14/15 05:13:09 PM,6.0,,,,
71,12/14/15 05:13:10 PM,6.0,,,,
72,12/14/15 05:13:11 PM,6.0,,,,
73,12/14/15 05:13:12 PM,6.0,,,,
74,12/14/15 05:13:13 PM,6.0,,,,
75,12/14/15 05:13:14 PM,6.0,,,,
76,12/14/15 05:13:15 PM,6.0,,,,
77,12/14/15 05:13:16 PM,6.0,,,,
78,12/14/15 05:13:17 PM,6.0,,,,
79,12/14/15 05:13:18 PM,7.0,,,,
80,12/14/15 05:13:19 PM,6.0,,,,
81,12/14/15 05:13:20 PM,6.0,,,,
82,12/14/15 05:13:21 PM,6.0,,,,
83,12/14/15 05:13:22 PM,6.0,,,,
84,12/14/15 05:13:23 PM,6.0,,,,
85,12/14/15 05:13:24 PM,6.0,,,,
86,12/14/15 05:13:25 PM,6.0,,,,
87,12/14/15 05:13:26 PM,6.0,,,,
88,12/14/15 05:13:27 PM,6.0,,,,
89,12/14/15 05:13:28 PM,6.0,,,,
90,12/14/15 05:13:29 PM,6.0,,,,
91,12/14/15 05:13:30 PM,6.0,,,,
92,12/14/15 05:13:31 PM,6.0,,,,
93,12/14/15 05:13:32 PM,6.0,,,,
94,12/14/15 05:13:33 PM,6.0,,,,
95,12/14/15 05:13:34 PM,6.0,,,,
96,12/14/15 05:13:35 PM,6.0,,,,
97,12/14/15 05:13:36 PM,6.0,,,,
98,12/14/15 05:13:37 PM,6.0,,,,
99,12/14/15 05:13:38 PM,6.0,,,,
100,12/14/15 05:13:39 PM,6.0,,,,
101,12/14/15 05:13:40 PM,6.0,,,,
102,12/14/15 05:13:41 PM,6.0,,,,
103,12/14/15 05:13:42 PM,6.0,,,,
104,12/14/15 05:13:43 PM,6.0,,,,
105,12/14/15 05:13:44 PM,6.0,,,,
106,12/14/15 05:13:45 PM,6.0,,,,
107,12/14/15 05:13:46 PM,6.0,,,,
108,12/14/15 05:13:47 PM,6.0,,,,
109,12/14/15 05:13:48 PM,6.0,,,,
110,12/14/15 05:13:49 PM,6.0,,,,
111,12/14/15 05:13:50 PM,6.0,,,,
112,12/14/15 05:13:51 PM,6.0,,,,
113,12/14/15 05:13:52 PM,6.0,,,,
114,12/14/15 05:13:53 PM,6.0,,,,
115,12/14/15 05:13:54 PM,6.0,,,,
116,12/14/15 05:13:55 PM,6.0,,,,
117,12/14/15 05:13:56 PM,6.0,,,,
118,12/14/15 05:13:57 PM,6.0,,,,
119,12/14/15 05:13:58 PM,6.0,,,,
120,12/14/15 05:13:59 PM,6.0,,,,
121,12/14/15 05:14:00 PM,6.0,,,,
122,12/14/15 05:14:01 PM,6.0,,,,
123,12/14/15 05:14:02 PM,6.0,,,,
124,12/14/15 05:14:03 PM,5.0,,,,
125,12/14/15 05:14:04 PM,0.0,,,,
126,12/14/15 05:14:05 PM,0.0,,,,
127,12/14/15 05:14:06 PM,0.0,,,,
128,12/14/15 05:14:07 PM,0.0,,,,
129,12/14/15 05:14:08 PM,0.0,,,,
130,12/14/15 05:14:09 PM,0.0,,,,
131,12/14/15 05:14:10 PM,0.0,,,,
132,12/14/15 05:14:11 PM,0.0,,,,
133,12/14/15 05:14:12 PM,0.0,,,,
134,12/14/15 05:14:13 PM,0.0,,,,
135,12/14/15 05:14:14 PM,0.0,,,,
136,12/14/15 05:14:15 PM,0.0,,,,
137,12/14/15 05:14:16 PM,0.0,Logged,Logged,,
138,12/14/15 05:14:17 PM,0.0,,,,
139,12/14/15 05:14:18 PM,0.0,,,,
140,12/14/15 05:14:19 PM,0.0,,,,
141,12/14/15 05:14:20 PM,0.0,,,,
142,12/14/15 05:14:21 PM,0.0,,,,
143,12/14/15 05:14:22 PM,0.0,,,,
144,12/14/15 05:14:23 PM,0.0,,,,
145,12/14/15 05:14:24 PM,0.0,,,Logged,Logged
