"Plot Title: stationary"
"#","Date Time, GMT-05:00","Intensity, lum/ft² (LGR S/N: 1262011, SEN S/N: 1262011, LBL: light)","Host Connected (LGR S/N: 1262011)","Coupler Attached (LGR S/N: 1262011)","Stopped (LGR S/N: 1262011)","End Of File (LGR S/N: 1262011)"
1,12/15/15 07:48:00 PM,9.0,,,,
2,12/15/15 07:48:01 PM,9.0,,,,
3,12/15/15 07:48:02 PM,9.0,,,,
4,12/15/15 07:48:03 PM,9.0,,,,
5,12/15/15 07:48:04 PM,9.0,,,,
6,12/15/15 07:48:05 PM,9.0,,,,
7,12/15/15 07:48:06 PM,9.0,,,,
8,12/15/15 07:48:07 PM,9.0,,,,
9,12/15/15 07:48:08 PM,9.0,,,,
10,12/15/15 07:48:09 PM,9.0,,,,
11,12/15/15 07:48:10 PM,9.0,,,,
12,12/15/15 07:48:11 PM,10.0,,,,
13,12/15/15 07:48:12 PM,10.0,,,,
14,12/15/15 07:48:13 PM,10.0,,,,
15,12/15/15 07:48:14 PM,10.0,,,,
16,12/15/15 07:48:15 PM,10.0,,,,
17,12/15/15 07:48:16 PM,10.0,,,,
18,12/15/15 07:48:17 PM,10.0,,,,
19,12/15/15 07:48:18 PM,10.0,,,,
20,12/15/15 07:48:19 PM,10.0,,,,
21,12/15/15 07:48:20 PM,10.0,,,,
22,12/15/15 07:48:21 PM,10.0,,,,
23,12/15/15 07:48:22 PM,10.0,,,,
24,12/15/15 07:48:23 PM,10.0,,,,
25,12/15/15 07:48:24 PM,10.0,,,,
26,12/15/15 07:48:25 PM,9.0,,,,
27,12/15/15 07:48:26 PM,9.0,,,,
28,12/15/15 07:48:27 PM,9.0,,,,
29,12/15/15 07:48:28 PM,9.0,,,,
30,12/15/15 07:48:29 PM,9.0,,,,
31,12/15/15 07:48:30 PM,9.0,,,,
32,12/15/15 07:48:31 PM,9.0,,,,
33,12/15/15 07:48:32 PM,9.0,,,,
34,12/15/15 07:48:33 PM,9.0,,,,
35,12/15/15 07:48:34 PM,9.0,,,,
36,12/15/15 07:48:35 PM,9.0,,,,
37,12/15/15 07:48:36 PM,9.0,,,,
38,12/15/15 07:48:37 PM,9.0,,,,
39,12/15/15 07:48:38 PM,9.0,,,,
40,12/15/15 07:48:39 PM,9.0,,,,
41,12/15/15 07:48:40 PM,9.0,,,,
42,12/15/15 07:48:41 PM,9.0,,,,
43,12/15/15 07:48:42 PM,9.0,,,,
44,12/15/15 07:48:43 PM,9.0,,,,
45,12/15/15 07:48:44 PM,9.0,,,,
46,12/15/15 07:48:45 PM,9.0,,,,
47,12/15/15 07:48:46 PM,9.0,,,,
48,12/15/15 07:48:47 PM,9.0,,,,
49,12/15/15 07:48:48 PM,9.0,,,,
50,12/15/15 07:48:49 PM,9.0,,,,
51,12/15/15 07:48:50 PM,9.0,,,,
52,12/15/15 07:48:51 PM,9.0,,,,
53,12/15/15 07:48:52 PM,9.0,,,,
54,12/15/15 07:48:53 PM,9.0,,,,
55,12/15/15 07:48:54 PM,9.0,,,,
56,12/15/15 07:48:55 PM,9.0,,,,
57,12/15/15 07:48:56 PM,9.0,,,,
58,12/15/15 07:48:57 PM,9.0,,,,
59,12/15/15 07:48:58 PM,9.0,,,,
60,12/15/15 07:48:59 PM,9.0,,,,
61,12/15/15 07:49:00 PM,9.0,,,,
62,12/15/15 07:49:01 PM,9.0,,,,
63,12/15/15 07:49:02 PM,9.0,,,,
64,12/15/15 07:49:03 PM,9.0,,,,
65,12/15/15 07:49:04 PM,9.0,,,,
66,12/15/15 07:49:05 PM,9.0,,,,
67,12/15/15 07:49:06 PM,9.0,,,,
68,12/15/15 07:49:07 PM,10.0,,,,
69,12/15/15 07:49:08 PM,9.0,,,,
70,12/15/15 07:49:09 PM,9.0,,,,
71,12/15/15 07:49:10 PM,9.0,,,,
72,12/15/15 07:49:11 PM,10.0,,,,
73,12/15/15 07:49:12 PM,9.0,,,,
74,12/15/15 07:49:13 PM,10.0,,,,
75,12/15/15 07:49:14 PM,10.0,,,,
76,12/15/15 07:49:15 PM,10.0,,,,
77,12/15/15 07:49:16 PM,10.0,,,,
78,12/15/15 07:49:17 PM,10.0,,,,
79,12/15/15 07:49:18 PM,10.0,,,,
80,12/15/15 07:49:19 PM,10.0,,,,
81,12/15/15 07:49:20 PM,10.0,,,,
82,12/15/15 07:49:21 PM,10.0,,,,
83,12/15/15 07:49:22 PM,10.0,,,,
84,12/15/15 07:49:23 PM,10.0,,,,
85,12/15/15 07:49:24 PM,10.0,,,,
86,12/15/15 07:49:25 PM,10.0,,,,
87,12/15/15 07:49:26 PM,10.0,,,,
88,12/15/15 07:49:27 PM,10.0,,,,
89,12/15/15 07:49:28 PM,10.0,,,,
90,12/15/15 07:49:29 PM,10.0,,,,
91,12/15/15 07:49:30 PM,10.0,,,,
92,12/15/15 07:49:31 PM,10.0,,,,
93,12/15/15 07:49:32 PM,10.0,,,,
94,12/15/15 07:49:33 PM,10.0,,,,
95,12/15/15 07:49:34 PM,10.0,,,,
96,12/15/15 07:49:35 PM,10.0,,,,
97,12/15/15 07:49:36 PM,10.0,,,,
98,12/15/15 07:49:37 PM,10.0,,,,
99,12/15/15 07:49:38 PM,10.0,,,,
100,12/15/15 07:49:39 PM,10.0,,,,
101,12/15/15 07:49:40 PM,10.0,,,,
102,12/15/15 07:49:41 PM,10.0,,,,
103,12/15/15 07:49:42 PM,10.0,,,,
104,12/15/15 07:49:43 PM,10.0,,,,
105,12/15/15 07:49:44 PM,10.0,,,,
106,12/15/15 07:49:45 PM,9.0,,,,
107,12/15/15 07:49:46 PM,9.0,,,,
108,12/15/15 07:49:47 PM,9.0,,,,
109,12/15/15 07:49:48 PM,9.0,,,,
110,12/15/15 07:49:49 PM,9.0,,,,
111,12/15/15 07:49:50 PM,9.0,,,,
112,12/15/15 07:49:51 PM,9.0,,,,
113,12/15/15 07:49:52 PM,9.0,,,,
114,12/15/15 07:49:53 PM,9.0,,,,
115,12/15/15 07:49:54 PM,9.0,,,,
116,12/15/15 07:49:55 PM,9.0,,,,
117,12/15/15 07:49:56 PM,9.0,,,,
118,12/15/15 07:49:57 PM,9.0,,,,
119,12/15/15 07:49:58 PM,9.0,,,,
120,12/15/15 07:49:59 PM,9.0,,,,
121,12/15/15 07:50:00 PM,9.0,,,,
122,12/15/15 07:50:01 PM,9.0,,,,
123,12/15/15 07:50:02 PM,9.0,,,,
124,12/15/15 07:50:03 PM,9.0,,,,
125,12/15/15 07:50:04 PM,9.0,,,,
126,12/15/15 07:50:05 PM,9.0,,,,
127,12/15/15 07:50:06 PM,9.0,,,,
128,12/15/15 07:50:07 PM,1.0,,,,
129,12/15/15 07:50:08 PM,0.0,,,,
130,12/15/15 07:50:09 PM,0.0,,,,
131,12/15/15 07:50:10 PM,0.0,,,,
132,12/15/15 07:50:11 PM,0.0,,,,
133,12/15/15 07:50:12 PM,0.0,,,,
134,12/15/15 07:50:13 PM,0.0,,,,
135,12/15/15 07:50:14 PM,0.0,,,,
136,12/15/15 07:50:15 PM,0.0,,,,
137,12/15/15 07:50:16 PM,0.0,,,,
138,12/15/15 07:50:17 PM,0.0,,,,
139,12/15/15 07:50:18 PM,0.0,Logged,,,
140,12/15/15 07:50:19 PM,0.0,,Logged,,
141,12/15/15 07:50:20 PM,0.0,,,,
142,12/15/15 07:50:21 PM,0.0,,,,
143,12/15/15 07:50:22 PM,0.0,,,,
144,12/15/15 07:50:23 PM,0.0,,,,
145,12/15/15 07:50:24 PM,0.0,,,,
146,12/15/15 07:50:25 PM,0.0,,,,
147,12/15/15 07:50:26 PM,0.0,,,,
148,12/15/15 07:50:27 PM,0.0,,,Logged,Logged
