"Plot Title: 1_0_0_0_0_0Random selection, Development"
"#","Date Time, GMT-05:00","Intensity, lum/ft² (LGR S/N: 1262011, SEN S/N: 1262011, LBL: light)","Coupler Attached (LGR S/N: 1262011)","Host Connected (LGR S/N: 1262011)","Stopped (LGR S/N: 1262011)","End Of File (LGR S/N: 1262011)"
1,12/16/15 02:19:00 PM,10.0,,,,
2,12/16/15 02:19:01 PM,8.0,,,,
3,12/16/15 02:19:02 PM,7.0,,,,
4,12/16/15 02:19:03 PM,7.0,,,,
5,12/16/15 02:19:04 PM,6.0,,,,
6,12/16/15 02:19:05 PM,6.0,,,,
7,12/16/15 02:19:06 PM,6.0,,,,
8,12/16/15 02:19:07 PM,5.0,,,,
9,12/16/15 02:19:08 PM,5.0,,,,
10,12/16/15 02:19:09 PM,4.0,,,,
11,12/16/15 02:19:10 PM,4.0,,,,
12,12/16/15 02:19:11 PM,4.0,,,,
13,12/16/15 02:19:12 PM,4.0,,,,
14,12/16/15 02:19:13 PM,4.0,,,,
15,12/16/15 02:19:14 PM,4.0,,,,
16,12/16/15 02:19:15 PM,5.0,,,,
17,12/16/15 02:19:16 PM,6.0,,,,
18,12/16/15 02:19:17 PM,6.0,,,,
19,12/16/15 02:19:18 PM,6.0,,,,
20,12/16/15 02:19:19 PM,6.0,,,,
21,12/16/15 02:19:20 PM,6.0,,,,
22,12/16/15 02:19:21 PM,6.0,,,,
23,12/16/15 02:19:22 PM,6.0,,,,
24,12/16/15 02:19:23 PM,6.0,,,,
25,12/16/15 02:19:24 PM,6.0,,,,
26,12/16/15 02:19:25 PM,6.0,,,,
27,12/16/15 02:19:26 PM,6.0,,,,
28,12/16/15 02:19:27 PM,6.0,,,,
29,12/16/15 02:19:28 PM,6.0,,,,
30,12/16/15 02:19:29 PM,5.0,,,,
31,12/16/15 02:19:30 PM,6.0,,,,
32,12/16/15 02:19:31 PM,6.0,,,,
33,12/16/15 02:19:32 PM,7.0,,,,
34,12/16/15 02:19:33 PM,7.0,,,,
35,12/16/15 02:19:34 PM,7.0,,,,
36,12/16/15 02:19:35 PM,7.0,,,,
37,12/16/15 02:19:36 PM,7.0,,,,
38,12/16/15 02:19:37 PM,8.0,,,,
39,12/16/15 02:19:38 PM,8.0,,,,
40,12/16/15 02:19:39 PM,7.0,,,,
41,12/16/15 02:19:40 PM,7.0,,,,
42,12/16/15 02:19:41 PM,7.0,,,,
43,12/16/15 02:19:42 PM,7.0,,,,
44,12/16/15 02:19:43 PM,6.0,,,,
45,12/16/15 02:19:44 PM,6.0,,,,
46,12/16/15 02:19:45 PM,5.0,,,,
47,12/16/15 02:19:46 PM,4.0,,,,
48,12/16/15 02:19:47 PM,4.0,,,,
49,12/16/15 02:19:48 PM,4.0,,,,
50,12/16/15 02:19:49 PM,4.0,,,,
51,12/16/15 02:19:50 PM,4.0,,,,
52,12/16/15 02:19:51 PM,4.0,,,,
53,12/16/15 02:19:52 PM,5.0,,,,
54,12/16/15 02:19:53 PM,6.0,,,,
55,12/16/15 02:19:54 PM,6.0,,,,
56,12/16/15 02:19:55 PM,7.0,,,,
57,12/16/15 02:19:56 PM,7.0,,,,
