"Plot Title: 1_2_0_0_0_0Random selection, Development"
"#","Date Time, GMT-05:00","Intensity, lum/ft² (LGR S/N: 1262011, SEN S/N: 1262011, LBL: light)","Host Connected (LGR S/N: 1262011)","Coupler Attached (LGR S/N: 1262011)","Stopped (LGR S/N: 1262011)","End Of File (LGR S/N: 1262011)"
1,12/16/15 02:33:00 PM,7.0,,,,
2,12/16/15 02:33:01 PM,6.0,,,,
3,12/16/15 02:33:02 PM,6.0,,,,
4,12/16/15 02:33:03 PM,6.0,,,,
5,12/16/15 02:33:04 PM,4.0,,,,
6,12/16/15 02:33:05 PM,6.0,,,,
7,12/16/15 02:33:06 PM,6.0,,,,
8,12/16/15 02:33:07 PM,6.0,,,,
9,12/16/15 02:33:08 PM,7.0,,,,
10,12/16/15 02:33:09 PM,5.0,,,,
11,12/16/15 02:33:10 PM,5.0,,,,
12,12/16/15 02:33:11 PM,5.0,,,,
13,12/16/15 02:33:12 PM,5.0,,,,
14,12/16/15 02:33:13 PM,4.0,,,,
15,12/16/15 02:33:14 PM,5.0,,,,
16,12/16/15 02:33:15 PM,5.0,,,,
17,12/16/15 02:33:16 PM,5.0,,,,
18,12/16/15 02:33:17 PM,6.0,,,,
19,12/16/15 02:33:18 PM,5.0,,,,
20,12/16/15 02:33:19 PM,6.0,,,,
21,12/16/15 02:33:20 PM,5.0,,,,
22,12/16/15 02:33:21 PM,5.0,,,,
23,12/16/15 02:33:22 PM,4.0,,,,
24,12/16/15 02:33:23 PM,5.0,,,,
25,12/16/15 02:33:24 PM,5.0,,,,
26,12/16/15 02:33:25 PM,5.0,,,,
27,12/16/15 02:33:26 PM,5.0,,,,
28,12/16/15 02:33:27 PM,5.0,,,,
29,12/16/15 02:33:28 PM,6.0,,,,
30,12/16/15 02:33:29 PM,5.0,,,,
31,12/16/15 02:33:30 PM,5.0,,,,
32,12/16/15 02:33:31 PM,5.0,,,,
33,12/16/15 02:33:32 PM,6.0,,,,
34,12/16/15 02:33:33 PM,5.0,,,,
35,12/16/15 02:33:34 PM,5.0,,,,
36,12/16/15 02:33:35 PM,6.0,,,,
37,12/16/15 02:33:36 PM,5.0,,,,
38,12/16/15 02:33:37 PM,6.0,,,,
39,12/16/15 02:33:38 PM,6.0,,,,
40,12/16/15 02:33:39 PM,6.0,,,,
41,12/16/15 02:33:40 PM,7.0,,,,
42,12/16/15 02:33:41 PM,7.0,,,,
43,12/16/15 02:33:42 PM,6.0,,,,
44,12/16/15 02:33:43 PM,6.0,,,,
45,12/16/15 02:33:44 PM,5.0,,,,
46,12/16/15 02:33:45 PM,6.0,,,,
47,12/16/15 02:33:46 PM,6.0,,,,
48,12/16/15 02:33:47 PM,6.0,,,,
49,12/16/15 02:33:48 PM,6.0,,,,
50,12/16/15 02:33:49 PM,7.0,,,,
51,12/16/15 02:33:50 PM,7.0,,,,
52,12/16/15 02:33:51 PM,6.0,,,,
53,12/16/15 02:33:52 PM,7.0,,,,
54,12/16/15 02:33:53 PM,7.0,,,,
55,12/16/15 02:33:54 PM,6.0,,,,
56,12/16/15 02:33:55 PM,7.0,,,,
57,12/16/15 02:33:56 PM,7.0,,,,
58,12/16/15 02:33:57 PM,7.0,,,,
59,12/16/15 02:33:58 PM,7.0,,,,
60,12/16/15 02:33:59 PM,7.0,,,,
61,12/16/15 02:34:00 PM,7.0,,,,
62,12/16/15 02:34:01 PM,7.0,,,,
63,12/16/15 02:34:02 PM,6.0,,,,
64,12/16/15 02:34:03 PM,6.0,,,,
65,12/16/15 02:34:04 PM,6.0,,,,
66,12/16/15 02:34:05 PM,6.0,,,,
67,12/16/15 02:34:06 PM,6.0,,,,
68,12/16/15 02:34:07 PM,6.0,,,,
69,12/16/15 02:34:08 PM,6.0,,,,
70,12/16/15 02:34:09 PM,6.0,,,,
71,12/16/15 02:34:10 PM,6.0,,,,
72,12/16/15 02:34:11 PM,6.0,,,,
73,12/16/15 02:34:12 PM,6.0,,,,
74,12/16/15 02:34:13 PM,6.0,,,,
75,12/16/15 02:34:14 PM,6.0,,,,
76,12/16/15 02:34:15 PM,6.0,,,,
77,12/16/15 02:34:16 PM,6.0,,,,
78,12/16/15 02:34:17 PM,6.0,,,,
79,12/16/15 02:34:18 PM,6.0,,,,
80,12/16/15 02:34:19 PM,6.0,,,,
81,12/16/15 02:34:20 PM,6.0,,,,
82,12/16/15 02:34:21 PM,6.0,,,,
83,12/16/15 02:34:22 PM,6.0,,,,
84,12/16/15 02:34:23 PM,6.0,,,,
85,12/16/15 02:34:24 PM,6.0,,,,
86,12/16/15 02:34:25 PM,6.0,,,,
87,12/16/15 02:34:26 PM,6.0,,,,
88,12/16/15 02:34:27 PM,6.0,,,,
89,12/16/15 02:34:28 PM,6.0,,,,
90,12/16/15 02:34:29 PM,6.0,,,,
91,12/16/15 02:34:30 PM,6.0,,,,
92,12/16/15 02:34:31 PM,6.0,,,,
93,12/16/15 02:34:32 PM,6.0,,,,
94,12/16/15 02:34:33 PM,6.0,,,,
95,12/16/15 02:34:34 PM,6.0,,,,
96,12/16/15 02:34:35 PM,6.0,,,,
97,12/16/15 02:34:36 PM,6.0,,,,
