"Plot Title: 1_8_0_0_0_Development"
"#","Date Time, GMT-05:00","Intensity, lum/ft² (LGR S/N: 1262011, SEN S/N: 1262011, LBL: light)","Coupler Attached (LGR S/N: 1262011)","Host Connected (LGR S/N: 1262011)","Stopped (LGR S/N: 1262011)","End Of File (LGR S/N: 1262011)"
1,12/12/15 06:52:00 PM,9.0,,,,
2,12/12/15 06:52:01 PM,9.0,,,,
3,12/12/15 06:52:02 PM,8.0,,,,
4,12/12/15 06:52:03 PM,9.0,,,,
5,12/12/15 06:52:04 PM,9.0,,,,
6,12/12/15 06:52:05 PM,9.0,,,,
7,12/12/15 06:52:06 PM,9.0,,,,
8,12/12/15 06:52:07 PM,9.0,,,,
9,12/12/15 06:52:08 PM,9.0,,,,
10,12/12/15 06:52:09 PM,9.0,,,,
11,12/12/15 06:52:10 PM,9.0,,,,
12,12/12/15 06:52:11 PM,9.0,,,,
13,12/12/15 06:52:12 PM,9.0,,,,
14,12/12/15 06:52:13 PM,9.0,,,,
15,12/12/15 06:52:14 PM,9.0,,,,
16,12/12/15 06:52:15 PM,9.0,,,,
17,12/12/15 06:52:16 PM,9.0,,,,
18,12/12/15 06:52:17 PM,9.0,,,,
19,12/12/15 06:52:18 PM,9.0,,,,
20,12/12/15 06:52:19 PM,8.0,,,,
21,12/12/15 06:52:20 PM,8.0,,,,
22,12/12/15 06:52:21 PM,7.0,,,,
23,12/12/15 06:52:22 PM,7.0,,,,
24,12/12/15 06:52:23 PM,7.0,,,,
25,12/12/15 06:52:24 PM,7.0,,,,
26,12/12/15 06:52:25 PM,8.0,,,,
27,12/12/15 06:52:26 PM,8.0,,,,
28,12/12/15 06:52:27 PM,7.0,,,,
29,12/12/15 06:52:28 PM,5.0,,,,
30,12/12/15 06:52:29 PM,5.0,,,,
31,12/12/15 06:52:30 PM,6.0,,,,
32,12/12/15 06:52:31 PM,9.0,,,,
33,12/12/15 06:52:32 PM,9.0,,,,
34,12/12/15 06:52:33 PM,10.0,,,,
35,12/12/15 06:52:34 PM,10.0,,,,
36,12/12/15 06:52:35 PM,10.0,,,,
37,12/12/15 06:52:36 PM,9.0,,,,
38,12/12/15 06:52:37 PM,9.0,,,,
39,12/12/15 06:52:38 PM,9.0,,,,
40,12/12/15 06:52:39 PM,9.0,,,,
