Filename,Raw Performance,Normalzied Performance,Number of Collisions,Number of Wires,Number of Crossover Points
7_9_6_3_6_1,4642.800000000004,0.007723278144643296,1,1,4
7_7_6_8_6_5,4318.800000000002,0.007184305516301683,1,2,5
7_0_6_8_6_0,3876.000000000008,0.006447709590901493,1,1,8
7_1_6_0_6_8,3778.800000000008,0.00628601780239901,1,1,7
7_4_6_8_6_0,3886.8000000000084,0.006465675345179547,1,1,5
7_6_6_0_6_6,4567.200000000005,0.007597517864696922,1,4,6
7_2_6_4_6_5,4718.400000000003,0.00784903842458967,1,4,5
7_3_6_1_6_3,4480.800000000001,0.007453791830472486,1,1,5
7_5_6_4_6_5,4513.2000000000035,0.007507689093306651,1,4,5
7_8_6_4_6_7,3876.000000000008,0.006447709590901493,0,1,5
6_3_5_8_5_5,3886.8000000000084,0.006060592830387936,1,0,3
6_7_5_0_5_8,3876.000000000008,0.0060437526527178246,1,1,5
6_6_5_4_5_9,2680.000000000004,0.004178858903323983,1,4,5
6_0_5_0_5_4,4394.400000000003,0.006852081180883171,1,1,6
6_5_5_0_5_9,4210.900000000004,0.006565954088062296,1,4,4
6_2_5_5_5_0,441.40000000000003,0.0006882642984802999,0,2,3
6_4_5_4_5_6,4005.600000000007,0.006245834784759162,1,1,8
6_1_5_4_5_6,3908.4000000000083,0.006094273185728159,1,1,8
6_8_5_1_5_6,4621.200000000003,0.007205724911955512,1,1,6
6_9_5_2_5_5,129.2,0.00020145842175726036,0,4,5
8_5_7_7_7_6,,,1,2,5
8_4_7_2_7_3,,,1,2,5
8_8_7_9_7_5,,,1,2,4
8_9_7_3_7_2,,,1,4,4
8_6_7_0_7_7,,,0,1,9
8_1_7_6_7_9,,,1,3,7
8_7_7_4_7_6,,,1,2,5
8_3_7_9_7_5,,,1,2,4
8_2_7_2_7_5,,,1,4,6
8_0_7_2_7_9,,,1,2,5
5_7_4_0_4_6,96.99999999999999,0.00015975414331428905,0,1,2
5_0_4_3_4_5,5118.000000000004,0.008429089747242598,1,1,6
5_1_4_5_4_7,3843.800000000008,0.006330546145066656,1,1,5
5_5_4_1_4_7,4459.2,0.0073440791326502865,0,1,6
5_8_4_9_4_1,3886.8000000000084,0.006401364992102887,1,0,2
5_6_4_5_4_7,4459.2,0.0073440791326502865,1,1,6
5_3_4_4_4_6,10.8,1.7787059255611568e-05,1,3,4
5_2_4_3_4_6,129.2,0.00021278593109490872,0,4,4
5_9_4_4_4_3,3886.8000000000084,0.006401364992102887,1,2,5
5_4_4_3_4_5,4794.000000000004,0.007895477969574252,1,1,7
4_0_3_3_3_6,3886.8000000000084,0.005844109858078718,1,0,3
4_6_3_5_3_0,7794.800000000018,0.011720095585507873,0,1,5
4_3_3_8_3_3,7816.200000000015,0.011752272170606893,1,3,4
4_9_3_6_3_3,3886.8000000000084,0.005844109858078718,1,0,2
4_7_3_8_3_1,7534.300000000016,0.011328413322970693,0,3,8
4_5_3_6_3_5,8276.400000000007,0.012444219108110178,1,0,2
4_1_3_0_3_4,5358.60000000001,0.008057077051945203,1,3,3
4_8_3_7_3_4,3757.6000000000076,0.005649847484490221,1,3,4
4_4_3_4_3_0,6284.100000000013,0.009448639178540823,1,3,4
4_2_3_6_3_3,3886.8000000000084,0.005844109858078718,1,0,2
2_6_1_9_1_1,7869.700000000014,0.01175467725534106,0,0,6
2_0_1_3_1_0,4821.700000000002,0.00720199338247683,2,4,3
2_9_1_0_1_4,6865.500000000014,0.010254741184104105,1,2,4
2_7_1_5_1_2,3067.899999999999,0.004582407760354367,0,1,3
2_1_1_0_1_6,11818.399999999992,0.017652703111239624,1,3,2
2_3_1_0_1_3,21053.500000000025,0.031446827400704334,0,2,4
2_5_1_4_1_5,7880.400000000014,0.0117706594461021,1,1,1
2_4_1_6_1_9,6575.000000000016,0.009820832173255337,1,3,3
2_2_1_3_1_5,6135.000000000008,0.009163620590558391,2,4,2
2_8_1_3_1_6,4815.500000000002,0.0071927326738115555,2,3,4
3_0_2_1_2_3,7298.400000000013,0.010828560551006746,0,1,4
3_7_2_3_2_9,6146.60000000002,0.009119646810645919,1,2,6
3_3_2_6_2_5,8244.100000000008,0.012231685854235811,1,0,3
3_6_2_5_2_6,8244.100000000008,0.012231685854235811,1,0,2
3_2_2_3_2_5,5587.4000000000115,0.008289967557642101,0,1,1
3_4_2_4_2_1,7353.5000000000155,0.01091031185079307,1,2,3
3_8_2_2_2_0,7222.80000000002,0.010716393613368904,2,4,3
3_9_2_1_2_4,64.6,9.584635147361539e-05,1,2,2
3_5_2_9_2_3,7255.200000000017,0.010764465158070837,1,1,5
3_1_2_1_2_6,6370.7000000000135,0.009452141661500973,0,0,5
1_6_ _ _ _ ,6479.5000000000155,0.009582962544141623,1,3,2
1_1_ _ _ _ ,3616.800000000002,0.005349125538953833,1,2,2
1_9_ _ _ _ ,4880.300000000003,0.00721779953764554,0,5,2
1_5_ _ _ _ ,5597.700000000007,0.008278810005917354,1,3,2
1_0_ _ _ _ ,26725.099999999962,0.039525523927531184,1,5,2
1_4_ _ _ _ ,5211.0000000000055,0.007706893713638695,1,2,2
1_2_ _ _ _ ,4037.600000000008,0.005971474584184922,1,3,2
1_7_ _ _ _ ,3584.300000000006,0.005301059132181001,0,3,2
1_3_ _ _ _ ,8395.20000000002,0.012416218404287022,2,3,2
1_8_ _ _ _ ,2795.6,0.004134598362281388,0,2,2
