"Plot Title: Devo_1_0_0_0_0_0"
"#","Date Time, GMT-05:00","Intensity, Lux (LGR S/N: 1262011, SEN S/N: 1262011, LBL: light)","Host Connected (LGR S/N: 1262011)","Coupler Attached (LGR S/N: 1262011)","Stopped (LGR S/N: 1262011)","End Of File (LGR S/N: 1262011)"
1,03/01/16 02:28:00 PM,0.0,,,,
2,03/01/16 02:28:01 PM,0.0,,,,
3,03/01/16 02:28:02 PM,0.0,,,,
4,03/01/16 02:28:03 PM,10.8,,,,
5,03/01/16 02:28:04 PM,21.5,,,,
6,03/01/16 02:28:05 PM,10.8,,,,
7,03/01/16 02:28:06 PM,0.0,,,,
8,03/01/16 02:28:07 PM,0.0,,,,
9,03/01/16 02:28:08 PM,0.0,,,,
10,03/01/16 02:28:09 PM,10.8,,,,
11,03/01/16 02:28:10 PM,21.5,,,,
12,03/01/16 02:28:11 PM,0.0,,,,
13,03/01/16 02:28:12 PM,21.5,,,,
14,03/01/16 02:28:13 PM,10.8,,,,
15,03/01/16 02:28:14 PM,0.0,,,,
16,03/01/16 02:28:15 PM,0.0,,,,
17,03/01/16 02:28:16 PM,21.5,,,,
18,03/01/16 02:28:17 PM,21.5,,,,
19,03/01/16 02:28:18 PM,21.5,,,,
20,03/01/16 02:28:19 PM,10.8,,,,
21,03/01/16 02:28:20 PM,0.0,,,,
22,03/01/16 02:28:21 PM,0.0,,,,
23,03/01/16 02:28:22 PM,21.5,,,,
24,03/01/16 02:28:23 PM,21.5,,,,
25,03/01/16 02:28:24 PM,21.5,,,,
26,03/01/16 02:28:25 PM,0.0,,,,
27,03/01/16 02:28:26 PM,0.0,,,,
28,03/01/16 02:28:27 PM,0.0,,,,
29,03/01/16 02:28:28 PM,10.8,,,,
30,03/01/16 02:28:29 PM,21.5,,,,
31,03/01/16 02:28:30 PM,21.5,,,,
32,03/01/16 02:28:31 PM,10.8,,,,
33,03/01/16 02:28:32 PM,0.0,,,,
34,03/01/16 02:28:33 PM,0.0,,,,
35,03/01/16 02:28:34 PM,10.8,,,,
36,03/01/16 02:28:35 PM,21.5,,,,
37,03/01/16 02:28:36 PM,21.5,,,,
38,03/01/16 02:28:37 PM,21.5,,,,
39,03/01/16 02:28:38 PM,10.8,,,,
40,03/01/16 02:28:39 PM,0.0,,,,
41,03/01/16 02:28:40 PM,0.0,,,,
42,03/01/16 02:28:41 PM,21.5,,,,
43,03/01/16 02:28:42 PM,21.5,,,,
44,03/01/16 02:28:43 PM,21.5,,,,
45,03/01/16 02:28:44 PM,10.8,,,,
46,03/01/16 02:28:45 PM,0.0,,,,
47,03/01/16 02:28:46 PM,0.0,,,,
48,03/01/16 02:28:47 PM,10.8,,,,
49,03/01/16 02:28:48 PM,10.8,,,,
50,03/01/16 02:28:49 PM,10.8,,,,
51,03/01/16 02:28:50 PM,10.8,,,,
52,03/01/16 02:28:51 PM,0.0,,,,
53,03/01/16 02:28:52 PM,0.0,,,,
54,03/01/16 02:28:53 PM,10.8,,,,
55,03/01/16 02:28:54 PM,21.5,,,,
56,03/01/16 02:28:55 PM,21.5,,,,
57,03/01/16 02:28:56 PM,21.5,,,,
58,03/01/16 02:28:57 PM,10.8,,,,
59,03/01/16 02:28:58 PM,0.0,,,,
60,03/01/16 02:28:59 PM,0.0,,,,
61,03/01/16 02:29:00 PM,21.5,,,,
62,03/01/16 02:29:01 PM,21.5,,,,
63,03/01/16 02:29:02 PM,21.5,,,,
64,03/01/16 02:29:03 PM,10.8,,,,
65,03/01/16 02:29:04 PM,0.0,,,,
66,03/01/16 02:29:05 PM,0.0,,,,
67,03/01/16 02:29:06 PM,10.8,,,,
68,03/01/16 02:29:07 PM,21.5,,,,
69,03/01/16 02:29:08 PM,21.5,,,,
70,03/01/16 02:29:09 PM,21.5,,,,
71,03/01/16 02:29:10 PM,0.0,,,,
72,03/01/16 02:29:11 PM,0.0,,,,
73,03/01/16 02:29:12 PM,10.8,,,,
74,03/01/16 02:29:13 PM,21.5,,,,
75,03/01/16 02:29:14 PM,21.5,,,,
76,03/01/16 02:29:15 PM,21.5,,,,
77,03/01/16 02:29:16 PM,10.8,,,,
78,03/01/16 02:29:17 PM,0.0,,,,
79,03/01/16 02:29:18 PM,0.0,,,,
80,03/01/16 02:29:19 PM,21.5,,,,
81,03/01/16 02:29:20 PM,21.5,,,,
82,03/01/16 02:29:21 PM,21.5,,,,
83,03/01/16 02:29:22 PM,0.0,,,,
84,03/01/16 02:29:23 PM,0.0,,,,
85,03/01/16 02:29:24 PM,0.0,,,,
86,03/01/16 02:29:25 PM,10.8,,,,
87,03/01/16 02:29:26 PM,21.5,,,,
88,03/01/16 02:29:27 PM,0.0,,,,
89,03/01/16 02:29:28 PM,21.5,,,,
90,03/01/16 02:29:29 PM,10.8,,,,
91,03/01/16 02:29:30 PM,0.0,,,,
92,03/01/16 02:29:31 PM,0.0,,,,
93,03/01/16 02:29:32 PM,21.5,,,,
94,03/01/16 02:29:33 PM,21.5,,,,
95,03/01/16 02:29:34 PM,21.5,,,,
96,03/01/16 02:29:35 PM,10.8,,,,
97,03/01/16 02:29:36 PM,0.0,,,,
98,03/01/16 02:29:37 PM,0.0,,,,
99,03/01/16 02:29:38 PM,10.8,,,,
100,03/01/16 02:29:39 PM,21.5,,,,
101,03/01/16 02:29:40 PM,21.5,,,,
102,03/01/16 02:29:41 PM,21.5,,,,
103,03/01/16 02:29:42 PM,0.0,,,,
104,03/01/16 02:29:43 PM,0.0,,,,
105,03/01/16 02:29:44 PM,0.0,,,,
106,03/01/16 02:29:45 PM,21.5,,,,
107,03/01/16 02:29:46 PM,10.8,,,,
108,03/01/16 02:29:47 PM,21.5,,,,
109,03/01/16 02:29:48 PM,10.8,,,,
110,03/01/16 02:29:49 PM,0.0,,,,
111,03/01/16 02:29:50 PM,0.0,,,,
112,03/01/16 02:29:51 PM,10.8,,,,
113,03/01/16 02:29:52 PM,10.8,,,,
114,03/01/16 02:29:53 PM,10.8,,,,
115,03/01/16 02:29:54 PM,10.8,,,,
116,03/01/16 02:29:55 PM,0.0,,,,
117,03/01/16 02:29:56 PM,0.0,,,,
118,03/01/16 02:29:57 PM,0.0,,,,
119,03/01/16 02:29:58 PM,21.5,,,,
120,03/01/16 02:29:59 PM,10.8,,,,
121,03/01/16 02:30:00 PM,21.5,,,,
122,03/01/16 02:30:01 PM,10.8,,,,
123,03/01/16 02:30:02 PM,0.0,,,,
