"Plot Title: devo_1_4_0_0_0_0"
"#","Date Time, GMT-05:00","Intensity, Lux (LGR S/N: 1262011, SEN S/N: 1262011, LBL: light)","Coupler Attached (LGR S/N: 1262011)","Host Connected (LGR S/N: 1262011)","Stopped (LGR S/N: 1262011)","End Of File (LGR S/N: 1262011)"
1,03/05/16 08:02:00 PM,75.3,,,,
2,03/05/16 08:02:01 PM,64.6,,,,
3,03/05/16 08:02:02 PM,75.3,,,,
4,03/05/16 08:02:03 PM,75.3,,,,
5,03/05/16 08:02:04 PM,75.3,,,,
6,03/05/16 08:02:05 PM,64.6,,,,
7,03/05/16 08:02:06 PM,64.6,,,,
8,03/05/16 08:02:07 PM,53.8,,,,
9,03/05/16 08:02:08 PM,53.8,,,,
10,03/05/16 08:02:09 PM,53.8,,,,
11,03/05/16 08:02:10 PM,53.8,,,,
12,03/05/16 08:02:11 PM,53.8,,,,
13,03/05/16 08:02:12 PM,53.8,,,,
14,03/05/16 08:02:13 PM,43.1,,,,
15,03/05/16 08:02:14 PM,53.8,,,,
16,03/05/16 08:02:15 PM,32.3,,,,
17,03/05/16 08:02:16 PM,32.3,,,,
18,03/05/16 08:02:17 PM,32.3,,,,
19,03/05/16 08:02:18 PM,53.8,,,,
20,03/05/16 08:02:19 PM,53.8,,,,
21,03/05/16 08:02:20 PM,53.8,,,,
22,03/05/16 08:02:21 PM,53.8,,,,
23,03/05/16 08:02:22 PM,53.8,,,,
24,03/05/16 08:02:23 PM,53.8,,,,
25,03/05/16 08:02:24 PM,53.8,,,,
26,03/05/16 08:02:25 PM,53.8,,,,
27,03/05/16 08:02:26 PM,53.8,,,,
28,03/05/16 08:02:27 PM,53.8,,,,
29,03/05/16 08:02:28 PM,53.8,,,,
30,03/05/16 08:02:29 PM,53.8,,,,
31,03/05/16 08:02:30 PM,53.8,,,,
32,03/05/16 08:02:31 PM,53.8,,,,
33,03/05/16 08:02:32 PM,53.8,,,,
34,03/05/16 08:02:33 PM,53.8,,,,
35,03/05/16 08:02:34 PM,53.8,,,,
36,03/05/16 08:02:35 PM,53.8,,,,
37,03/05/16 08:02:36 PM,53.8,,,,
38,03/05/16 08:02:37 PM,43.1,,,,
39,03/05/16 08:02:38 PM,43.1,,,,
40,03/05/16 08:02:39 PM,43.1,,,,
41,03/05/16 08:02:40 PM,53.8,,,,
42,03/05/16 08:02:41 PM,53.8,,,,
43,03/05/16 08:02:42 PM,53.8,,,,
44,03/05/16 08:02:43 PM,43.1,,,,
45,03/05/16 08:02:44 PM,43.1,,,,
46,03/05/16 08:02:45 PM,43.1,,,,
47,03/05/16 08:02:46 PM,43.1,,,,
48,03/05/16 08:02:47 PM,53.8,,,,
49,03/05/16 08:02:48 PM,43.1,,,,
50,03/05/16 08:02:49 PM,43.1,,,,
51,03/05/16 08:02:50 PM,43.1,,,,
52,03/05/16 08:02:51 PM,43.1,,,,
53,03/05/16 08:02:52 PM,43.1,,,,
54,03/05/16 08:02:53 PM,43.1,,,,
55,03/05/16 08:02:54 PM,43.1,,,,
56,03/05/16 08:02:55 PM,43.1,,,,
57,03/05/16 08:02:56 PM,43.1,,,,
58,03/05/16 08:02:57 PM,43.1,,,,
59,03/05/16 08:02:58 PM,43.1,,,,
60,03/05/16 08:02:59 PM,43.1,,,,
61,03/05/16 08:03:00 PM,43.1,,,,
62,03/05/16 08:03:01 PM,53.8,,,,
63,03/05/16 08:03:02 PM,43.1,,,,
64,03/05/16 08:03:03 PM,43.1,,,,
65,03/05/16 08:03:04 PM,43.1,,,,
66,03/05/16 08:03:05 PM,43.1,,,,
67,03/05/16 08:03:06 PM,43.1,,,,
68,03/05/16 08:03:07 PM,43.1,,,,
69,03/05/16 08:03:08 PM,43.1,,,,
70,03/05/16 08:03:09 PM,43.1,,,,
71,03/05/16 08:03:10 PM,43.1,,,,
72,03/05/16 08:03:11 PM,43.1,,,,
73,03/05/16 08:03:12 PM,43.1,,,,
74,03/05/16 08:03:13 PM,32.3,,,,
75,03/05/16 08:03:14 PM,43.1,,,,
76,03/05/16 08:03:15 PM,43.1,,,,
77,03/05/16 08:03:16 PM,32.3,,,,
78,03/05/16 08:03:17 PM,32.3,,,,
79,03/05/16 08:03:18 PM,32.3,,,,
80,03/05/16 08:03:19 PM,32.3,,,,
81,03/05/16 08:03:20 PM,32.3,,,,
82,03/05/16 08:03:21 PM,32.3,,,,
83,03/05/16 08:03:22 PM,32.3,,,,
84,03/05/16 08:03:23 PM,32.3,,,,
85,03/05/16 08:03:24 PM,32.3,,,,
86,03/05/16 08:03:25 PM,32.3,,,,
87,03/05/16 08:03:26 PM,32.3,,,,
88,03/05/16 08:03:27 PM,32.3,,,,
89,03/05/16 08:03:28 PM,32.3,,,,
90,03/05/16 08:03:29 PM,32.3,,,,
91,03/05/16 08:03:30 PM,32.3,,,,
92,03/05/16 08:03:31 PM,32.3,,,,
93,03/05/16 08:03:32 PM,32.3,,,,
94,03/05/16 08:03:33 PM,32.3,,,,
95,03/05/16 08:03:34 PM,32.3,,,,
96,03/05/16 08:03:35 PM,32.3,,,,
97,03/05/16 08:03:36 PM,43.1,,,,
98,03/05/16 08:03:37 PM,32.3,,,,
99,03/05/16 08:03:38 PM,32.3,,,,
100,03/05/16 08:03:39 PM,43.1,,,,
101,03/05/16 08:03:40 PM,32.3,,,,
102,03/05/16 08:03:41 PM,32.3,,,,
103,03/05/16 08:03:42 PM,32.3,,,,
104,03/05/16 08:03:43 PM,43.1,,,,
105,03/05/16 08:03:44 PM,32.3,,,,
106,03/05/16 08:03:45 PM,32.3,,,,
107,03/05/16 08:03:46 PM,32.3,,,,
108,03/05/16 08:03:47 PM,32.3,,,,
109,03/05/16 08:03:48 PM,32.3,,,,
110,03/05/16 08:03:49 PM,32.3,,,,
111,03/05/16 08:03:50 PM,32.3,,,,
112,03/05/16 08:03:51 PM,32.3,,,,
113,03/05/16 08:03:52 PM,32.3,,,,
114,03/05/16 08:03:53 PM,32.3,,,,
115,03/05/16 08:03:54 PM,32.3,,,,
116,03/05/16 08:03:55 PM,32.3,,,,
117,03/05/16 08:03:56 PM,32.3,,,,
118,03/05/16 08:03:57 PM,32.3,,,,
119,03/05/16 08:03:58 PM,32.3,,,,
120,03/05/16 08:03:59 PM,32.3,,,,
121,03/05/16 08:04:00 PM,32.3,,,,
122,03/05/16 08:04:01 PM,32.3,,,,
123,03/05/16 08:04:02 PM,53.8,,,,
124,03/05/16 08:04:03 PM,0.0,,,,
125,03/05/16 08:04:04 PM,0.0,,,,
126,03/05/16 08:04:05 PM,0.0,,,,
127,03/05/16 08:04:06 PM,0.0,,,,
128,03/05/16 08:04:07 PM,0.0,,,,
129,03/05/16 08:04:08 PM,0.0,Logged,Logged,,
130,03/05/16 08:04:09 PM,0.0,,,,
131,03/05/16 08:04:10 PM,0.0,,,,
132,03/05/16 08:04:11 PM,0.0,,,,
133,03/05/16 08:04:12 PM,0.0,,,,
134,03/05/16 08:04:13 PM,0.0,,,,
135,03/05/16 08:04:14 PM,0.0,,,,
136,03/05/16 08:04:15 PM,0.0,,,,
137,03/05/16 08:04:16 PM,0.0,,,,
138,03/05/16 08:04:17 PM,0.0,,,Logged,Logged
