"Plot Title: devo1_5_0_0_0_0_redo"
"#","Date Time, GMT-05:00","Intensity, Lux (LGR S/N: 1262011, SEN S/N: 1262011, LBL: light)","Coupler Attached (LGR S/N: 1262011)","Host Connected (LGR S/N: 1262011)","Stopped (LGR S/N: 1262011)","End Of File (LGR S/N: 1262011)"
1,03/05/16 03:21:00 PM,53.8,,,,
2,03/05/16 03:21:01 PM,0.0,,,,
3,03/05/16 03:21:02 PM,21.5,,,,
4,03/05/16 03:21:03 PM,53.8,,,,
5,03/05/16 03:21:04 PM,64.6,,,,
6,03/05/16 03:21:05 PM,0.0,,,,
7,03/05/16 03:21:06 PM,21.5,,,,
8,03/05/16 03:21:07 PM,32.3,,,,
9,03/05/16 03:21:08 PM,43.1,,,,
10,03/05/16 03:21:09 PM,43.1,,,,
11,03/05/16 03:21:10 PM,32.3,,,,
12,03/05/16 03:21:11 PM,0.0,,,,
13,03/05/16 03:21:12 PM,10.8,,,,
14,03/05/16 03:21:13 PM,32.3,,,,
15,03/05/16 03:21:14 PM,43.1,,,,
16,03/05/16 03:21:15 PM,43.1,,,,
17,03/05/16 03:21:16 PM,53.8,,,,
18,03/05/16 03:21:17 PM,0.0,,,,
19,03/05/16 03:21:18 PM,0.0,,,,
20,03/05/16 03:21:19 PM,53.8,,,,
21,03/05/16 03:21:20 PM,53.8,,,,
22,03/05/16 03:21:21 PM,53.8,,,,
23,03/05/16 03:21:22 PM,53.8,,,,
24,03/05/16 03:21:23 PM,53.8,,,,
25,03/05/16 03:21:24 PM,53.8,,,,
26,03/05/16 03:21:25 PM,53.8,,,,
27,03/05/16 03:21:26 PM,43.1,,,,
28,03/05/16 03:21:27 PM,43.1,,,,
29,03/05/16 03:21:28 PM,43.1,,,,
30,03/05/16 03:21:29 PM,43.1,,,,
31,03/05/16 03:21:30 PM,43.1,,,,
32,03/05/16 03:21:31 PM,43.1,,,,
33,03/05/16 03:21:32 PM,43.1,,,,
34,03/05/16 03:21:33 PM,53.8,,,,
35,03/05/16 03:21:34 PM,43.1,,,,
36,03/05/16 03:21:35 PM,53.8,,,,
37,03/05/16 03:21:36 PM,53.8,,,,
38,03/05/16 03:21:37 PM,53.8,,,,
39,03/05/16 03:21:38 PM,53.8,,,,
40,03/05/16 03:21:39 PM,53.8,,,,
41,03/05/16 03:21:40 PM,53.8,,,,
42,03/05/16 03:21:41 PM,53.8,,,,
43,03/05/16 03:21:42 PM,53.8,,,,
44,03/05/16 03:21:43 PM,53.8,,,,
45,03/05/16 03:21:44 PM,53.8,,,,
46,03/05/16 03:21:45 PM,53.8,,,,
47,03/05/16 03:21:46 PM,53.8,,,,
48,03/05/16 03:21:47 PM,53.8,,,,
49,03/05/16 03:21:48 PM,53.8,,,,
50,03/05/16 03:21:49 PM,53.8,,,,
51,03/05/16 03:21:50 PM,53.8,,,,
52,03/05/16 03:21:51 PM,53.8,,,,
53,03/05/16 03:21:52 PM,53.8,,,,
54,03/05/16 03:21:53 PM,53.8,,,,
55,03/05/16 03:21:54 PM,53.8,,,,
56,03/05/16 03:21:55 PM,53.8,,,,
57,03/05/16 03:21:56 PM,53.8,,,,
58,03/05/16 03:21:57 PM,53.8,,,,
59,03/05/16 03:21:58 PM,53.8,,,,
60,03/05/16 03:21:59 PM,53.8,,,,
61,03/05/16 03:22:00 PM,53.8,,,,
62,03/05/16 03:22:01 PM,53.8,,,,
63,03/05/16 03:22:02 PM,53.8,,,,
64,03/05/16 03:22:03 PM,53.8,,,,
65,03/05/16 03:22:04 PM,53.8,,,,
66,03/05/16 03:22:05 PM,43.1,,,,
67,03/05/16 03:22:06 PM,53.8,,,,
68,03/05/16 03:22:07 PM,43.1,,,,
69,03/05/16 03:22:08 PM,43.1,,,,
70,03/05/16 03:22:09 PM,43.1,,,,
71,03/05/16 03:22:10 PM,43.1,,,,
72,03/05/16 03:22:11 PM,43.1,,,,
73,03/05/16 03:22:12 PM,43.1,,,,
74,03/05/16 03:22:13 PM,43.1,,,,
75,03/05/16 03:22:14 PM,43.1,,,,
76,03/05/16 03:22:15 PM,43.1,,,,
77,03/05/16 03:22:16 PM,43.1,,,,
78,03/05/16 03:22:17 PM,43.1,,,,
79,03/05/16 03:22:18 PM,43.1,,,,
80,03/05/16 03:22:19 PM,43.1,,,,
81,03/05/16 03:22:20 PM,43.1,,,,
82,03/05/16 03:22:21 PM,43.1,,,,
83,03/05/16 03:22:22 PM,43.1,,,,
84,03/05/16 03:22:23 PM,43.1,,,,
85,03/05/16 03:22:24 PM,53.8,,,,
86,03/05/16 03:22:25 PM,53.8,,,,
87,03/05/16 03:22:26 PM,43.1,,,,
88,03/05/16 03:22:27 PM,43.1,,,,
89,03/05/16 03:22:28 PM,53.8,,,,
90,03/05/16 03:22:29 PM,53.8,,,,
