"Plot Title: devo_1_9_0_0_0_0"
"#","Date Time, GMT-05:00","Intensity, Lux (LGR S/N: 1262011, SEN S/N: 1262011, LBL: light)","Host Connected (LGR S/N: 1262011)","Coupler Attached (LGR S/N: 1262011)","Stopped (LGR S/N: 1262011)","End Of File (LGR S/N: 1262011)"
1,03/05/16 08:35:30 PM,75.3,,,,
2,03/05/16 08:35:31 PM,64.6,,,,
3,03/05/16 08:35:32 PM,64.6,,,,
4,03/05/16 08:35:33 PM,32.3,,,,
5,03/05/16 08:35:34 PM,43.1,,,,
6,03/05/16 08:35:35 PM,43.1,,,,
7,03/05/16 08:35:36 PM,43.1,,,,
8,03/05/16 08:35:37 PM,21.5,,,,
9,03/05/16 08:35:38 PM,21.5,,,,
10,03/05/16 08:35:39 PM,21.5,,,,
11,03/05/16 08:35:40 PM,21.5,,,,
12,03/05/16 08:35:41 PM,21.5,,,,
13,03/05/16 08:35:42 PM,21.5,,,,
14,03/05/16 08:35:43 PM,21.5,,,,
15,03/05/16 08:35:44 PM,21.5,,,,
16,03/05/16 08:35:45 PM,21.5,,,,
17,03/05/16 08:35:46 PM,21.5,,,,
18,03/05/16 08:35:47 PM,21.5,,,,
19,03/05/16 08:35:48 PM,21.5,,,,
20,03/05/16 08:35:49 PM,21.5,,,,
21,03/05/16 08:35:50 PM,21.5,,,,
22,03/05/16 08:35:51 PM,21.5,,,,
23,03/05/16 08:35:52 PM,21.5,,,,
24,03/05/16 08:35:53 PM,21.5,,,,
25,03/05/16 08:35:54 PM,21.5,,,,
26,03/05/16 08:35:55 PM,21.5,,,,
27,03/05/16 08:35:56 PM,21.5,,,,
28,03/05/16 08:35:57 PM,21.5,,,,
29,03/05/16 08:35:58 PM,21.5,,,,
30,03/05/16 08:35:59 PM,21.5,,,,
31,03/05/16 08:36:00 PM,21.5,,,,
32,03/05/16 08:36:01 PM,21.5,,,,
33,03/05/16 08:36:02 PM,21.5,,,,
34,03/05/16 08:36:03 PM,21.5,,,,
35,03/05/16 08:36:04 PM,21.5,,,,
36,03/05/16 08:36:05 PM,21.5,,,,
37,03/05/16 08:36:06 PM,21.5,,,,
38,03/05/16 08:36:07 PM,21.5,,,,
39,03/05/16 08:36:08 PM,21.5,,,,
40,03/05/16 08:36:09 PM,21.5,,,,
41,03/05/16 08:36:10 PM,21.5,,,,
42,03/05/16 08:36:11 PM,21.5,,,,
43,03/05/16 08:36:12 PM,21.5,,,,
44,03/05/16 08:36:13 PM,21.5,,,,
45,03/05/16 08:36:14 PM,21.5,,,,
46,03/05/16 08:36:15 PM,21.5,,,,
47,03/05/16 08:36:16 PM,21.5,,,,
48,03/05/16 08:36:17 PM,21.5,,,,
49,03/05/16 08:36:18 PM,21.5,,,,
