"Plot Title: 1_9_0_0_0_0_redo"
"#","Date Time, GMT-05:00","Intensity, Lux (LGR S/N: 1262011, SEN S/N: 1262011, LBL: light)","Coupler Attached (LGR S/N: 1262011)","Host Connected (LGR S/N: 1262011)","Stopped (LGR S/N: 1262011)","End Of File (LGR S/N: 1262011)"
1,03/05/16 02:12:00 PM,43.1,,,,
2,03/05/16 02:12:01 PM,32.3,,,,
3,03/05/16 02:12:02 PM,43.1,,,,
4,03/05/16 02:12:03 PM,43.1,,,,
5,03/05/16 02:12:04 PM,53.8,,,,
6,03/05/16 02:12:05 PM,43.1,,,,
7,03/05/16 02:12:06 PM,43.1,,,,
8,03/05/16 02:12:07 PM,43.1,,,,
9,03/05/16 02:12:08 PM,43.1,,,,
10,03/05/16 02:12:09 PM,43.1,,,,
11,03/05/16 02:12:10 PM,43.1,,,,
12,03/05/16 02:12:11 PM,43.1,,,,
13,03/05/16 02:12:12 PM,32.3,,,,
14,03/05/16 02:12:13 PM,43.1,,,,
15,03/05/16 02:12:14 PM,32.3,,,,
16,03/05/16 02:12:15 PM,32.3,,,,
17,03/05/16 02:12:16 PM,43.1,,,,
18,03/05/16 02:12:17 PM,43.1,,,,
19,03/05/16 02:12:18 PM,43.1,,,,
20,03/05/16 02:12:19 PM,43.1,,,,
21,03/05/16 02:12:20 PM,43.1,,,,
22,03/05/16 02:12:21 PM,43.1,,,,
23,03/05/16 02:12:22 PM,43.1,,,,
24,03/05/16 02:12:23 PM,43.1,,,,
25,03/05/16 02:12:24 PM,32.3,,,,
26,03/05/16 02:12:25 PM,43.1,,,,
27,03/05/16 02:12:26 PM,43.1,,,,
28,03/05/16 02:12:27 PM,32.3,,,,
29,03/05/16 02:12:28 PM,32.3,,,,
30,03/05/16 02:12:29 PM,32.3,,,,
31,03/05/16 02:12:30 PM,43.1,,,,
32,03/05/16 02:12:31 PM,43.1,,,,
33,03/05/16 02:12:32 PM,43.1,,,,
34,03/05/16 02:12:33 PM,43.1,,,,
35,03/05/16 02:12:34 PM,43.1,,,,
36,03/05/16 02:12:35 PM,43.1,,,,
37,03/05/16 02:12:36 PM,43.1,,,,
38,03/05/16 02:12:37 PM,43.1,,,,
39,03/05/16 02:12:38 PM,43.1,,,,
40,03/05/16 02:12:39 PM,43.1,,,,
41,03/05/16 02:12:40 PM,43.1,,,,
42,03/05/16 02:12:41 PM,43.1,,,,
43,03/05/16 02:12:42 PM,32.3,,,,
44,03/05/16 02:12:43 PM,32.3,,,,
45,03/05/16 02:12:44 PM,32.3,,,,
46,03/05/16 02:12:45 PM,32.3,,,,
47,03/05/16 02:12:46 PM,32.3,,,,
48,03/05/16 02:12:47 PM,32.3,,,,
49,03/05/16 02:12:48 PM,43.1,,,,
50,03/05/16 02:12:49 PM,43.1,,,,
51,03/05/16 02:12:50 PM,43.1,,,,
52,03/05/16 02:12:51 PM,43.1,,,,
53,03/05/16 02:12:52 PM,43.1,,,,
54,03/05/16 02:12:53 PM,43.1,,,,
55,03/05/16 02:12:54 PM,43.1,,,,
56,03/05/16 02:12:55 PM,43.1,,,,
57,03/05/16 02:12:56 PM,43.1,,,,
58,03/05/16 02:12:57 PM,43.1,,,,
59,03/05/16 02:12:58 PM,43.1,,,,
60,03/05/16 02:12:59 PM,43.1,,,,
61,03/05/16 02:13:00 PM,43.1,,,,
62,03/05/16 02:13:01 PM,43.1,,,,
63,03/05/16 02:13:02 PM,43.1,,,,
64,03/05/16 02:13:03 PM,43.1,,,,
65,03/05/16 02:13:04 PM,43.1,,,,
66,03/05/16 02:13:05 PM,43.1,,,,
67,03/05/16 02:13:06 PM,43.1,,,,
68,03/05/16 02:13:07 PM,32.3,,,,
69,03/05/16 02:13:08 PM,32.3,,,,
70,03/05/16 02:13:09 PM,32.3,,,,
71,03/05/16 02:13:10 PM,32.3,,,,
72,03/05/16 02:13:11 PM,32.3,,,,
73,03/05/16 02:13:12 PM,32.3,,,,
74,03/05/16 02:13:13 PM,43.1,,,,
75,03/05/16 02:13:14 PM,43.1,,,,
