"Plot Title: no_devo_3_2_2_3_2_5"
"#","Date Time, GMT-05:00","Intensity, Lux (LGR S/N: 1262011, SEN S/N: 1262011, LBL: light)","Coupler Attached (LGR S/N: 1262011)","Host Connected (LGR S/N: 1262011)","Stopped (LGR S/N: 1262011)","End Of File (LGR S/N: 1262011)"
1,03/06/16 03:34:00 PM,32.3,,,,
2,03/06/16 03:34:01 PM,10.8,,,,
3,03/06/16 03:34:02 PM,21.5,,,,
4,03/06/16 03:34:03 PM,64.6,,,,
5,03/06/16 03:34:04 PM,64.6,,,,
6,03/06/16 03:34:05 PM,0.0,,,,
7,03/06/16 03:34:06 PM,10.8,,,,
8,03/06/16 03:34:07 PM,32.3,,,,
9,03/06/16 03:34:08 PM,43.1,,,,
10,03/06/16 03:34:09 PM,53.8,,,,
11,03/06/16 03:34:10 PM,21.5,,,,
12,03/06/16 03:34:11 PM,10.8,,,,
13,03/06/16 03:34:12 PM,10.8,,,,
14,03/06/16 03:34:13 PM,32.3,,,,
15,03/06/16 03:34:14 PM,43.1,,,,
16,03/06/16 03:34:15 PM,43.1,,,,
17,03/06/16 03:34:16 PM,0.0,,,,
18,03/06/16 03:34:17 PM,53.8,,,,
19,03/06/16 03:34:18 PM,53.8,,,,
20,03/06/16 03:34:19 PM,53.8,,,,
21,03/06/16 03:34:20 PM,53.8,,,,
22,03/06/16 03:34:21 PM,43.1,,,,
23,03/06/16 03:34:22 PM,43.1,,,,
24,03/06/16 03:34:23 PM,43.1,,,,
25,03/06/16 03:34:24 PM,43.1,,,,
26,03/06/16 03:34:25 PM,43.1,,,,
27,03/06/16 03:34:26 PM,43.1,,,,
28,03/06/16 03:34:27 PM,43.1,,,,
29,03/06/16 03:34:28 PM,43.1,,,,
30,03/06/16 03:34:29 PM,43.1,,,,
31,03/06/16 03:34:30 PM,53.8,,,,
32,03/06/16 03:34:31 PM,53.8,,,,
33,03/06/16 03:34:32 PM,53.8,,,,
34,03/06/16 03:34:33 PM,53.8,,,,
35,03/06/16 03:34:34 PM,53.8,,,,
36,03/06/16 03:34:35 PM,53.8,,,,
37,03/06/16 03:34:36 PM,53.8,,,,
38,03/06/16 03:34:37 PM,53.8,,,,
39,03/06/16 03:34:38 PM,53.8,,,,
40,03/06/16 03:34:39 PM,53.8,,,,
41,03/06/16 03:34:40 PM,53.8,,,,
42,03/06/16 03:34:41 PM,53.8,,,,
43,03/06/16 03:34:42 PM,53.8,,,,
