"Plot Title: no_devo_1_1_0_0_0_0"
"#","Date Time, GMT-05:00","Intensity, Lux (LGR S/N: 1262011, SEN S/N: 1262011, LBL: light)","Host Connected (LGR S/N: 1262011)","Coupler Attached (LGR S/N: 1262011)","Stopped (LGR S/N: 1262011)","End Of File (LGR S/N: 1262011)"
1,03/01/16 02:49:00 PM,10.8,,,,
2,03/01/16 02:49:01 PM,10.8,,,,
3,03/01/16 02:49:02 PM,10.8,,,,
4,03/01/16 02:49:03 PM,10.8,,,,
5,03/01/16 02:49:04 PM,10.8,,,,
6,03/01/16 02:49:05 PM,10.8,,,,
7,03/01/16 02:49:06 PM,10.8,,,,
8,03/01/16 02:49:07 PM,10.8,,,,
9,03/01/16 02:49:08 PM,10.8,,,,
10,03/01/16 02:49:09 PM,10.8,,,,
11,03/01/16 02:49:10 PM,10.8,,,,
12,03/01/16 02:49:11 PM,10.8,,,,
13,03/01/16 02:49:12 PM,10.8,,,,
14,03/01/16 02:49:13 PM,10.8,,,,
15,03/01/16 02:49:14 PM,21.5,,,,
16,03/01/16 02:49:15 PM,10.8,,,,
17,03/01/16 02:49:16 PM,10.8,,,,
18,03/01/16 02:49:17 PM,10.8,,,,
19,03/01/16 02:49:18 PM,10.8,,,,
20,03/01/16 02:49:19 PM,21.5,,,,
21,03/01/16 02:49:20 PM,21.5,,,,
22,03/01/16 02:49:21 PM,21.5,,,,
23,03/01/16 02:49:22 PM,21.5,,,,
24,03/01/16 02:49:23 PM,21.5,,,,
25,03/01/16 02:49:24 PM,21.5,,,,
26,03/01/16 02:49:25 PM,21.5,,,,
27,03/01/16 02:49:26 PM,21.5,,,,
28,03/01/16 02:49:27 PM,21.5,,,,
29,03/01/16 02:49:28 PM,21.5,,,,
30,03/01/16 02:49:29 PM,21.5,,,,
31,03/01/16 02:49:30 PM,21.5,,,,
32,03/01/16 02:49:31 PM,21.5,,,,
33,03/01/16 02:49:32 PM,21.5,,,,
34,03/01/16 02:49:33 PM,21.5,,,,
35,03/01/16 02:49:34 PM,21.5,,,,
36,03/01/16 02:49:35 PM,32.3,,,,
37,03/01/16 02:49:36 PM,32.3,,,,
38,03/01/16 02:49:37 PM,32.3,,,,
39,03/01/16 02:49:38 PM,32.3,,,,
40,03/01/16 02:49:39 PM,32.3,,,,
41,03/01/16 02:49:40 PM,32.3,,,,
42,03/01/16 02:49:41 PM,32.3,,,,
43,03/01/16 02:49:42 PM,32.3,,,,
44,03/01/16 02:49:43 PM,32.3,,,,
45,03/01/16 02:49:44 PM,32.3,,,,
46,03/01/16 02:49:45 PM,43.1,,,,
47,03/01/16 02:49:46 PM,32.3,,,,
48,03/01/16 02:49:47 PM,43.1,,,,
49,03/01/16 02:49:48 PM,43.1,,,,
50,03/01/16 02:49:49 PM,43.1,,,,
51,03/01/16 02:49:50 PM,43.1,,,,
52,03/01/16 02:49:51 PM,43.1,,,,
53,03/01/16 02:49:52 PM,43.1,,,,
54,03/01/16 02:49:53 PM,43.1,,,,
55,03/01/16 02:49:54 PM,43.1,,,,
56,03/01/16 02:49:55 PM,43.1,,,,
57,03/01/16 02:49:56 PM,53.8,,,,
58,03/01/16 02:49:57 PM,53.8,,,,
59,03/01/16 02:49:58 PM,53.8,,,,
60,03/01/16 02:49:59 PM,53.8,,,,
61,03/01/16 02:50:00 PM,53.8,,,,
62,03/01/16 02:50:01 PM,53.8,,,,
63,03/01/16 02:50:02 PM,53.8,,,,
64,03/01/16 02:50:03 PM,53.8,,,,
65,03/01/16 02:50:04 PM,64.6,,,,
66,03/01/16 02:50:05 PM,64.6,,,,
67,03/01/16 02:50:06 PM,64.6,,,,
68,03/01/16 02:50:07 PM,64.6,,,,
69,03/01/16 02:50:08 PM,64.6,,,,
70,03/01/16 02:50:09 PM,64.6,,,,
71,03/01/16 02:50:10 PM,64.6,,,,
72,03/01/16 02:50:11 PM,64.6,,,,
73,03/01/16 02:50:12 PM,64.6,,,,
74,03/01/16 02:50:13 PM,75.3,,,,
75,03/01/16 02:50:14 PM,75.3,,,,
76,03/01/16 02:50:15 PM,75.3,,,,
77,03/01/16 02:50:16 PM,75.3,,,,
78,03/01/16 02:50:17 PM,75.3,,,,
79,03/01/16 02:50:18 PM,75.3,,,,
80,03/01/16 02:50:19 PM,75.3,,,,
81,03/01/16 02:50:20 PM,75.3,,,,
82,03/01/16 02:50:21 PM,75.3,,,,
83,03/01/16 02:50:22 PM,75.3,,,,
84,03/01/16 02:50:23 PM,75.3,,,,
85,03/01/16 02:50:24 PM,75.3,,,,
86,03/01/16 02:50:25 PM,86.1,,,,
87,03/01/16 02:50:26 PM,86.1,,,,
88,03/01/16 02:50:27 PM,107.6,,,,
89,03/01/16 02:50:28 PM,32.3,,,,
90,03/01/16 02:50:29 PM,32.3,,,,
91,03/01/16 02:50:30 PM,32.3,,,,
92,03/01/16 02:50:31 PM,32.3,,,,
93,03/01/16 02:50:32 PM,32.3,,,,
94,03/01/16 02:50:33 PM,32.3,,,,
95,03/01/16 02:50:34 PM,32.3,,,,
96,03/01/16 02:50:35 PM,32.3,,,,
97,03/01/16 02:50:36 PM,32.3,,,,
98,03/01/16 02:50:37 PM,32.3,,,,
99,03/01/16 02:50:38 PM,32.3,,,,
100,03/01/16 02:50:39 PM,32.3,,,,
101,03/01/16 02:50:40 PM,32.3,,,,
102,03/01/16 02:50:41 PM,32.3,,,,
103,03/01/16 02:50:42 PM,32.3,,,,
104,03/01/16 02:50:43 PM,32.3,,,,
105,03/01/16 02:50:44 PM,32.3,,,,
106,03/01/16 02:50:45 PM,32.3,,,,
107,03/01/16 02:50:46 PM,32.3,,,,
108,03/01/16 02:50:47 PM,32.3,,,,
109,03/01/16 02:50:48 PM,32.3,,,,
110,03/01/16 02:50:49 PM,32.3,,,,
111,03/01/16 02:50:50 PM,32.3,,,,
112,03/01/16 02:50:51 PM,32.3,,,,
113,03/01/16 02:50:52 PM,32.3,,,,
114,03/01/16 02:50:53 PM,32.3,,,,
115,03/01/16 02:50:54 PM,32.3,,,,
116,03/01/16 02:50:55 PM,32.3,,,,
117,03/01/16 02:50:56 PM,32.3,,,,
118,03/01/16 02:50:57 PM,32.3,,,,
119,03/01/16 02:50:58 PM,32.3,,,,
120,03/01/16 02:50:59 PM,32.3,,,,
121,03/01/16 02:51:00 PM,32.3,,,,
122,03/01/16 02:51:01 PM,0.0,,,,
123,03/01/16 02:51:02 PM,0.0,,,,
124,03/01/16 02:51:03 PM,0.0,,,,
125,03/01/16 02:51:04 PM,0.0,Logged,,,
126,03/01/16 02:51:05 PM,0.0,,Logged,,
127,03/01/16 02:51:06 PM,0.0,,,,
128,03/01/16 02:51:07 PM,0.0,,,,
129,03/01/16 02:51:08 PM,0.0,,,,
130,03/01/16 02:51:09 PM,0.0,,,,
131,03/01/16 02:51:10 PM,0.0,,,,
132,03/01/16 02:51:11 PM,0.0,,,,
133,03/01/16 02:51:12 PM,0.0,,,Logged,Logged
