"Plot Title: no_devo_1_6_0_0_0_0"
"#","Date Time, GMT-05:00","Intensity, Lux (LGR S/N: 1262011, SEN S/N: 1262011, LBL: light)","Coupler Attached (LGR S/N: 1262011)","Host Connected (LGR S/N: 1262011)","Stopped (LGR S/N: 1262011)","End Of File (LGR S/N: 1262011)"
1,03/05/16 08:20:00 PM,53.8,,,,
2,03/05/16 08:20:01 PM,75.3,,,,
3,03/05/16 08:20:02 PM,75.3,,,,
4,03/05/16 08:20:03 PM,64.6,,,,
5,03/05/16 08:20:04 PM,64.6,,,,
6,03/05/16 08:20:05 PM,64.6,,,,
7,03/05/16 08:20:06 PM,64.6,,,,
8,03/05/16 08:20:07 PM,64.6,,,,
9,03/05/16 08:20:08 PM,64.6,,,,
10,03/05/16 08:20:09 PM,64.6,,,,
11,03/05/16 08:20:10 PM,53.8,,,,
12,03/05/16 08:20:11 PM,53.8,,,,
13,03/05/16 08:20:12 PM,53.8,,,,
14,03/05/16 08:20:13 PM,53.8,,,,
15,03/05/16 08:20:14 PM,53.8,,,,
16,03/05/16 08:20:15 PM,53.8,,,,
17,03/05/16 08:20:16 PM,53.8,,,,
18,03/05/16 08:20:17 PM,53.8,,,,
19,03/05/16 08:20:18 PM,53.8,,,,
20,03/05/16 08:20:19 PM,64.6,,,,
21,03/05/16 08:20:20 PM,53.8,,,,
22,03/05/16 08:20:21 PM,53.8,,,,
23,03/05/16 08:20:22 PM,64.6,,,,
24,03/05/16 08:20:23 PM,53.8,,,,
25,03/05/16 08:20:24 PM,53.8,,,,
26,03/05/16 08:20:25 PM,53.8,,,,
27,03/05/16 08:20:26 PM,53.8,,,,
28,03/05/16 08:20:27 PM,53.8,,,,
29,03/05/16 08:20:28 PM,53.8,,,,
30,03/05/16 08:20:29 PM,53.8,,,,
31,03/05/16 08:20:30 PM,53.8,,,,
32,03/05/16 08:20:31 PM,64.6,,,,
33,03/05/16 08:20:32 PM,53.8,,,,
34,03/05/16 08:20:33 PM,53.8,,,,
35,03/05/16 08:20:34 PM,53.8,,,,
36,03/05/16 08:20:35 PM,53.8,,,,
37,03/05/16 08:20:36 PM,53.8,,,,
38,03/05/16 08:20:37 PM,53.8,,,,
39,03/05/16 08:20:38 PM,53.8,,,,
40,03/05/16 08:20:39 PM,53.8,,,,
41,03/05/16 08:20:40 PM,53.8,,,,
42,03/05/16 08:20:41 PM,53.8,,,,
43,03/05/16 08:20:42 PM,53.8,,,,
44,03/05/16 08:20:43 PM,53.8,,,,
45,03/05/16 08:20:44 PM,53.8,,,,
46,03/05/16 08:20:45 PM,53.8,,,,
47,03/05/16 08:20:46 PM,53.8,,,,
48,03/05/16 08:20:47 PM,53.8,,,,
49,03/05/16 08:20:48 PM,53.8,,,,
50,03/05/16 08:20:49 PM,53.8,,,,
51,03/05/16 08:20:50 PM,53.8,,,,
52,03/05/16 08:20:51 PM,53.8,,,,
53,03/05/16 08:20:52 PM,53.8,,,,
54,03/05/16 08:20:53 PM,53.8,,,,
55,03/05/16 08:20:54 PM,53.8,,,,
56,03/05/16 08:20:55 PM,53.8,,,,
57,03/05/16 08:20:56 PM,53.8,,,,
58,03/05/16 08:20:57 PM,53.8,,,,
59,03/05/16 08:20:58 PM,53.8,,,,
60,03/05/16 08:20:59 PM,53.8,,,,
61,03/05/16 08:21:00 PM,53.8,,,,
62,03/05/16 08:21:01 PM,53.8,,,,
63,03/05/16 08:21:02 PM,53.8,,,,
64,03/05/16 08:21:03 PM,53.8,,,,
65,03/05/16 08:21:04 PM,53.8,,,,
66,03/05/16 08:21:05 PM,53.8,,,,
67,03/05/16 08:21:06 PM,53.8,,,,
68,03/05/16 08:21:07 PM,53.8,,,,
