"Plot Title: no_devo1_9_0_0_0_0_redo"
"#","Date Time, GMT-05:00","Intensity, Lux (LGR S/N: 1262011, SEN S/N: 1262011, LBL: light)","Coupler Attached (LGR S/N: 1262011)","Host Connected (LGR S/N: 1262011)","Stopped (LGR S/N: 1262011)","End Of File (LGR S/N: 1262011)"
1,03/05/16 02:28:00 PM,53.8,,,,
2,03/05/16 02:28:01 PM,53.8,,,,
3,03/05/16 02:28:02 PM,43.1,,,,
4,03/05/16 02:28:03 PM,43.1,,,,
5,03/05/16 02:28:04 PM,53.8,,,,
6,03/05/16 02:28:05 PM,43.1,,,,
7,03/05/16 02:28:06 PM,43.1,,,,
8,03/05/16 02:28:07 PM,43.1,,,,
9,03/05/16 02:28:08 PM,43.1,,,,
10,03/05/16 02:28:09 PM,43.1,,,,
11,03/05/16 02:28:10 PM,43.1,,,,
12,03/05/16 02:28:11 PM,43.1,,,,
13,03/05/16 02:28:12 PM,43.1,,,,
14,03/05/16 02:28:13 PM,43.1,,,,
15,03/05/16 02:28:14 PM,43.1,,,,
16,03/05/16 02:28:15 PM,43.1,,,,
17,03/05/16 02:28:16 PM,43.1,,,,
18,03/05/16 02:28:17 PM,43.1,,,,
19,03/05/16 02:28:18 PM,43.1,,,,
20,03/05/16 02:28:19 PM,43.1,,,,
21,03/05/16 02:28:20 PM,43.1,,,,
22,03/05/16 02:28:21 PM,43.1,,,,
23,03/05/16 02:28:22 PM,32.3,,,,
24,03/05/16 02:28:23 PM,32.3,,,,
25,03/05/16 02:28:24 PM,32.3,,,,
26,03/05/16 02:28:25 PM,32.3,,,,
27,03/05/16 02:28:26 PM,32.3,,,,
28,03/05/16 02:28:27 PM,32.3,,,,
29,03/05/16 02:28:28 PM,32.3,,,,
30,03/05/16 02:28:29 PM,32.3,,,,
31,03/05/16 02:28:30 PM,32.3,,,,
32,03/05/16 02:28:31 PM,43.1,,,,
33,03/05/16 02:28:32 PM,43.1,,,,
34,03/05/16 02:28:33 PM,43.1,,,,
35,03/05/16 02:28:34 PM,43.1,,,,
36,03/05/16 02:28:35 PM,43.1,,,,
37,03/05/16 02:28:36 PM,43.1,,,,
38,03/05/16 02:28:37 PM,43.1,,,,
39,03/05/16 02:28:38 PM,43.1,,,,
40,03/05/16 02:28:39 PM,43.1,,,,
41,03/05/16 02:28:40 PM,43.1,,,,
42,03/05/16 02:28:41 PM,43.1,,,,
43,03/05/16 02:28:42 PM,43.1,,,,
44,03/05/16 02:28:43 PM,43.1,,,,
45,03/05/16 02:28:44 PM,43.1,,,,
46,03/05/16 02:28:45 PM,43.1,,,,
