"Plot Title: no_devo_4_8_3_6_3_9"
"#","Date Time, GMT-05:00","Intensity, Lux (LGR S/N: 1262011, SEN S/N: 1262011, LBL: light)","Host Connected (LGR S/N: 1262011)","Coupler Attached (LGR S/N: 1262011)","Stopped (LGR S/N: 1262011)","End Of File (LGR S/N: 1262011)"
1,03/07/16 12:54:30 PM,53.8,,,,
2,03/07/16 12:54:31 PM,53.8,,,,
3,03/07/16 12:54:32 PM,43.1,,,,
4,03/07/16 12:54:33 PM,53.8,,,,
5,03/07/16 12:54:34 PM,53.8,,,,
6,03/07/16 12:54:35 PM,43.1,,,,
7,03/07/16 12:54:36 PM,43.1,,,,
8,03/07/16 12:54:37 PM,43.1,,,,
9,03/07/16 12:54:38 PM,43.1,,,,
10,03/07/16 12:54:39 PM,43.1,,,,
11,03/07/16 12:54:40 PM,43.1,,,,
12,03/07/16 12:54:41 PM,43.1,,,,
13,03/07/16 12:54:42 PM,43.1,,,,
14,03/07/16 12:54:43 PM,43.1,,,,
15,03/07/16 12:54:44 PM,43.1,,,,
16,03/07/16 12:54:45 PM,43.1,,,,
17,03/07/16 12:54:46 PM,43.1,,,,
18,03/07/16 12:54:47 PM,43.1,,,,
19,03/07/16 12:54:48 PM,43.1,,,,
20,03/07/16 12:54:49 PM,43.1,,,,
21,03/07/16 12:54:50 PM,43.1,,,,
22,03/07/16 12:54:51 PM,43.1,,,,
23,03/07/16 12:54:52 PM,43.1,,,,
24,03/07/16 12:54:53 PM,43.1,,,,
25,03/07/16 12:54:54 PM,43.1,,,,
26,03/07/16 12:54:55 PM,43.1,,,,
27,03/07/16 12:54:56 PM,43.1,,,,
28,03/07/16 12:54:57 PM,43.1,,,,
29,03/07/16 12:54:58 PM,43.1,,,,
30,03/07/16 12:54:59 PM,43.1,,,,
31,03/07/16 12:55:00 PM,43.1,,,,
32,03/07/16 12:55:01 PM,43.1,,,,
33,03/07/16 12:55:02 PM,43.1,,,,
34,03/07/16 12:55:03 PM,43.1,,,,
35,03/07/16 12:55:04 PM,43.1,,,,
36,03/07/16 12:55:05 PM,43.1,,,,
37,03/07/16 12:55:06 PM,43.1,,,,
38,03/07/16 12:55:07 PM,43.1,,,,
39,03/07/16 12:55:08 PM,43.1,,,,
40,03/07/16 12:55:09 PM,43.1,,,,
41,03/07/16 12:55:10 PM,43.1,,,,
42,03/07/16 12:55:11 PM,43.1,,,,
43,03/07/16 12:55:12 PM,43.1,,,,
44,03/07/16 12:55:13 PM,43.1,,,,
45,03/07/16 12:55:14 PM,43.1,,,,
46,03/07/16 12:55:15 PM,43.1,,,,
47,03/07/16 12:55:16 PM,43.1,,,,
48,03/07/16 12:55:17 PM,43.1,,,,
49,03/07/16 12:55:18 PM,43.1,,,,
50,03/07/16 12:55:19 PM,43.1,,,,
51,03/07/16 12:55:20 PM,43.1,,,,
52,03/07/16 12:55:21 PM,43.1,,,,
53,03/07/16 12:55:22 PM,43.1,,,,
54,03/07/16 12:55:23 PM,43.1,,,,
55,03/07/16 12:55:24 PM,43.1,,,,
56,03/07/16 12:55:25 PM,43.1,,,,
57,03/07/16 12:55:26 PM,43.1,,,,
58,03/07/16 12:55:27 PM,43.1,,,,
59,03/07/16 12:55:28 PM,43.1,,,,
60,03/07/16 12:55:29 PM,43.1,,,,
61,03/07/16 12:55:30 PM,43.1,,,,
62,03/07/16 12:55:31 PM,43.1,,,,
63,03/07/16 12:55:32 PM,43.1,,,,
64,03/07/16 12:55:33 PM,43.1,,,,
65,03/07/16 12:55:34 PM,43.1,,,,
66,03/07/16 12:55:35 PM,43.1,,,,
67,03/07/16 12:55:36 PM,43.1,,,,
68,03/07/16 12:55:37 PM,43.1,,,,
69,03/07/16 12:55:38 PM,43.1,,,,
70,03/07/16 12:55:39 PM,43.1,,,,
71,03/07/16 12:55:40 PM,43.1,,,,
72,03/07/16 12:55:41 PM,43.1,,,,
73,03/07/16 12:55:42 PM,43.1,,,,
74,03/07/16 12:55:43 PM,43.1,,,,
75,03/07/16 12:55:44 PM,43.1,,,,
76,03/07/16 12:55:45 PM,43.1,,,,
77,03/07/16 12:55:46 PM,43.1,,,,
78,03/07/16 12:55:47 PM,43.1,,,,
79,03/07/16 12:55:48 PM,43.1,,,,
80,03/07/16 12:55:49 PM,43.1,,,,
81,03/07/16 12:55:50 PM,43.1,,,,
82,03/07/16 12:55:51 PM,43.1,,,,
83,03/07/16 12:55:52 PM,43.1,,,,
84,03/07/16 12:55:53 PM,43.1,,,,
85,03/07/16 12:55:54 PM,43.1,,,,
86,03/07/16 12:55:55 PM,43.1,,,,
87,03/07/16 12:55:56 PM,43.1,,,,
88,03/07/16 12:55:57 PM,43.1,,,,
89,03/07/16 12:55:58 PM,43.1,,,,
90,03/07/16 12:55:59 PM,43.1,,,,
91,03/07/16 12:56:00 PM,43.1,,,,
92,03/07/16 12:56:01 PM,43.1,,,,
93,03/07/16 12:56:02 PM,43.1,,,,
94,03/07/16 12:56:03 PM,43.1,,,,
95,03/07/16 12:56:04 PM,43.1,,,,
96,03/07/16 12:56:05 PM,43.1,,,,
97,03/07/16 12:56:06 PM,43.1,,,,
98,03/07/16 12:56:07 PM,43.1,,,,
99,03/07/16 12:56:08 PM,43.1,,,,
100,03/07/16 12:56:09 PM,43.1,,,,
101,03/07/16 12:56:10 PM,43.1,,,,
102,03/07/16 12:56:11 PM,43.1,,,,
103,03/07/16 12:56:12 PM,43.1,,,,
104,03/07/16 12:56:13 PM,53.8,,,,
105,03/07/16 12:56:14 PM,53.8,,,,
106,03/07/16 12:56:15 PM,53.8,,,,
107,03/07/16 12:56:16 PM,43.1,,,,
108,03/07/16 12:56:17 PM,53.8,,,,
109,03/07/16 12:56:18 PM,43.1,,,,
110,03/07/16 12:56:19 PM,43.1,,,,
111,03/07/16 12:56:20 PM,43.1,,,,
112,03/07/16 12:56:21 PM,43.1,,,,
113,03/07/16 12:56:22 PM,43.1,,,,
114,03/07/16 12:56:23 PM,43.1,,,,
115,03/07/16 12:56:24 PM,43.1,,,,
116,03/07/16 12:56:25 PM,43.1,,,,
117,03/07/16 12:56:26 PM,53.8,,,,
