"Plot Title: no_devo_6_6_5_6_5_7"
"#","Date Time, GMT-05:00","Intensity, Lux (LGR S/N: 1262011, SEN S/N: 1262011, LBL: light)","Coupler Attached (LGR S/N: 1262011)","Host Connected (LGR S/N: 1262011)","Stopped (LGR S/N: 1262011)","End Of File (LGR S/N: 1262011)"
1,03/10/16 07:42:30 PM,43.1,,,,
2,03/10/16 07:42:31 PM,32.3,,,,
3,03/10/16 07:42:32 PM,32.3,,,,
4,03/10/16 07:42:33 PM,32.3,,,,
5,03/10/16 07:42:34 PM,32.3,,,,
6,03/10/16 07:42:35 PM,32.3,,,,
7,03/10/16 07:42:36 PM,32.3,,,,
8,03/10/16 07:42:37 PM,32.3,,,,
9,03/10/16 07:42:38 PM,32.3,,,,
10,03/10/16 07:42:39 PM,32.3,,,,
11,03/10/16 07:42:40 PM,32.3,,,,
12,03/10/16 07:42:41 PM,32.3,,,,
13,03/10/16 07:42:42 PM,32.3,,,,
14,03/10/16 07:42:43 PM,32.3,,,,
15,03/10/16 07:42:44 PM,32.3,,,,
16,03/10/16 07:42:45 PM,32.3,,,,
17,03/10/16 07:42:46 PM,32.3,,,,
18,03/10/16 07:42:47 PM,32.3,,,,
19,03/10/16 07:42:48 PM,32.3,,,,
20,03/10/16 07:42:49 PM,32.3,,,,
21,03/10/16 07:42:50 PM,32.3,,,,
22,03/10/16 07:42:51 PM,32.3,,,,
23,03/10/16 07:42:52 PM,32.3,,,,
24,03/10/16 07:42:53 PM,32.3,,,,
25,03/10/16 07:42:54 PM,32.3,,,,
26,03/10/16 07:42:55 PM,32.3,,,,
27,03/10/16 07:42:56 PM,32.3,,,,
28,03/10/16 07:42:57 PM,32.3,,,,
29,03/10/16 07:42:58 PM,32.3,,,,
30,03/10/16 07:42:59 PM,32.3,,,,
31,03/10/16 07:43:00 PM,32.3,,,,
32,03/10/16 07:43:01 PM,32.3,,,,
33,03/10/16 07:43:02 PM,32.3,,,,
34,03/10/16 07:43:03 PM,32.3,,,,
35,03/10/16 07:43:04 PM,32.3,,,,
36,03/10/16 07:43:05 PM,32.3,,,,
37,03/10/16 07:43:06 PM,32.3,,,,
38,03/10/16 07:43:07 PM,32.3,,,,
39,03/10/16 07:43:08 PM,32.3,,,,
40,03/10/16 07:43:09 PM,32.3,,,,
41,03/10/16 07:43:10 PM,32.3,,,,
42,03/10/16 07:43:11 PM,32.3,,,,
43,03/10/16 07:43:12 PM,32.3,,,,
44,03/10/16 07:43:13 PM,32.3,,,,
45,03/10/16 07:43:14 PM,32.3,,,,
46,03/10/16 07:43:15 PM,32.3,,,,
47,03/10/16 07:43:16 PM,32.3,,,,
48,03/10/16 07:43:17 PM,32.3,,,,
49,03/10/16 07:43:18 PM,32.3,,,,
50,03/10/16 07:43:19 PM,32.3,,,,
51,03/10/16 07:43:20 PM,32.3,,,,
52,03/10/16 07:43:21 PM,32.3,,,,
53,03/10/16 07:43:22 PM,32.3,,,,
54,03/10/16 07:43:23 PM,32.3,,,,
55,03/10/16 07:43:24 PM,32.3,,,,
56,03/10/16 07:43:25 PM,32.3,,,,
57,03/10/16 07:43:26 PM,32.3,,,,
58,03/10/16 07:43:27 PM,32.3,,,,
59,03/10/16 07:43:28 PM,32.3,,,,
60,03/10/16 07:43:29 PM,32.3,,,,
61,03/10/16 07:43:30 PM,32.3,,,,
62,03/10/16 07:43:31 PM,32.3,,,,
63,03/10/16 07:43:32 PM,32.3,,,,
64,03/10/16 07:43:33 PM,32.3,,,,
65,03/10/16 07:43:34 PM,32.3,,,,
66,03/10/16 07:43:35 PM,32.3,,,,
67,03/10/16 07:43:36 PM,32.3,,,,
68,03/10/16 07:43:37 PM,32.3,,,,
69,03/10/16 07:43:38 PM,32.3,,,,
70,03/10/16 07:43:39 PM,32.3,,,,
71,03/10/16 07:43:40 PM,32.3,,,,
72,03/10/16 07:43:41 PM,32.3,,,,
73,03/10/16 07:43:42 PM,32.3,,,,
74,03/10/16 07:43:43 PM,32.3,,,,
75,03/10/16 07:43:44 PM,32.3,,,,
76,03/10/16 07:43:45 PM,32.3,,,,
77,03/10/16 07:43:46 PM,32.3,,,,
78,03/10/16 07:43:47 PM,32.3,,,,
79,03/10/16 07:43:48 PM,32.3,,,,
80,03/10/16 07:43:49 PM,32.3,,,,
81,03/10/16 07:43:50 PM,32.3,,,,
82,03/10/16 07:43:51 PM,32.3,,,,
83,03/10/16 07:43:52 PM,32.3,,,,
84,03/10/16 07:43:53 PM,32.3,,,,
85,03/10/16 07:43:54 PM,32.3,,,,
86,03/10/16 07:43:55 PM,32.3,,,,
87,03/10/16 07:43:56 PM,32.3,,,,
88,03/10/16 07:43:57 PM,32.3,,,,
89,03/10/16 07:43:58 PM,32.3,,,,
90,03/10/16 07:43:59 PM,32.3,,,,
91,03/10/16 07:44:00 PM,32.3,,,,
92,03/10/16 07:44:01 PM,32.3,,,,
93,03/10/16 07:44:02 PM,32.3,,,,
94,03/10/16 07:44:03 PM,32.3,,,,
95,03/10/16 07:44:04 PM,32.3,,,,
96,03/10/16 07:44:05 PM,32.3,,,,
97,03/10/16 07:44:06 PM,32.3,,,,
98,03/10/16 07:44:07 PM,32.3,,,,
99,03/10/16 07:44:08 PM,32.3,,,,
100,03/10/16 07:44:09 PM,32.3,,,,
101,03/10/16 07:44:10 PM,32.3,,,,
102,03/10/16 07:44:11 PM,32.3,,,,
103,03/10/16 07:44:12 PM,32.3,,,,
104,03/10/16 07:44:13 PM,32.3,,,,
105,03/10/16 07:44:14 PM,32.3,,,,
106,03/10/16 07:44:15 PM,32.3,,,,
107,03/10/16 07:44:16 PM,32.3,,,,
108,03/10/16 07:44:17 PM,32.3,,,,
109,03/10/16 07:44:18 PM,32.3,,,,
110,03/10/16 07:44:19 PM,32.3,,,,
111,03/10/16 07:44:20 PM,32.3,,,,
112,03/10/16 07:44:21 PM,32.3,,,,
113,03/10/16 07:44:22 PM,32.3,,,,
114,03/10/16 07:44:23 PM,32.3,,,,
115,03/10/16 07:44:24 PM,32.3,,,,
116,03/10/16 07:44:25 PM,32.3,,,,
117,03/10/16 07:44:26 PM,32.3,,,,
118,03/10/16 07:44:27 PM,32.3,,,,
119,03/10/16 07:44:28 PM,32.3,,,,
120,03/10/16 07:44:29 PM,32.3,,,,
121,03/10/16 07:44:30 PM,32.3,,,,
122,03/10/16 07:44:31 PM,32.3,,,,
123,03/10/16 07:44:32 PM,0.0,,,,
124,03/10/16 07:44:33 PM,0.0,,,,
125,03/10/16 07:44:34 PM,0.0,,,,
126,03/10/16 07:44:35 PM,0.0,,,,
127,03/10/16 07:44:36 PM,0.0,,,,
128,03/10/16 07:44:37 PM,0.0,,,,
129,03/10/16 07:44:38 PM,0.0,,,,
130,03/10/16 07:44:39 PM,0.0,,,,
131,03/10/16 07:44:40 PM,0.0,,,,
132,03/10/16 07:44:41 PM,0.0,,,,
133,03/10/16 07:44:42 PM,0.0,,,,
134,03/10/16 07:44:43 PM,0.0,,,,
135,03/10/16 07:44:44 PM,0.0,,,,
