"Plot Title: gen_5_standing_still"
"#","Date Time, GMT-05:00","Intensity, Lux (LGR S/N: 1262011, SEN S/N: 1262011, LBL: light)","Host Connected (LGR S/N: 1262011)","Coupler Attached (LGR S/N: 1262011)","Stopped (LGR S/N: 1262011)","End Of File (LGR S/N: 1262011)"
1,03/08/16 04:55:00 PM,64.6,,,,
2,03/08/16 04:55:01 PM,64.6,,,,
3,03/08/16 04:55:02 PM,64.6,,,,
4,03/08/16 04:55:03 PM,64.6,,,,
5,03/08/16 04:55:04 PM,64.6,,,,
6,03/08/16 04:55:05 PM,64.6,,,,
7,03/08/16 04:55:06 PM,64.6,,,,
8,03/08/16 04:55:07 PM,64.6,,,,
9,03/08/16 04:55:08 PM,64.6,,,,
10,03/08/16 04:55:09 PM,64.6,,,,
11,03/08/16 04:55:10 PM,64.6,,,,
12,03/08/16 04:55:11 PM,64.6,,,,
13,03/08/16 04:55:12 PM,64.6,,,,
14,03/08/16 04:55:13 PM,64.6,,,,
15,03/08/16 04:55:14 PM,64.6,,,,
16,03/08/16 04:55:15 PM,64.6,,,,
17,03/08/16 04:55:16 PM,75.3,,,,
18,03/08/16 04:55:17 PM,75.3,,,,
19,03/08/16 04:55:18 PM,75.3,,,,
20,03/08/16 04:55:19 PM,64.6,,,,
21,03/08/16 04:55:20 PM,75.3,,,,
22,03/08/16 04:55:21 PM,75.3,,,,
23,03/08/16 04:55:22 PM,75.3,,,,
24,03/08/16 04:55:23 PM,75.3,,,,
25,03/08/16 04:55:24 PM,75.3,,,,
26,03/08/16 04:55:25 PM,75.3,,,,
27,03/08/16 04:55:26 PM,75.3,,,,
28,03/08/16 04:55:27 PM,75.3,,,,
29,03/08/16 04:55:28 PM,64.6,,,,
30,03/08/16 04:55:29 PM,64.6,,,,
31,03/08/16 04:55:30 PM,75.3,,,,
32,03/08/16 04:55:31 PM,64.6,,,,
33,03/08/16 04:55:32 PM,64.6,,,,
34,03/08/16 04:55:33 PM,64.6,,,,
35,03/08/16 04:55:34 PM,64.6,,,,
36,03/08/16 04:55:35 PM,64.6,,,,
37,03/08/16 04:55:36 PM,64.6,,,,
38,03/08/16 04:55:37 PM,64.6,,,,
39,03/08/16 04:55:38 PM,64.6,,,,
40,03/08/16 04:55:39 PM,64.6,,,,
41,03/08/16 04:55:40 PM,64.6,,,,
42,03/08/16 04:55:41 PM,64.6,,,,
43,03/08/16 04:55:42 PM,64.6,,,,
44,03/08/16 04:55:43 PM,64.6,,,,
45,03/08/16 04:55:44 PM,64.6,,,,
46,03/08/16 04:55:45 PM,64.6,,,,
47,03/08/16 04:55:46 PM,64.6,,,,
48,03/08/16 04:55:47 PM,64.6,,,,
49,03/08/16 04:55:48 PM,64.6,,,,
50,03/08/16 04:55:49 PM,64.6,,,,
51,03/08/16 04:55:50 PM,64.6,,,,
52,03/08/16 04:55:51 PM,64.6,,,,
53,03/08/16 04:55:52 PM,64.6,,,,
54,03/08/16 04:55:53 PM,64.6,,,,
55,03/08/16 04:55:54 PM,64.6,,,,
56,03/08/16 04:55:55 PM,64.6,,,,
57,03/08/16 04:55:56 PM,64.6,,,,
58,03/08/16 04:55:57 PM,64.6,,,,
59,03/08/16 04:55:58 PM,64.6,,,,
60,03/08/16 04:55:59 PM,64.6,,,,
61,03/08/16 04:56:00 PM,64.6,,,,
62,03/08/16 04:56:01 PM,64.6,,,,
63,03/08/16 04:56:02 PM,64.6,,,,
64,03/08/16 04:56:03 PM,64.6,,,,
65,03/08/16 04:56:04 PM,64.6,,,,
66,03/08/16 04:56:05 PM,64.6,,,,
67,03/08/16 04:56:06 PM,64.6,,,,
68,03/08/16 04:56:07 PM,64.6,,,,
69,03/08/16 04:56:08 PM,64.6,,,,
70,03/08/16 04:56:09 PM,64.6,,,,
71,03/08/16 04:56:10 PM,64.6,,,,
72,03/08/16 04:56:11 PM,64.6,,,,
73,03/08/16 04:56:12 PM,64.6,,,,
74,03/08/16 04:56:13 PM,64.6,,,,
75,03/08/16 04:56:14 PM,64.6,,,,
76,03/08/16 04:56:15 PM,64.6,,,,
77,03/08/16 04:56:16 PM,64.6,,,,
78,03/08/16 04:56:17 PM,64.6,,,,
79,03/08/16 04:56:18 PM,64.6,,,,
80,03/08/16 04:56:19 PM,64.6,,,,
81,03/08/16 04:56:20 PM,64.6,,,,
82,03/08/16 04:56:21 PM,64.6,,,,
83,03/08/16 04:56:22 PM,64.6,,,,
84,03/08/16 04:56:23 PM,64.6,,,,
85,03/08/16 04:56:24 PM,64.6,,,,
86,03/08/16 04:56:25 PM,64.6,,,,
87,03/08/16 04:56:26 PM,64.6,,,,
88,03/08/16 04:56:27 PM,64.6,,,,
89,03/08/16 04:56:28 PM,64.6,,,,
90,03/08/16 04:56:29 PM,64.6,,,,
91,03/08/16 04:56:30 PM,64.6,,,,
92,03/08/16 04:56:31 PM,64.6,,,,
93,03/08/16 04:56:32 PM,64.6,,,,
94,03/08/16 04:56:33 PM,64.6,,,,
95,03/08/16 04:56:34 PM,64.6,,,,
96,03/08/16 04:56:35 PM,64.6,,,,
97,03/08/16 04:56:36 PM,64.6,,,,
98,03/08/16 04:56:37 PM,64.6,,,,
99,03/08/16 04:56:38 PM,64.6,,,,
100,03/08/16 04:56:39 PM,64.6,,,,
101,03/08/16 04:56:40 PM,64.6,,,,
102,03/08/16 04:56:41 PM,64.6,,,,
103,03/08/16 04:56:42 PM,64.6,,,,
104,03/08/16 04:56:43 PM,64.6,,,,
105,03/08/16 04:56:44 PM,64.6,,,,
106,03/08/16 04:56:45 PM,64.6,,,,
107,03/08/16 04:56:46 PM,64.6,,,,
108,03/08/16 04:56:47 PM,64.6,,,,
109,03/08/16 04:56:48 PM,64.6,,,,
110,03/08/16 04:56:49 PM,64.6,,,,
111,03/08/16 04:56:50 PM,64.6,,,,
112,03/08/16 04:56:51 PM,64.6,,,,
113,03/08/16 04:56:52 PM,64.6,,,,
114,03/08/16 04:56:53 PM,64.6,,,,
115,03/08/16 04:56:54 PM,64.6,,,,
116,03/08/16 04:56:55 PM,64.6,,,,
117,03/08/16 04:56:56 PM,64.6,,,,
118,03/08/16 04:56:57 PM,64.6,,,,
119,03/08/16 04:56:58 PM,64.6,,,,
120,03/08/16 04:56:59 PM,64.6,,,,
121,03/08/16 04:57:00 PM,64.6,,,,
122,03/08/16 04:57:01 PM,0.0,,,,
123,03/08/16 04:57:02 PM,0.0,,,,
124,03/08/16 04:57:03 PM,0.0,,,,
125,03/08/16 04:57:04 PM,0.0,,,,
126,03/08/16 04:57:05 PM,0.0,,,,
127,03/08/16 04:57:06 PM,0.0,,,,
128,03/08/16 04:57:07 PM,0.0,Logged,,,
129,03/08/16 04:57:08 PM,0.0,,Logged,,
130,03/08/16 04:57:09 PM,0.0,,,,
131,03/08/16 04:57:10 PM,0.0,,,,
132,03/08/16 04:57:11 PM,0.0,,,,
133,03/08/16 04:57:12 PM,0.0,,,Logged,Logged
