"Plot Title: no_devo_6_2_5_9_5_3"
"#","Date Time, GMT-05:00","Intensity, Lux (LGR S/N: 1262011, SEN S/N: 1262011, LBL: light)","Coupler Attached (LGR S/N: 1262011)","Host Connected (LGR S/N: 1262011)","Stopped (LGR S/N: 1262011)","End Of File (LGR S/N: 1262011)"
1,03/10/16 10:23:00 PM,21.5,,,,
2,03/10/16 10:23:01 PM,32.3,,,,
3,03/10/16 10:23:02 PM,43.1,,,,
4,03/10/16 10:23:03 PM,43.1,,,,
5,03/10/16 10:23:04 PM,43.1,,,,
6,03/10/16 10:23:05 PM,43.1,,,,
7,03/10/16 10:23:06 PM,53.8,,,,
8,03/10/16 10:23:07 PM,53.8,,,,
9,03/10/16 10:23:08 PM,53.8,,,,
10,03/10/16 10:23:09 PM,53.8,,,,
11,03/10/16 10:23:10 PM,53.8,,,,
12,03/10/16 10:23:11 PM,53.8,,,,
13,03/10/16 10:23:12 PM,43.1,,,,
14,03/10/16 10:23:13 PM,53.8,,,,
15,03/10/16 10:23:14 PM,53.8,,,,
16,03/10/16 10:23:15 PM,43.1,,,,
17,03/10/16 10:23:16 PM,53.8,,,,
18,03/10/16 10:23:17 PM,53.8,,,,
19,03/10/16 10:23:18 PM,53.8,,,,
20,03/10/16 10:23:19 PM,43.1,,,,
21,03/10/16 10:23:20 PM,43.1,,,,
22,03/10/16 10:23:21 PM,43.1,,,,
23,03/10/16 10:23:22 PM,43.1,,,,
24,03/10/16 10:23:23 PM,43.1,,,,
25,03/10/16 10:23:24 PM,43.1,,,,
26,03/10/16 10:23:25 PM,43.1,,,,
27,03/10/16 10:23:26 PM,43.1,,,,
28,03/10/16 10:23:27 PM,43.1,,,,
29,03/10/16 10:23:28 PM,43.1,,,,
30,03/10/16 10:23:29 PM,43.1,,,,
31,03/10/16 10:23:30 PM,43.1,,,,
32,03/10/16 10:23:31 PM,43.1,,,,
33,03/10/16 10:23:32 PM,43.1,,,,
34,03/10/16 10:23:33 PM,43.1,,,,
35,03/10/16 10:23:34 PM,43.1,,,,
36,03/10/16 10:23:35 PM,43.1,,,,
37,03/10/16 10:23:36 PM,43.1,,,,
38,03/10/16 10:23:37 PM,43.1,,,,
39,03/10/16 10:23:38 PM,43.1,,,,
40,03/10/16 10:23:39 PM,43.1,,,,
41,03/10/16 10:23:40 PM,43.1,,,,
42,03/10/16 10:23:41 PM,43.1,,,,
43,03/10/16 10:23:42 PM,43.1,,,,
44,03/10/16 10:23:43 PM,43.1,,,,
45,03/10/16 10:23:44 PM,43.1,,,,
46,03/10/16 10:23:45 PM,43.1,,,,
47,03/10/16 10:23:46 PM,43.1,,,,
48,03/10/16 10:23:47 PM,43.1,,,,
49,03/10/16 10:23:48 PM,21.5,,,,
50,03/10/16 10:23:49 PM,21.5,,,,
51,03/10/16 10:23:50 PM,10.8,,,,
52,03/10/16 10:23:51 PM,10.8,,,,
53,03/10/16 10:23:52 PM,10.8,,,,
54,03/10/16 10:23:53 PM,10.8,,,,
55,03/10/16 10:23:54 PM,10.8,,,,
56,03/10/16 10:23:55 PM,10.8,,,,
57,03/10/16 10:23:56 PM,21.5,,,,
58,03/10/16 10:23:57 PM,10.8,,,,
59,03/10/16 10:23:58 PM,0.0,,,,
60,03/10/16 10:23:59 PM,0.0,,,,
61,03/10/16 10:24:00 PM,0.0,,,,
62,03/10/16 10:24:01 PM,0.0,,,,
63,03/10/16 10:24:02 PM,0.0,,,,
64,03/10/16 10:24:03 PM,0.0,,,,
65,03/10/16 10:24:04 PM,0.0,,,,
66,03/10/16 10:24:05 PM,0.0,,,,
67,03/10/16 10:24:06 PM,0.0,,,,
68,03/10/16 10:24:07 PM,0.0,,,,
69,03/10/16 10:24:08 PM,0.0,,,,
70,03/10/16 10:24:09 PM,10.8,,,,
71,03/10/16 10:24:10 PM,21.5,,,,
72,03/10/16 10:24:11 PM,21.5,,,,
73,03/10/16 10:24:12 PM,21.5,,,,
74,03/10/16 10:24:13 PM,21.5,,,,
75,03/10/16 10:24:14 PM,21.5,,,,
76,03/10/16 10:24:15 PM,21.5,,,,
77,03/10/16 10:24:16 PM,21.5,,,,
78,03/10/16 10:24:17 PM,21.5,,,,
79,03/10/16 10:24:18 PM,21.5,,,,
80,03/10/16 10:24:19 PM,10.8,,,,
81,03/10/16 10:24:20 PM,32.3,,,,
82,03/10/16 10:24:21 PM,32.3,,,,
83,03/10/16 10:24:22 PM,43.1,,,,
84,03/10/16 10:24:23 PM,43.1,,,,
85,03/10/16 10:24:24 PM,43.1,,,,
86,03/10/16 10:24:25 PM,43.1,,,,
87,03/10/16 10:24:26 PM,43.1,,,,
88,03/10/16 10:24:27 PM,43.1,,,,
89,03/10/16 10:24:28 PM,43.1,,,,
90,03/10/16 10:24:29 PM,43.1,,,,
91,03/10/16 10:24:30 PM,43.1,,,,
92,03/10/16 10:24:31 PM,43.1,,,,
93,03/10/16 10:24:32 PM,43.1,,,,
94,03/10/16 10:24:33 PM,43.1,,,,
