"Plot Title: no_devo_6_6_5_1_5_6"
"#","Date Time, GMT-05:00","Intensity, Lux (LGR S/N: 1262011, SEN S/N: 1262011, LBL: light)","Coupler Attached (LGR S/N: 1262011)","Host Connected (LGR S/N: 1262011)","Stopped (LGR S/N: 1262011)","End Of File (LGR S/N: 1262011)"
1,03/11/16 07:18:30 AM,43.1,,,,
2,03/11/16 07:18:31 AM,32.3,,,,
3,03/11/16 07:18:32 AM,32.3,,,,
4,03/11/16 07:18:33 AM,32.3,,,,
5,03/11/16 07:18:34 AM,32.3,,,,
6,03/11/16 07:18:35 AM,32.3,,,,
7,03/11/16 07:18:36 AM,32.3,,,,
8,03/11/16 07:18:37 AM,32.3,,,,
9,03/11/16 07:18:38 AM,32.3,,,,
10,03/11/16 07:18:39 AM,32.3,,,,
11,03/11/16 07:18:40 AM,32.3,,,,
12,03/11/16 07:18:41 AM,32.3,,,,
13,03/11/16 07:18:42 AM,32.3,,,,
14,03/11/16 07:18:43 AM,32.3,,,,
15,03/11/16 07:18:44 AM,32.3,,,,
16,03/11/16 07:18:45 AM,32.3,,,,
17,03/11/16 07:18:46 AM,32.3,,,,
18,03/11/16 07:18:47 AM,32.3,,,,
19,03/11/16 07:18:48 AM,32.3,,,,
20,03/11/16 07:18:49 AM,32.3,,,,
21,03/11/16 07:18:50 AM,32.3,,,,
22,03/11/16 07:18:51 AM,32.3,,,,
23,03/11/16 07:18:52 AM,32.3,,,,
24,03/11/16 07:18:53 AM,32.3,,,,
25,03/11/16 07:18:54 AM,32.3,,,,
26,03/11/16 07:18:55 AM,32.3,,,,
27,03/11/16 07:18:56 AM,32.3,,,,
28,03/11/16 07:18:57 AM,32.3,,,,
29,03/11/16 07:18:58 AM,32.3,,,,
30,03/11/16 07:18:59 AM,32.3,,,,
31,03/11/16 07:19:00 AM,32.3,,,,
32,03/11/16 07:19:01 AM,32.3,,,,
33,03/11/16 07:19:02 AM,32.3,,,,
34,03/11/16 07:19:03 AM,32.3,,,,
35,03/11/16 07:19:04 AM,32.3,,,,
36,03/11/16 07:19:05 AM,32.3,,,,
37,03/11/16 07:19:06 AM,32.3,,,,
38,03/11/16 07:19:07 AM,32.3,,,,
39,03/11/16 07:19:08 AM,32.3,,,,
40,03/11/16 07:19:09 AM,32.3,,,,
41,03/11/16 07:19:10 AM,32.3,,,,
42,03/11/16 07:19:11 AM,32.3,,,,
43,03/11/16 07:19:12 AM,32.3,,,,
44,03/11/16 07:19:13 AM,32.3,,,,
45,03/11/16 07:19:14 AM,32.3,,,,
46,03/11/16 07:19:15 AM,32.3,,,,
47,03/11/16 07:19:16 AM,32.3,,,,
48,03/11/16 07:19:17 AM,32.3,,,,
49,03/11/16 07:19:18 AM,32.3,,,,
50,03/11/16 07:19:19 AM,32.3,,,,
51,03/11/16 07:19:20 AM,32.3,,,,
52,03/11/16 07:19:21 AM,32.3,,,,
53,03/11/16 07:19:22 AM,32.3,,,,
54,03/11/16 07:19:23 AM,32.3,,,,
55,03/11/16 07:19:24 AM,32.3,,,,
56,03/11/16 07:19:25 AM,32.3,,,,
57,03/11/16 07:19:26 AM,32.3,,,,
58,03/11/16 07:19:27 AM,32.3,,,,
59,03/11/16 07:19:28 AM,32.3,,,,
60,03/11/16 07:19:29 AM,32.3,,,,
61,03/11/16 07:19:30 AM,32.3,,,,
62,03/11/16 07:19:31 AM,32.3,,,,
63,03/11/16 07:19:32 AM,32.3,,,,
64,03/11/16 07:19:33 AM,32.3,,,,
65,03/11/16 07:19:34 AM,32.3,,,,
66,03/11/16 07:19:35 AM,32.3,,,,
67,03/11/16 07:19:36 AM,32.3,,,,
68,03/11/16 07:19:37 AM,32.3,,,,
69,03/11/16 07:19:38 AM,32.3,,,,
70,03/11/16 07:19:39 AM,32.3,,,,
71,03/11/16 07:19:40 AM,32.3,,,,
72,03/11/16 07:19:41 AM,32.3,,,,
73,03/11/16 07:19:42 AM,32.3,,,,
74,03/11/16 07:19:43 AM,32.3,,,,
75,03/11/16 07:19:44 AM,32.3,,,,
76,03/11/16 07:19:45 AM,32.3,,,,
77,03/11/16 07:19:46 AM,32.3,,,,
78,03/11/16 07:19:47 AM,32.3,,,,
79,03/11/16 07:19:48 AM,32.3,,,,
80,03/11/16 07:19:49 AM,32.3,,,,
81,03/11/16 07:19:50 AM,32.3,,,,
82,03/11/16 07:19:51 AM,32.3,,,,
83,03/11/16 07:19:52 AM,32.3,,,,
84,03/11/16 07:19:53 AM,32.3,,,,
85,03/11/16 07:19:54 AM,32.3,,,,
86,03/11/16 07:19:55 AM,32.3,,,,
87,03/11/16 07:19:56 AM,32.3,,,,
88,03/11/16 07:19:57 AM,32.3,,,,
89,03/11/16 07:19:58 AM,32.3,,,,
90,03/11/16 07:19:59 AM,32.3,,,,
91,03/11/16 07:20:00 AM,32.3,,,,
92,03/11/16 07:20:01 AM,32.3,,,,
93,03/11/16 07:20:02 AM,32.3,,,,
94,03/11/16 07:20:03 AM,32.3,,,,
95,03/11/16 07:20:04 AM,32.3,,,,
96,03/11/16 07:20:05 AM,32.3,,,,
97,03/11/16 07:20:06 AM,32.3,,,,
98,03/11/16 07:20:07 AM,32.3,,,,
99,03/11/16 07:20:08 AM,32.3,,,,
100,03/11/16 07:20:09 AM,32.3,,,,
101,03/11/16 07:20:10 AM,32.3,,,,
102,03/11/16 07:20:11 AM,32.3,,,,
103,03/11/16 07:20:12 AM,32.3,,,,
104,03/11/16 07:20:13 AM,32.3,,,,
105,03/11/16 07:20:14 AM,32.3,,,,
106,03/11/16 07:20:15 AM,32.3,,,,
107,03/11/16 07:20:16 AM,32.3,,,,
108,03/11/16 07:20:17 AM,32.3,,,,
109,03/11/16 07:20:18 AM,32.3,,,,
110,03/11/16 07:20:19 AM,32.3,,,,
111,03/11/16 07:20:20 AM,32.3,,,,
112,03/11/16 07:20:21 AM,32.3,,,,
113,03/11/16 07:20:22 AM,32.3,,,,
114,03/11/16 07:20:23 AM,32.3,,,,
