"Plot Title: devo_7_4_6_6_6_8"
"#","Date Time, GMT-05:00","Intensity, Lux (LGR S/N: 1262011, SEN S/N: 1262011, LBL: light)","Host Connected (LGR S/N: 1262011)","Coupler Attached (LGR S/N: 1262011)","Stopped (LGR S/N: 1262011)","End Of File (LGR S/N: 1262011)"
1,03/11/16 09:27:00 AM,43.1,,,,
2,03/11/16 09:27:01 AM,32.3,,,,
3,03/11/16 09:27:02 AM,32.3,,,,
4,03/11/16 09:27:03 AM,32.3,,,,
5,03/11/16 09:27:04 AM,32.3,,,,
6,03/11/16 09:27:05 AM,32.3,,,,
7,03/11/16 09:27:06 AM,32.3,,,,
8,03/11/16 09:27:07 AM,32.3,,,,
9,03/11/16 09:27:08 AM,32.3,,,,
10,03/11/16 09:27:09 AM,32.3,,,,
11,03/11/16 09:27:10 AM,32.3,,,,
12,03/11/16 09:27:11 AM,32.3,,,,
13,03/11/16 09:27:12 AM,32.3,,,,
14,03/11/16 09:27:13 AM,32.3,,,,
15,03/11/16 09:27:14 AM,32.3,,,,
16,03/11/16 09:27:15 AM,32.3,,,,
17,03/11/16 09:27:16 AM,32.3,,,,
18,03/11/16 09:27:17 AM,32.3,,,,
19,03/11/16 09:27:18 AM,32.3,,,,
20,03/11/16 09:27:19 AM,32.3,,,,
21,03/11/16 09:27:20 AM,32.3,,,,
22,03/11/16 09:27:21 AM,32.3,,,,
23,03/11/16 09:27:22 AM,32.3,,,,
24,03/11/16 09:27:23 AM,32.3,,,,
25,03/11/16 09:27:24 AM,32.3,,,,
26,03/11/16 09:27:25 AM,32.3,,,,
27,03/11/16 09:27:26 AM,32.3,,,,
28,03/11/16 09:27:27 AM,32.3,,,,
29,03/11/16 09:27:28 AM,32.3,,,,
30,03/11/16 09:27:29 AM,43.1,,,,
31,03/11/16 09:27:30 AM,32.3,,,,
32,03/11/16 09:27:31 AM,32.3,,,,
33,03/11/16 09:27:32 AM,32.3,,,,
34,03/11/16 09:27:33 AM,43.1,,,,
35,03/11/16 09:27:34 AM,43.1,,,,
36,03/11/16 09:27:35 AM,43.1,,,,
37,03/11/16 09:27:36 AM,43.1,,,,
38,03/11/16 09:27:37 AM,43.1,,,,
39,03/11/16 09:27:38 AM,43.1,,,,
40,03/11/16 09:27:39 AM,32.3,,,,
41,03/11/16 09:27:40 AM,43.1,,,,
42,03/11/16 09:27:41 AM,43.1,,,,
43,03/11/16 09:27:42 AM,43.1,,,,
44,03/11/16 09:27:43 AM,43.1,,,,
45,03/11/16 09:27:44 AM,43.1,,,,
46,03/11/16 09:27:45 AM,43.1,,,,
47,03/11/16 09:27:46 AM,43.1,,,,
48,03/11/16 09:27:47 AM,43.1,,,,
49,03/11/16 09:27:48 AM,43.1,,,,
50,03/11/16 09:27:49 AM,43.1,,,,
51,03/11/16 09:27:50 AM,43.1,,,,
52,03/11/16 09:27:51 AM,43.1,,,,
53,03/11/16 09:27:52 AM,43.1,,,,
54,03/11/16 09:27:53 AM,43.1,,,,
55,03/11/16 09:27:54 AM,43.1,,,,
56,03/11/16 09:27:55 AM,43.1,,,,
57,03/11/16 09:27:56 AM,43.1,,,,
58,03/11/16 09:27:57 AM,43.1,,,,
59,03/11/16 09:27:58 AM,43.1,,,,
60,03/11/16 09:27:59 AM,43.1,,,,
61,03/11/16 09:28:00 AM,43.1,,,,
62,03/11/16 09:28:01 AM,43.1,,,,
63,03/11/16 09:28:02 AM,43.1,,,,
64,03/11/16 09:28:03 AM,43.1,,,,
65,03/11/16 09:28:04 AM,43.1,,,,
66,03/11/16 09:28:05 AM,43.1,,,,
67,03/11/16 09:28:06 AM,43.1,,,,
68,03/11/16 09:28:07 AM,43.1,,,,
69,03/11/16 09:28:08 AM,43.1,,,,
70,03/11/16 09:28:09 AM,43.1,,,,
71,03/11/16 09:28:10 AM,43.1,,,,
72,03/11/16 09:28:11 AM,43.1,,,,
73,03/11/16 09:28:12 AM,43.1,,,,
74,03/11/16 09:28:13 AM,43.1,,,,
75,03/11/16 09:28:14 AM,43.1,,,,
76,03/11/16 09:28:15 AM,43.1,,,,
77,03/11/16 09:28:16 AM,43.1,,,,
78,03/11/16 09:28:17 AM,43.1,,,,
79,03/11/16 09:28:18 AM,43.1,,,,
80,03/11/16 09:28:19 AM,43.1,,,,
81,03/11/16 09:28:20 AM,43.1,,,,
82,03/11/16 09:28:21 AM,43.1,,,,
83,03/11/16 09:28:22 AM,43.1,,,,
84,03/11/16 09:28:23 AM,43.1,,,,
85,03/11/16 09:28:24 AM,43.1,,,,
86,03/11/16 09:28:25 AM,43.1,,,,
87,03/11/16 09:28:26 AM,43.1,,,,
88,03/11/16 09:28:27 AM,43.1,,,,
89,03/11/16 09:28:28 AM,43.1,,,,
90,03/11/16 09:28:29 AM,43.1,,,,
91,03/11/16 09:28:30 AM,43.1,,,,
92,03/11/16 09:28:31 AM,43.1,,,,
93,03/11/16 09:28:32 AM,32.3,,,,
94,03/11/16 09:28:33 AM,43.1,,,,
95,03/11/16 09:28:34 AM,32.3,,,,
96,03/11/16 09:28:35 AM,43.1,,,,
97,03/11/16 09:28:36 AM,32.3,,,,
98,03/11/16 09:28:37 AM,32.3,,,,
99,03/11/16 09:28:38 AM,32.3,,,,
100,03/11/16 09:28:39 AM,32.3,,,,
101,03/11/16 09:28:40 AM,32.3,,,,
102,03/11/16 09:28:41 AM,32.3,,,,
103,03/11/16 09:28:42 AM,43.1,,,,
104,03/11/16 09:28:43 AM,43.1,,,,
105,03/11/16 09:28:44 AM,43.1,,,,
106,03/11/16 09:28:45 AM,43.1,,,,
107,03/11/16 09:28:46 AM,43.1,,,,
108,03/11/16 09:28:47 AM,43.1,,,,
109,03/11/16 09:28:48 AM,32.3,,,,
110,03/11/16 09:28:49 AM,32.3,,,,
111,03/11/16 09:28:50 AM,32.3,,,,
112,03/11/16 09:28:51 AM,32.3,,,,
113,03/11/16 09:28:52 AM,32.3,,,,
114,03/11/16 09:28:53 AM,32.3,,,,
115,03/11/16 09:28:54 AM,43.1,,,,
116,03/11/16 09:28:55 AM,43.1,,,,
117,03/11/16 09:28:56 AM,43.1,,,,
118,03/11/16 09:28:57 AM,43.1,,,,
119,03/11/16 09:28:58 AM,43.1,,,,
120,03/11/16 09:28:59 AM,43.1,,,,
121,03/11/16 09:29:00 AM,43.1,,,,
122,03/11/16 09:29:01 AM,0.0,,,,
123,03/11/16 09:29:02 AM,0.0,,,,
124,03/11/16 09:29:03 AM,0.0,,,,
125,03/11/16 09:29:04 AM,0.0,,,,
126,03/11/16 09:29:05 AM,0.0,,,,
127,03/11/16 09:29:06 AM,0.0,Logged,,,
128,03/11/16 09:29:07 AM,0.0,,Logged,,
129,03/11/16 09:29:08 AM,0.0,,,,
130,03/11/16 09:29:09 AM,0.0,,,,
131,03/11/16 09:29:10 AM,0.0,,,,
132,03/11/16 09:29:11 AM,0.0,,,Logged,Logged
