Filename,Raw Performance,Normalzied Performance,Number of Collisions,Number of Wires,Number of Crossover Points
7_5_6_2_6_3,5020.800000000002,0.00835207954437517,0,1,6
7_9_6_1_6_0,3886.8000000000084,0.006465675345179547,0,0,8
7_8_6_9_6_3,3886.8000000000084,0.006465675345179547,0,0,6
7_7_6_8_6_5,5053.200000000003,0.008405976807209333,1,2,8
7_3_6_0_6_5,4923.600000000001,0.008190387755872686,1,2,7
7_0_6_2_6_0,2477.8000000000025,0.00412180981020013,1,2,7
7_6_6_6_6_2,4167.600000000004,0.006932784956408935,1,1,6
7_4_6_6_6_8,4675.2,0.00777717540747745,1,1,4
7_1_6_8_6_5,4912.8,0.008172422001594631,1,2,7
7_2_6_0_6_2,5470.8000000000075,0.009100652639294082,1,2,7
6_3_5_5_5_4,3886.8000000000084,0.006060592830387936,0,0,6
6_0_5_9_5_3,5396.300000000011,0.008414319514928069,1,2,7
6_6_5_1_5_6,3886.8000000000084,0.006060592830387936,2,3,4
6_2_5_9_5_3,4254.399999999998,0.006633782581455791,1,2,7
6_8_5_4_5_3,4221.600000000004,0.006582638338161388,1,1,7
6_1_5_4_5_7,3886.8000000000084,0.006060592830387936,0,0,5
6_4_5_0_5_7,2709.6000000000004,0.004225013464345765,0,2,5
6_5_5_3_5_9,4133.800000000003,0.00644573393080622,1,2,7
6_9_5_0_5_9,3886.8000000000084,0.006060592830387936,0,0,7
6_7_5_7_5_5,3886.8000000000084,0.006060592830387936,0,0,6
8_9_7_2_7_4,,,1,2,7
8_4_7_3_7_5,,,0,1,6
8_2_7_2_7_7,,,1,2,8
8_8_7_3_7_1,,,1,2,8
8_3_7_1_7_4,,,1,1,5
8_7_7_7_7_6,,,1,1,7
8_0_7_7_7_2,,,1,2,9
8_1_7_5_7_3,,,0,1,7
8_6_7_9_7_5,,,0,0,5
8_5_7_7_7_2,,,1,2,10
5_5_4_1_4_2,3886.8000000000084,0.006401364992102887,0,0,7
5_9_4_1_4_3,6340.200000000006,0.010441991953002645,0,2,10
5_0_4_3_4_2,3886.8000000000084,0.006401364992102887,0,0,7
5_1_4_2_4_7,3886.8000000000084,0.006401364992102887,1,1,5
5_6_4_4_4_2,3886.8000000000084,0.006401364992102887,2,3,4
5_8_4_8_4_0,2558.7,0.004214050788641973,2,3,8
5_4_4_3_4_9,4704.400000000002,0.007747911255749917,0,2,7
5_3_4_4_4_7,4923.600000000007,0.008108922680641594,1,1,4
5_7_4_7_4_9,4823.700000000004,0.007944392382527185,0,2,3
5_2_4_3_4_1,3304.7000000000007,0.005442675437224033,0,2,7
4_3_3_4_3_0,10979.299999999997,0.01650824209241626,0,2,8
4_0_3_7_3_6,5553.500000000008,0.008350124548945183,0,2,7
4_5_3_7_3_5,3886.8000000000084,0.005844109858078718,0,0,5
4_9_3_0_3_4,7901.000000000002,0.01187977564800861,1,3,7
4_7_3_2_3_5,8276.400000000007,0.012444219108110178,1,1,4
4_2_3_6_3_5,20055.00000000001,0.030154271689762403,1,4,4
4_8_3_6_3_9,5279.000000000002,0.007937392184006766,2,4,5
4_1_3_4_3_7,8848.400000000005,0.013304266149074727,0,2,7
4_4_3_6_3_2,6445.900000000016,0.009691918219149331,1,2,5
4_6_3_7_3_1,4832.000000000007,0.007265292485910351,1,3,5
2_9_1_1_1_5,3865.000000000008,0.005773006288917394,0,1,1
2_3_1_0_1_8,5214.900000000003,0.0077893015513778195,0,2,4
2_5_1_2_1_5,4574.2000000000035,0.006832311867209808,1,2,3
2_8_1_6_1_0,8116.200000000005,0.012122865107920126,1,3,5
2_2_1_5_1_6,1306.499999999997,0.0019514703018035037,1,4,2
2_7_1_2_1_8,3239.7999999999997,0.004839168376412557,0,1,5
2_1_1_4_1_0,4889.800000000004,0.007303711811526063,1,2,4
2_0_1_0_1_6,2952.800000000008,0.004410487184971615,1,5,2
2_4_1_4_1_6,5897.200000000012,0.008808427603364463,3,4,3
2_6_1_4_1_9,2687.8,0.004014666572665496,0,5,3
3_4_2_8_2_3,7631.600000000005,0.011322925942818014,0,2,7
3_0_2_8_2_4,6426.300000000004,0.009534634806112925,1,3,6
3_2_2_1_2_3,6448.1000000000195,0.009566979240511166,1,2,4
3_8_2_8_2_1,3355.6999999999994,0.004978817362848469,1,2,5
3_6_2_5_2_0,18483.000000000044,0.027423035824873647,0,2,4
3_1_2_8_2_4,6049.300000000003,0.008975283807574952,1,3,6
3_7_2_4_2_3,10170.599999999984,0.015090013967454354,0,2,6
3_9_2_7_2_9,5877.900000000007,0.008720979401343105,2,4,3
3_5_2_5_2_9,7373.700000000015,0.010940282381749215,1,2,3
3_3_2_4_2_1,5499.700000000006,0.008159847975223579,2,2,5
1_6_ _ _ _ ,6607.000000000014,0.009771530755327367,0,4,2
1_1_ _ _ _ ,4068.500000000003,0.006017174644778166,1,3,2
1_9_ _ _ _ ,4869.300000000004,0.0072015309076608885,0,5,2
1_5_ _ _ _ ,5319.900000000006,0.007867953150486759,0,3,2
1_0_ _ _ _ ,29773.29999999993,0.04403370919291464,0,5,2
1_4_ _ _ _ ,5652.80000000001,0.008360301052476846,0,2,2
1_2_ _ _ _ ,5214.900000000003,0.007712661682451433,0,4,2
1_7_ _ _ _ ,1392.6999999999966,0.0020597564526932594,0,3,2
1_3_ _ _ _ ,3606.0,0.005333152702241625,3,4,2
1_8_ _ _ _ ,5268.500000000004,0.00779193427946756,0,2,2
