"Plot Title: gen1_baseline"
"#","Date Time, GMT-05:00","Intensity, Lux (LGR S/N: 1262011, SEN S/N: 1262011, LBL: light)","Coupler Attached (LGR S/N: 1262011)","Host Connected (LGR S/N: 1262011)","Stopped (LGR S/N: 1262011)","End Of File (LGR S/N: 1262011)"
1,03/01/16 02:39:00 PM,0.0,,,,
2,03/01/16 02:39:01 PM,10.8,,,,
3,03/01/16 02:39:02 PM,53.8,,,,
4,03/01/16 02:39:03 PM,107.6,,,,
5,03/01/16 02:39:04 PM,183.0,,,,
6,03/01/16 02:39:05 PM,279.9,,,,
7,03/01/16 02:39:06 PM,409.0,,,,
8,03/01/16 02:39:07 PM,559.7,,,,
9,03/01/16 02:39:08 PM,699.7,,,,
10,03/01/16 02:39:09 PM,914.9,,,,
11,03/01/16 02:39:10 PM,1173.3,,,,
12,03/01/16 02:39:11 PM,1463.9,,,,
13,03/01/16 02:39:12 PM,1808.3,,,,
14,03/01/16 02:39:13 PM,2238.9,,,,
15,03/01/16 02:39:14 PM,2755.6,,,,
16,03/01/16 02:39:15 PM,3272.2,,,,
17,03/01/16 02:39:16 PM,3961.1,,,,
18,03/01/16 02:39:17 PM,4650.0,,,,
19,03/01/16 02:39:18 PM,5166.7,,,,
20,03/01/16 02:39:19 PM,5166.7,,,,
21,03/01/16 02:39:20 PM,5511.1,,,,
22,03/01/16 02:39:21 PM,5511.1,,,,
23,03/01/16 02:39:22 PM,5511.1,,,,
24,03/01/16 02:39:23 PM,6200.0,,,,
25,03/01/16 02:39:24 PM,6200.0,,,,
26,03/01/16 02:39:25 PM,6544.5,,,,
27,03/01/16 02:39:26 PM,6544.5,,,,
28,03/01/16 02:39:27 PM,6544.5,,,,
29,03/01/16 02:39:28 PM,5511.1,,,,
30,03/01/16 02:39:29 PM,4477.8,,,,
31,03/01/16 02:39:30 PM,4477.8,,,,
32,03/01/16 02:39:31 PM,4477.8,,,,
33,03/01/16 02:39:32 PM,4650.0,,,,
34,03/01/16 02:39:33 PM,4650.0,,,,
35,03/01/16 02:39:34 PM,4650.0,,,,
36,03/01/16 02:39:35 PM,4822.3,,,,
37,03/01/16 02:39:36 PM,4822.3,,,,
38,03/01/16 02:39:37 PM,4822.3,,,,
39,03/01/16 02:39:38 PM,4822.3,,,,
40,03/01/16 02:39:39 PM,4822.3,,,,
41,03/01/16 02:39:40 PM,4822.3,,,,
42,03/01/16 02:39:41 PM,4822.3,,,,
43,03/01/16 02:39:42 PM,4822.3,,,,
44,03/01/16 02:39:43 PM,4822.3,,,,
45,03/01/16 02:39:44 PM,4822.3,,,,
46,03/01/16 02:39:45 PM,4650.0,,,,
47,03/01/16 02:39:46 PM,4650.0,,,,
48,03/01/16 02:39:47 PM,4650.0,,,,
49,03/01/16 02:39:48 PM,4650.0,,,,
50,03/01/16 02:39:49 PM,4477.8,,,,
51,03/01/16 02:39:50 PM,4477.8,,,,
52,03/01/16 02:39:51 PM,4477.8,,,,
53,03/01/16 02:39:52 PM,4477.8,,,,
54,03/01/16 02:39:53 PM,4477.8,,,,
55,03/01/16 02:39:54 PM,4477.8,,,,
56,03/01/16 02:39:55 PM,4477.8,,,,
57,03/01/16 02:39:56 PM,4650.0,,,,
58,03/01/16 02:39:57 PM,4650.0,,,,
59,03/01/16 02:39:58 PM,4650.0,,,,
60,03/01/16 02:39:59 PM,4822.3,,,,
61,03/01/16 02:40:00 PM,4822.3,,,,
62,03/01/16 02:40:01 PM,4822.3,,,,
63,03/01/16 02:40:02 PM,4822.3,,,,
64,03/01/16 02:40:03 PM,4822.3,,,,
65,03/01/16 02:40:04 PM,4822.3,,,,
66,03/01/16 02:40:05 PM,4650.0,,,,
67,03/01/16 02:40:06 PM,4650.0,,,,
