Generation,mean,stderr,mean collisions,collision stderr,collisions min,collisions max
1,1,0.31622776601683794,1.5,0.25495097567963926,0,3
2,1,0.31622776601683794,1.8,0.2756809750418044,0,3
3,1,0.31622776601683794,1.8,0.46475800154489,0,4
4,1,0.31622776601683794,1.7,0.317804971641414,1,4
5,1,0.31622776601683794,1.9,0.26267851073127385,1,3
6,1,0.31622776601683794,2.3,0.20248456731316586,1,3
7,1,0.31622776601683794,2.5,0.21213203435596426,1,3
8,1,0.31622776601683794,2.3,0.14491376746189438,2,3
9,1,0.31622776601683794,2.2,0.12649110640673517,2,3
10,1,0.31622776601683794,2.1,0.09486832980505137,2,3
