Generation,mean,stderr,mean collisions,collision stderr,collisions min,collisions max,mean wires,mean wires stderr
1,1,0.31622776601683794,0.3,0.14491376746189435,0,1,,
2,1,0.31622776601683794,0.1,0.09486832980505139,0,1,,
3,1,0.31622776601683794,0.1,0.09486832980505139,0,1,,
4,1,0.31622776601683794,0.1,0.09486832980505139,0,1,,
5,1,0.31622776601683794,0.0,0.0,0,0,,
6,1,0.31622776601683794,0.1,0.09486832980505139,0,1,,
7,1,0.31622776601683794,0.0,0.0,0,0,,
8,1,0.31622776601683794,0.0,0.0,0,0,,
9,1,0.31622776601683794,0.0,0.0,0,0,,
10,1,0.31622776601683794,0.0,0.0,0,0,,
