"Plot Title: devo1_1_0_0_0_0_new"
"#","Date Time, GMT-05:00","Intensity, Lux (LGR S/N: 1262011, SEN S/N: 1262011, LBL: light)","Coupler Attached (LGR S/N: 1262011)","Host Connected (LGR S/N: 1262011)","Stopped (LGR S/N: 1262011)","End Of File (LGR S/N: 1262011)"
1,03/05/16 02:38:00 PM,75.3,,,,
2,03/05/16 02:38:01 PM,64.6,,,,
3,03/05/16 02:38:02 PM,75.3,,,,
4,03/05/16 02:38:03 PM,64.6,,,,
5,03/05/16 02:38:04 PM,64.6,,,,
6,03/05/16 02:38:05 PM,53.8,,,,
7,03/05/16 02:38:06 PM,32.3,,,,
8,03/05/16 02:38:07 PM,21.5,,,,
9,03/05/16 02:38:08 PM,21.5,,,,
10,03/05/16 02:38:09 PM,10.8,,,,
11,03/05/16 02:38:10 PM,0.0,,,,
12,03/05/16 02:38:11 PM,0.0,,,,
13,03/05/16 02:38:12 PM,0.0,,,,
14,03/05/16 02:38:13 PM,0.0,,,,
15,03/05/16 02:38:14 PM,0.0,,,,
16,03/05/16 02:38:15 PM,32.3,,,,
17,03/05/16 02:38:16 PM,43.1,,,,
18,03/05/16 02:38:17 PM,64.6,,,,
19,03/05/16 02:38:18 PM,64.6,,,,
20,03/05/16 02:38:19 PM,64.6,,,,
21,03/05/16 02:38:20 PM,53.8,,,,
22,03/05/16 02:38:21 PM,43.1,,,,
23,03/05/16 02:38:22 PM,21.5,,,,
24,03/05/16 02:38:23 PM,21.5,,,,
25,03/05/16 02:38:24 PM,21.5,,,,
26,03/05/16 02:38:25 PM,10.8,,,,
27,03/05/16 02:38:26 PM,0.0,,,,
28,03/05/16 02:38:27 PM,0.0,,,,
29,03/05/16 02:38:28 PM,0.0,,,,
30,03/05/16 02:38:29 PM,0.0,,,,
31,03/05/16 02:38:30 PM,0.0,,,,
32,03/05/16 02:38:31 PM,32.3,,,,
33,03/05/16 02:38:32 PM,43.1,,,,
34,03/05/16 02:38:33 PM,64.6,,,,
35,03/05/16 02:38:34 PM,75.3,,,,
36,03/05/16 02:38:35 PM,64.6,,,,
37,03/05/16 02:38:36 PM,53.8,,,,
38,03/05/16 02:38:37 PM,43.1,,,,
39,03/05/16 02:38:38 PM,21.5,,,,
40,03/05/16 02:38:39 PM,21.5,,,,
41,03/05/16 02:38:40 PM,21.5,,,,
42,03/05/16 02:38:41 PM,0.0,,,,
43,03/05/16 02:38:42 PM,10.8,,,,
44,03/05/16 02:38:43 PM,0.0,,,,
45,03/05/16 02:38:44 PM,0.0,,,,
46,03/05/16 02:38:45 PM,0.0,,,,
47,03/05/16 02:38:46 PM,21.5,,,,
48,03/05/16 02:38:47 PM,43.1,,,,
49,03/05/16 02:38:48 PM,21.5,,,,
50,03/05/16 02:38:49 PM,75.3,,,,
51,03/05/16 02:38:50 PM,64.6,,,,
52,03/05/16 02:38:51 PM,64.6,,,,
53,03/05/16 02:38:52 PM,53.8,,,,
54,03/05/16 02:38:53 PM,32.3,,,,
55,03/05/16 02:38:54 PM,21.5,,,,
56,03/05/16 02:38:55 PM,21.5,,,,
57,03/05/16 02:38:56 PM,10.8,,,,
58,03/05/16 02:38:57 PM,10.8,,,,
59,03/05/16 02:38:58 PM,0.0,,,,
60,03/05/16 02:38:59 PM,0.0,,,,
61,03/05/16 02:39:00 PM,0.0,,,,
62,03/05/16 02:39:01 PM,0.0,,,,
63,03/05/16 02:39:02 PM,32.3,,,,
64,03/05/16 02:39:03 PM,43.1,,,,
65,03/05/16 02:39:04 PM,64.6,,,,
66,03/05/16 02:39:05 PM,75.3,,,,
67,03/05/16 02:39:06 PM,64.6,,,,
68,03/05/16 02:39:07 PM,53.8,,,,
69,03/05/16 02:39:08 PM,32.3,,,,
70,03/05/16 02:39:09 PM,21.5,,,,
71,03/05/16 02:39:10 PM,21.5,,,,
72,03/05/16 02:39:11 PM,21.5,,,,
73,03/05/16 02:39:12 PM,10.8,,,,
74,03/05/16 02:39:13 PM,10.8,,,,
75,03/05/16 02:39:14 PM,0.0,,,,
76,03/05/16 02:39:15 PM,0.0,,,,
77,03/05/16 02:39:16 PM,0.0,,,,
78,03/05/16 02:39:17 PM,0.0,,,,
79,03/05/16 02:39:18 PM,32.3,,,,
