"Plot Title: devo_1_2_0_0_0_0"
"#","Date Time, GMT-05:00","Intensity, Lux (LGR S/N: 1262011, SEN S/N: 1262011, LBL: light)","Coupler Attached (LGR S/N: 1262011)","Host Connected (LGR S/N: 1262011)","Stopped (LGR S/N: 1262011)","End Of File (LGR S/N: 1262011)"
1,03/05/16 07:53:00 PM,75.3,,,,
2,03/05/16 07:53:01 PM,32.3,,,,
3,03/05/16 07:53:02 PM,53.8,,,,
4,03/05/16 07:53:03 PM,43.1,,,,
5,03/05/16 07:53:04 PM,53.8,,,,
6,03/05/16 07:53:05 PM,43.1,,,,
7,03/05/16 07:53:06 PM,32.3,,,,
8,03/05/16 07:53:07 PM,32.3,,,,
9,03/05/16 07:53:08 PM,32.3,,,,
10,03/05/16 07:53:09 PM,32.3,,,,
11,03/05/16 07:53:10 PM,32.3,,,,
12,03/05/16 07:53:11 PM,32.3,,,,
13,03/05/16 07:53:12 PM,32.3,,,,
14,03/05/16 07:53:13 PM,32.3,,,,
15,03/05/16 07:53:14 PM,32.3,,,,
16,03/05/16 07:53:15 PM,32.3,,,,
17,03/05/16 07:53:16 PM,32.3,,,,
18,03/05/16 07:53:17 PM,32.3,,,,
19,03/05/16 07:53:18 PM,32.3,,,,
20,03/05/16 07:53:19 PM,32.3,,,,
21,03/05/16 07:53:20 PM,32.3,,,,
22,03/05/16 07:53:21 PM,32.3,,,,
23,03/05/16 07:53:22 PM,32.3,,,,
24,03/05/16 07:53:23 PM,32.3,,,,
25,03/05/16 07:53:24 PM,32.3,,,,
26,03/05/16 07:53:25 PM,32.3,,,,
27,03/05/16 07:53:26 PM,32.3,,,,
28,03/05/16 07:53:27 PM,32.3,,,,
29,03/05/16 07:53:28 PM,32.3,,,,
30,03/05/16 07:53:29 PM,32.3,,,,
31,03/05/16 07:53:30 PM,32.3,,,,
32,03/05/16 07:53:31 PM,32.3,,,,
33,03/05/16 07:53:32 PM,32.3,,,,
34,03/05/16 07:53:33 PM,32.3,,,,
35,03/05/16 07:53:34 PM,43.1,,,,
36,03/05/16 07:53:35 PM,43.1,,,,
37,03/05/16 07:53:36 PM,32.3,,,,
38,03/05/16 07:53:37 PM,32.3,,,,
39,03/05/16 07:53:38 PM,32.3,,,,
40,03/05/16 07:53:39 PM,32.3,,,,
41,03/05/16 07:53:40 PM,32.3,,,,
42,03/05/16 07:53:41 PM,32.3,,,,
43,03/05/16 07:53:42 PM,32.3,,,,
44,03/05/16 07:53:43 PM,32.3,,,,
45,03/05/16 07:53:44 PM,32.3,,,,
46,03/05/16 07:53:45 PM,32.3,,,,
47,03/05/16 07:53:46 PM,32.3,,,,
48,03/05/16 07:53:47 PM,32.3,,,,
49,03/05/16 07:53:48 PM,32.3,,,,
50,03/05/16 07:53:49 PM,32.3,,,,
51,03/05/16 07:53:50 PM,32.3,,,,
52,03/05/16 07:53:51 PM,32.3,,,,
53,03/05/16 07:53:52 PM,32.3,,,,
54,03/05/16 07:53:53 PM,32.3,,,,
55,03/05/16 07:53:54 PM,32.3,,,,
56,03/05/16 07:53:55 PM,32.3,,,,
57,03/05/16 07:53:56 PM,32.3,,,,
58,03/05/16 07:53:57 PM,32.3,,,,
59,03/05/16 07:53:58 PM,32.3,,,,
60,03/05/16 07:53:59 PM,32.3,,,,
61,03/05/16 07:54:00 PM,32.3,,,,
62,03/05/16 07:54:01 PM,32.3,,,,
63,03/05/16 07:54:02 PM,43.1,,,,
64,03/05/16 07:54:03 PM,43.1,,,,
65,03/05/16 07:54:04 PM,32.3,,,,
66,03/05/16 07:54:05 PM,32.3,,,,
67,03/05/16 07:54:06 PM,32.3,,,,
68,03/05/16 07:54:07 PM,32.3,,,,
69,03/05/16 07:54:08 PM,32.3,,,,
70,03/05/16 07:54:09 PM,32.3,,,,
71,03/05/16 07:54:10 PM,32.3,,,,
72,03/05/16 07:54:11 PM,32.3,,,,
73,03/05/16 07:54:12 PM,32.3,,,,
74,03/05/16 07:54:13 PM,32.3,,,,
75,03/05/16 07:54:14 PM,32.3,,,,
76,03/05/16 07:54:15 PM,32.3,,,,
77,03/05/16 07:54:16 PM,32.3,,,,
78,03/05/16 07:54:17 PM,32.3,,,,
79,03/05/16 07:54:18 PM,32.3,,,,
80,03/05/16 07:54:19 PM,32.3,,,,
81,03/05/16 07:54:20 PM,32.3,,,,
82,03/05/16 07:54:21 PM,43.1,,,,
83,03/05/16 07:54:22 PM,32.3,,,,
84,03/05/16 07:54:23 PM,32.3,,,,
85,03/05/16 07:54:24 PM,32.3,,,,
86,03/05/16 07:54:25 PM,32.3,,,,
87,03/05/16 07:54:26 PM,32.3,,,,
88,03/05/16 07:54:27 PM,32.3,,,,
89,03/05/16 07:54:28 PM,32.3,,,,
90,03/05/16 07:54:29 PM,32.3,,,,
91,03/05/16 07:54:30 PM,32.3,,,,
