"Plot Title: devo1_3_0_0_0_0_redo"
"#","Date Time, GMT-05:00","Intensity, Lux (LGR S/N: 1262011, SEN S/N: 1262011, LBL: light)","Coupler Attached (LGR S/N: 1262011)","Host Connected (LGR S/N: 1262011)","Stopped (LGR S/N: 1262011)","End Of File (LGR S/N: 1262011)"
1,03/05/16 03:45:00 PM,21.5,,,,
2,03/05/16 03:45:01 PM,53.8,,,,
3,03/05/16 03:45:02 PM,129.2,,,,
4,03/05/16 03:45:03 PM,96.9,,,,
5,03/05/16 03:45:04 PM,43.1,,,,
6,03/05/16 03:45:05 PM,0.0,,,,
7,03/05/16 03:45:06 PM,64.6,,,,
8,03/05/16 03:45:07 PM,129.2,,,,
9,03/05/16 03:45:08 PM,96.9,,,,
10,03/05/16 03:45:09 PM,0.0,,,,
11,03/05/16 03:45:10 PM,43.1,,,,
12,03/05/16 03:45:11 PM,129.2,,,,
13,03/05/16 03:45:12 PM,139.9,,,,
14,03/05/16 03:45:13 PM,75.3,,,,
15,03/05/16 03:45:14 PM,0.0,,,,
16,03/05/16 03:45:15 PM,75.3,,,,
17,03/05/16 03:45:16 PM,150.7,,,,
18,03/05/16 03:45:17 PM,107.6,,,,
19,03/05/16 03:45:18 PM,0.0,,,,
20,03/05/16 03:45:19 PM,53.8,,,,
21,03/05/16 03:45:20 PM,139.9,,,,
22,03/05/16 03:45:21 PM,150.7,,,,
23,03/05/16 03:45:22 PM,86.1,,,,
24,03/05/16 03:45:23 PM,0.0,,,,
25,03/05/16 03:45:24 PM,43.1,,,,
26,03/05/16 03:45:25 PM,0.0,,,,
27,03/05/16 03:45:26 PM,53.8,,,,
28,03/05/16 03:45:27 PM,96.9,,,,
29,03/05/16 03:45:28 PM,107.6,,,,
30,03/05/16 03:45:29 PM,96.9,,,,
31,03/05/16 03:45:30 PM,107.6,,,,
32,03/05/16 03:45:31 PM,129.2,,,,
33,03/05/16 03:45:32 PM,75.3,,,,
34,03/05/16 03:45:33 PM,107.6,,,,
35,03/05/16 03:45:34 PM,86.1,,,,
36,03/05/16 03:45:35 PM,86.1,,,,
37,03/05/16 03:45:36 PM,75.3,,,,
38,03/05/16 03:45:37 PM,75.3,,,,
39,03/05/16 03:45:38 PM,75.3,,,,
40,03/05/16 03:45:39 PM,75.3,,,,
41,03/05/16 03:45:40 PM,64.6,,,,
42,03/05/16 03:45:41 PM,64.6,,,,
43,03/05/16 03:45:42 PM,64.6,,,,
44,03/05/16 03:45:43 PM,53.8,,,,
45,03/05/16 03:45:44 PM,53.8,,,,
46,03/05/16 03:45:45 PM,53.8,,,,
47,03/05/16 03:45:46 PM,53.8,,,,
48,03/05/16 03:45:47 PM,75.3,,,,
49,03/05/16 03:45:48 PM,75.3,,,,
50,03/05/16 03:45:49 PM,75.3,,,,
51,03/05/16 03:45:50 PM,75.3,,,,
52,03/05/16 03:45:51 PM,75.3,,,,
53,03/05/16 03:45:52 PM,75.3,,,,
54,03/05/16 03:45:53 PM,75.3,,,,
55,03/05/16 03:45:54 PM,75.3,,,,
56,03/05/16 03:45:55 PM,75.3,,,,
57,03/05/16 03:45:56 PM,75.3,,,,
58,03/05/16 03:45:57 PM,75.3,,,,
59,03/05/16 03:45:58 PM,75.3,,,,
60,03/05/16 03:45:59 PM,64.6,,,,
61,03/05/16 03:46:00 PM,75.3,,,,
62,03/05/16 03:46:01 PM,75.3,,,,
63,03/05/16 03:46:02 PM,75.3,,,,
64,03/05/16 03:46:03 PM,75.3,,,,
65,03/05/16 03:46:04 PM,75.3,,,,
66,03/05/16 03:46:05 PM,64.6,,,,
67,03/05/16 03:46:06 PM,75.3,,,,
68,03/05/16 03:46:07 PM,64.6,,,,
69,03/05/16 03:46:08 PM,64.6,,,,
70,03/05/16 03:46:09 PM,64.6,,,,
71,03/05/16 03:46:10 PM,64.6,,,,
72,03/05/16 03:46:11 PM,64.6,,,,
73,03/05/16 03:46:12 PM,64.6,,,,
74,03/05/16 03:46:13 PM,64.6,,,,
75,03/05/16 03:46:14 PM,64.6,,,,
76,03/05/16 03:46:15 PM,64.6,,,,
77,03/05/16 03:46:16 PM,64.6,,,,
78,03/05/16 03:46:17 PM,64.6,,,,
79,03/05/16 03:46:18 PM,64.6,,,,
80,03/05/16 03:46:19 PM,64.6,,,,
81,03/05/16 03:46:20 PM,75.3,,,,
82,03/05/16 03:46:21 PM,75.3,,,,
83,03/05/16 03:46:22 PM,75.3,,,,
84,03/05/16 03:46:23 PM,75.3,,,,
85,03/05/16 03:46:24 PM,64.6,,,,
86,03/05/16 03:46:25 PM,64.6,,,,
87,03/05/16 03:46:26 PM,64.6,,,,
88,03/05/16 03:46:27 PM,64.6,,,,
89,03/05/16 03:46:28 PM,64.6,,,,
90,03/05/16 03:46:29 PM,64.6,,,,
91,03/05/16 03:46:30 PM,64.6,,,,
92,03/05/16 03:46:31 PM,64.6,,,,
93,03/05/16 03:46:32 PM,64.6,,,,
94,03/05/16 03:46:33 PM,64.6,,,,
95,03/05/16 03:46:34 PM,64.6,,,,
96,03/05/16 03:46:35 PM,64.6,,,,
97,03/05/16 03:46:36 PM,64.6,,,,
98,03/05/16 03:46:37 PM,64.6,,,,
99,03/05/16 03:46:38 PM,64.6,,,,
100,03/05/16 03:46:39 PM,64.6,,,,
101,03/05/16 03:46:40 PM,64.6,,,,
102,03/05/16 03:46:41 PM,64.6,,,,
103,03/05/16 03:46:42 PM,53.8,,,,
104,03/05/16 03:46:43 PM,64.6,,,,
105,03/05/16 03:46:44 PM,64.6,,,,
106,03/05/16 03:46:45 PM,64.6,,,,
107,03/05/16 03:46:46 PM,64.6,,,,
108,03/05/16 03:46:47 PM,53.8,,,,
109,03/05/16 03:46:48 PM,64.6,,,,
110,03/05/16 03:46:49 PM,64.6,,,,
111,03/05/16 03:46:50 PM,64.6,,,,
112,03/05/16 03:46:51 PM,64.6,,,,
113,03/05/16 03:46:52 PM,64.6,,,,
114,03/05/16 03:46:53 PM,64.6,,,,
115,03/05/16 03:46:54 PM,64.6,,,,
116,03/05/16 03:46:55 PM,64.6,,,,
117,03/05/16 03:46:56 PM,64.6,,,,
118,03/05/16 03:46:57 PM,64.6,,,,
119,03/05/16 03:46:58 PM,53.8,,,,
120,03/05/16 03:46:59 PM,53.8,,,,
121,03/05/16 03:47:00 PM,53.8,,,,
122,03/05/16 03:47:01 PM,53.8,,,,
123,03/05/16 03:47:02 PM,53.8,,,,
124,03/05/16 03:47:03 PM,53.8,,,,
125,03/05/16 03:47:04 PM,0.0,,,,
126,03/05/16 03:47:05 PM,0.0,,,,
127,03/05/16 03:47:06 PM,0.0,,,,
128,03/05/16 03:47:07 PM,0.0,,,,
129,03/05/16 03:47:08 PM,0.0,,,,
130,03/05/16 03:47:09 PM,0.0,,,,
131,03/05/16 03:47:10 PM,0.0,,,,
132,03/05/16 03:47:11 PM,0.0,,,,
133,03/05/16 03:47:12 PM,0.0,,,,
134,03/05/16 03:47:13 PM,0.0,,,,
135,03/05/16 03:47:14 PM,0.0,,,,
136,03/05/16 03:47:15 PM,0.0,,,,
137,03/05/16 03:47:16 PM,0.0,Logged,Logged,,
138,03/05/16 03:47:17 PM,0.0,,,,
139,03/05/16 03:47:18 PM,0.0,,,,
140,03/05/16 03:47:19 PM,0.0,,,,
141,03/05/16 03:47:20 PM,0.0,,,,
142,03/05/16 03:47:21 PM,0.0,,,,
143,03/05/16 03:47:22 PM,0.0,,,,
144,03/05/16 03:47:23 PM,0.0,,,,
145,03/05/16 03:47:24 PM,0.0,,,,
146,03/05/16 03:47:25 PM,0.0,,,,
147,03/05/16 03:47:26 PM,0.0,,,,
148,03/05/16 03:47:27 PM,0.0,,,Logged,Logged
