Filename,Raw Performance,Normalzied Performance,Number of Collisions,Number of Wires,Number of Crossover Points,Number of Active Threads
7_6_6_0_6_7,,,1,1,5,1
7_2_6_7_6_2,,,0,0,4,0
7_8_6_2_6_4,,,0,0,4,0
7_0_6_2_6_7,,,0,0,4,0
7_7_6_1_6_8,,,1,1,6,1
7_3_6_4_6_8,,,0,0,6,0
7_1_6_4_6_1,,,1,1,5,1
7_5_6_7_6_2,,,0,0,5,0
7_4_6_9_6_1,,,0,0,5,0
7_9_6_9_6_3,,,1,2,5,2
10_8_9_9_9_1,,,1,1,5,1
10_2_9_5_9_6,,,1,1,8,1
10_6_9_2_9_0,,,0,1,5,1
10_9_9_8_9_5,,,1,1,9,1
10_3_9_9_9_3,,,0,0,5,0
10_1_9_3_9_2,,,0,0,4,0
10_4_9_5_9_2,,,1,1,7,1
10_5_9_6_9_8,,,0,0,8,0
10_7_9_3_9_6,,,0,0,4,0
10_0_9_2_9_5,,,1,1,6,1
9_8_8_3_8_9,,,1,1,9,1
9_4_8_2_8_0,,,0,1,5,1
9_9_8_1_8_8,,,0,0,4,0
9_5_8_3_8_5,,,1,1,7,1
9_2_8_8_8_0,,,0,1,5,1
9_6_8_2_8_5,,,0,1,6,1
9_1_8_3_8_9,,,1,1,6,1
9_7_8_0_8_7,,,1,1,8,1
9_3_8_9_8_8,,,0,0,4,0
9_0_8_8_8_0,,,0,1,5,1
11_6_10_3_10_7,,,0,0,5,0
11_1_10_0_10_6,,,1,1,7,1
11_4_10_4_10_3,,,1,1,7,1
11_3_10_6_10_8,,,1,1,5,1
11_2_10_3_10_4,,,1,1,7,1
11_9_10_4_10_0,,,1,1,7,1
11_5_10_0_10_7,,,0,0,5,0
11_8_10_9_10_6,,,0,0,7,0
11_0_10_6_10_0,,,1,1,6,1
11_7_10_2_10_8,,,1,1,5,1
6_8_5_0_5_3,,,0,0,6,0
6_9_5_8_5_2,,,0,0,4,0
6_6_5_7_5_4,,,0,0,7,0
6_5_5_4_5_0,,,0,0,7,0
6_1_5_7_5_5,,,1,1,5,1
6_4_5_7_5_8,,,0,0,5,0
6_2_5_0_5_2,,,0,0,3,0
6_0_5_5_5_0,,,0,0,3,0
6_3_5_2_5_5,,,1,3,3,2
6_7_5_5_5_6,,,1,1,4,1
8_1_7_6_7_3,,,0,1,6,1
8_8_7_4_7_5,,,0,0,4,0
8_0_7_7_7_8,,,0,1,5,1
8_5_7_7_7_4,,,0,1,7,1
8_6_7_3_7_8,,,0,0,4,0
8_7_7_9_7_7,,,1,1,6,1
8_4_7_6_7_3,,,0,1,6,1
8_3_7_8_7_9,,,1,1,7,1
8_9_7_6_7_1,,,1,1,6,1
8_2_7_8_7_7,,,0,1,5,1
5_7_4_9_4_3,,,0,0,4,0
5_9_4_5_4_2,,,0,0,5,0
5_6_4_6_4_1,,,0,0,7,0
5_8_4_8_4_4,,,0,1,7,1
5_2_4_4_4_9,,,0,0,2,0
5_5_4_9_4_2,,,1,3,3,2
5_0_4_4_4_9,,,0,0,2,0
5_1_4_2_4_5,,,0,0,2,0
5_3_4_6_4_4,,,0,0,5,0
5_4_4_8_4_5,,,1,1,6,1
4_2_3_6_3_2,,,1,3,2,2
4_7_3_5_3_6,,,1,2,5,2
4_9_3_2_3_1,,,1,1,3,1
4_8_3_9_3_0,,,0,1,8,1
4_1_3_1_3_0,,,0,0,5,0
4_5_3_1_3_2,,,1,1,3,1
4_4_3_9_3_0,,,0,1,5,1
4_6_3_4_3_8,,,0,0,6,0
4_0_3_1_3_2,,,1,1,3,1
4_3_3_8_3_6,,,0,0,7,0
2_3_1_0_1_6,,,1,4,2,3
2_6_1_0_1_6,,,1,4,2,3
2_8_1_9_1_4,,,0,5,4,3
2_9_1_1_1_3,,,1,2,4,2
2_1_1_0_1_4,,,1,2,4,2
2_4_1_5_1_2,,,1,1,2,1
2_5_1_3_1_4,,,3,3,5,3
2_2_1_3_1_5,,,2,4,3,4
2_0_1_3_1_5,,,2,4,2,4
2_7_1_2_1_5,,,1,1,3,1
3_1_2_4_2_2,,,1,1,4,1
3_9_2_3_2_5,,,1,1,5,1
3_6_2_1_2_2,,,0,2,4,2
3_2_2_1_2_3,,,4,2,2,2
3_4_2_4_2_2,,,0,0,6,0
3_5_2_5_2_8,,,3,6,6,4
3_7_2_7_2_8,,,1,1,4,1
3_3_2_3_2_1,,,2,3,4,3
3_0_2_2_2_1,,,0,3,4,3
3_8_2_4_2_9,,,0,0,6,0
1_6_ _ _ _ ,6479.5000000000155,0.009582962544141623,1,3,2,2
1_1_ _ _ _ ,3616.800000000002,0.005349125538953833,1,2,2,2
1_9_ _ _ _ ,4880.300000000003,0.00721779953764554,0,5,2,3
1_5_ _ _ _ ,5597.700000000007,0.008278810005917354,1,3,2,2
1_0_ _ _ _ ,26725.099999999962,0.039525523927531184,1,5,2,3
1_4_ _ _ _ ,5211.0000000000055,0.007706893713638695,1,2,2,2
1_2_ _ _ _ ,4037.600000000008,0.005971474584184922,1,3,2,2
1_7_ _ _ _ ,3584.300000000006,0.005301059132181001,0,3,2,2
1_3_ _ _ _ ,8395.20000000002,0.012416218404287022,2,3,2,3
1_8_ _ _ _ ,2795.6,0.004134598362281388,0,2,2,1
