Filename,Raw Performance,Normalzied Performance,Number of Collisions,Number of Wires,Number of Crossover Points,Number of Active Threads
7_3_6_6_6_1,,,0,3,3,3
7_2_6_0_6_1,,,0,2,5,2
7_0_6_8_6_3,,,0,2,2,2
7_4_6_3_6_0,,,0,1,4,1
7_8_6_2_6_7,,,0,3,5,3
7_5_6_5_6_8,,,0,1,3,1
7_1_6_3_6_8,,,0,0,2,0
7_6_6_0_6_6,,,0,2,4,2
7_7_6_8_6_3,,,0,2,2,2
7_9_6_5_6_1,,,0,1,3,1
10_2_9_9_9_8,,,0,2,3,2
10_9_9_2_9_3,,,0,1,4,1
10_5_9_2_9_1,,,0,1,4,1
10_7_9_0_9_7,,,0,2,4,2
10_1_9_2_9_3,,,0,1,4,1
10_8_9_1_9_9,,,0,1,4,1
10_0_9_8_9_2,,,0,1,5,1
10_6_9_8_9_4,,,0,1,5,1
10_3_9_7_9_9,,,0,1,4,1
10_4_9_8_9_3,,,0,2,5,2
9_4_8_9_8_8,,,0,0,4,0
9_0_8_7_8_8,,,0,1,4,1
9_3_8_7_8_4,,,0,2,4,2
9_7_8_0_8_9,,,0,1,5,1
9_9_8_8_8_2,,,0,2,3,2
9_6_8_3_8_4,,,0,1,4,1
9_1_8_7_8_4,,,0,2,4,2
9_8_8_1_8_7,,,0,2,5,2
9_5_8_1_8_0,,,0,2,4,2
9_2_8_9_8_8,,,0,0,4,0
11_7_10_9_10_7,,,0,1,4,1
11_8_10_8_10_0,,,0,2,4,2
11_6_10_4_10_5,,,0,1,5,1
11_1_10_7_10_0,,,0,2,4,2
11_4_10_6_10_4,,,0,2,5,2
11_5_10_0_10_7,,,0,2,5,2
11_0_10_5_10_0,,,0,1,4,1
11_3_10_1_10_5,,,0,1,4,1
11_2_10_5_10_1,,,0,1,4,1
11_9_10_6_10_1,,,0,1,5,1
6_4_5_6_5_0,,,0,3,3,3
6_8_5_0_5_9,,,0,2,2,2
6_5_5_5_5_1,,,0,2,4,2
6_1_5_0_5_9,,,0,2,2,2
6_6_5_3_5_5,,,0,4,3,4
6_9_5_8_5_4,,,0,1,5,1
6_2_5_1_5_4,,,0,1,5,1
6_7_5_6_5_1,,,0,3,4,3
6_3_5_4_5_9,,,0,0,2,0
6_0_5_1_5_4,,,0,1,5,1
8_2_7_1_7_3,,,0,1,4,1
8_1_7_6_7_5,,,0,1,5,1
8_9_7_9_7_0,,,0,1,3,1
8_8_7_3_7_6,,,0,3,3,3
8_6_7_1_7_4,,,0,1,4,1
8_4_7_6_7_4,,,0,1,5,1
8_7_7_7_7_5,,,0,2,2,2
8_5_7_3_7_7,,,0,3,3,3
8_3_7_5_7_1,,,0,1,3,1
8_0_7_6_7_3,,,0,2,4,2
5_6_4_5_4_8,,,0,3,4,3
5_5_4_8_4_5,,,0,2,4,2
5_1_4_3_4_4,,,0,2,4,2
5_4_4_1_4_7,,,0,0,3,0
5_2_4_1_4_5,,,0,2,4,2
5_7_4_4_4_7,,,0,4,3,4
5_9_4_0_4_1,,,0,0,2,0
5_3_4_4_4_3,,,0,3,3,3
5_8_4_6_4_3,,,0,1,5,1
5_0_4_5_4_3,,,0,3,3,3
4_8_3_2_3_5,,,0,2,4,2
4_2_3_0_3_4,,,1,3,3,3
4_0_3_6_3_4,,,0,1,3,1
4_4_3_0_3_6,,,0,5,3,5
4_7_3_8_3_4,,,0,2,3,2
4_1_3_6_3_2,,,0,1,2,1
4_3_3_4_3_2,,,0,0,4,0
4_5_3_8_3_1,,,0,3,4,3
4_9_3_0_3_6,,,0,5,3,5
4_6_3_7_3_1,,,0,2,4,2
2_5_1_5_1_2,,,1,3,2,3
2_8_1_6_1_2,,,0,4,3,4
2_9_1_1_1_7,,,0,1,2,1
2_7_1_4_1_9,,,0,1,4,1
2_4_1_9_1_7,,,0,0,2,0
2_3_1_4_1_1,,,0,0,4,0
2_0_1_1_1_2,,,0,3,2,3
2_2_1_1_1_7,,,0,1,2,1
2_1_1_2_1_4,,,0,2,3,2
2_6_1_5_1_8,,,1,3,2,3
3_2_2_0_2_2,,,0,1,2,1
3_1_2_6_2_3,,,1,3,3,3
3_3_2_9_2_0,,,0,3,2,3
3_0_2_6_2_3,,,1,3,3,3
3_8_2_1_2_8,,,0,3,4,3
3_6_2_9_2_0,,,0,3,2,3
3_5_2_6_2_3,,,1,3,3,3
3_7_2_7_2_6,,,0,2,4,2
3_4_2_7_2_2,,,0,0,4,0
3_9_2_3_2_2,,,0,0,4,0
1_6_ _ _ _ ,,,0,3,2,3
1_1_ _ _ _ ,,,0,2,2,2
1_9_ _ _ _ ,,,0,2,2,1
1_5_ _ _ _ ,,,2,3,2,3
1_0_ _ _ _ ,,,0,2,2,1
1_4_ _ _ _ ,,,0,3,2,2
1_2_ _ _ _ ,,,0,4,2,4
1_7_ _ _ _ ,,,0,2,2,1
1_3_ _ _ _ ,,,1,2,2,2
1_8_ _ _ _ ,,,0,3,2,2
