Filename,Raw Performance,Normalzied Performance,Number of Collisions,Number of Wires,Number of Crossover Points,Number of Active Threads
7_2_6_9_6_3,,,2,3,3,2
7_5_6_2_6_8,,,0,2,5,2
7_9_6_0_6_9,,,2,3,4,2
7_6_6_1_6_8,,,2,2,3,1
7_7_6_3_6_5,,,2,3,4,2
7_3_6_9_6_1,,,2,3,3,2
7_0_6_9_6_3,,,2,3,3,2
7_1_6_5_6_2,,,1,3,3,2
7_4_6_3_6_5,,,2,3,4,2
7_8_6_2_6_6,,,1,3,4,2
10_4_9_5_9_4,,,2,3,4,2
10_0_9_3_9_9,,,2,2,4,1
10_7_9_4_9_7,,,1,3,4,2
10_2_9_1_9_4,,,2,3,4,2
10_3_9_3_9_9,,,2,2,4,1
10_5_9_6_9_1,,,2,3,4,2
10_9_9_1_9_9,,,2,2,4,1
10_6_9_6_9_5,,,2,2,4,1
10_1_9_9_9_3,,,2,3,4,2
10_8_9_8_9_3,,,1,3,4,2
9_5_8_3_8_2,,,2,2,4,1
9_3_8_7_8_9,,,2,3,4,2
9_0_8_0_8_3,,,1,3,4,2
9_8_8_0_8_4,,,1,3,4,2
9_1_8_3_8_9,,,2,3,4,2
9_6_8_7_8_9,,,2,3,4,2
9_7_8_6_8_1,,,1,3,4,2
9_2_8_2_8_0,,,1,2,3,1
9_9_8_3_8_2,,,2,2,4,1
9_4_8_4_8_0,,,1,3,4,2
11_4_10_3_10_5,,,2,3,4,2
11_2_10_9_10_1,,,2,3,4,2
11_8_10_1_10_3,,,2,2,4,1
11_5_10_0_10_7,,,2,3,4,2
11_7_10_7_10_4,,,1,3,4,2
11_6_10_9_10_0,,,2,2,4,1
11_3_10_1_10_9,,,2,2,4,1
11_1_10_5_10_7,,,2,3,4,2
11_0_10_5_10_1,,,2,3,4,2
11_9_10_2_10_5,,,2,3,4,2
6_0_5_7_5_0,,,2,3,4,2
6_6_5_7_5_1,,,2,3,4,2
6_7_5_2_5_0,,,1,3,4,2
6_9_5_8_5_4,,,2,3,2,2
6_8_5_9_5_3,,,2,4,5,3
6_2_5_2_5_0,,,1,3,4,2
6_4_5_3_5_8,,,2,2,4,1
6_3_5_2_5_7,,,1,4,5,3
6_1_5_8_5_7,,,2,2,3,1
6_5_5_1_5_0,,,1,3,3,2
8_5_7_5_7_6,,,2,2,4,1
8_7_7_4_7_0,,,2,3,4,2
8_1_7_2_7_4,,,2,3,3,2
8_0_7_8_7_4,,,1,3,4,2
8_4_7_8_7_4,,,1,3,4,2
8_3_7_7_7_2,,,2,3,4,2
8_6_7_8_7_2,,,1,3,4,2
8_8_7_6_7_9,,,2,2,3,1
8_9_7_5_7_7,,,2,3,4,2
8_2_7_6_7_8,,,1,2,3,1
5_8_4_2_4_1,,,2,2,2,1
5_5_4_3_4_0,,,2,2,3,1
5_1_4_3_4_7,,,2,2,3,1
5_2_4_8_4_9,,,1,2,5,2
5_6_4_0_4_8,,,0,1,4,1
5_3_4_9_4_7,,,1,2,3,2
5_9_4_4_4_3,,,0,0,4,0
5_7_4_9_4_7,,,1,2,3,2
5_0_4_9_4_8,,,1,3,4,2
5_4_4_2_4_8,,,2,3,2,2
4_8_3_1_3_4,,,2,3,3,2
4_9_3_6_3_5,,,2,3,4,3
4_1_3_4_3_1,,,1,1,3,1
4_2_3_0_3_5,,,2,2,3,1
4_6_3_2_3_0,,,0,1,4,1
4_4_3_3_3_9,,,1,2,3,1
4_5_3_4_3_1,,,1,1,3,1
4_0_3_5_3_4,,,0,1,4,1
4_7_3_9_3_3,,,1,4,2,3
4_3_3_0_3_5,,,2,2,3,1
2_0_1_8_1_3,,,1,2,3,1
2_9_1_5_1_6,,,1,2,3,1
2_4_1_3_1_0,,,1,3,2,3
2_8_1_4_1_0,,,1,2,2,2
2_5_1_7_1_9,,,1,2,3,2
2_6_1_3_1_8,,,1,4,2,3
2_3_1_4_1_8,,,1,1,3,1
2_2_1_3_1_8,,,1,4,2,3
2_1_1_9_1_7,,,1,2,2,2
2_7_1_7_1_9,,,1,2,3,2
3_1_2_7_2_9,,,2,3,3,2
3_4_2_7_2_9,,,2,3,3,2
3_8_2_2_2_0,,,1,4,2,3
3_9_2_6_2_3,,,1,3,2,3
3_7_2_1_2_9,,,1,2,3,2
3_6_2_8_2_7,,,2,3,4,3
3_2_2_1_2_6,,,1,2,3,2
3_5_2_1_2_2,,,1,2,3,2
3_0_2_9_2_1,,,1,3,2,2
3_3_2_0_2_6,,,1,2,3,1
1_6_ _ _ _ ,,,1,3,2,2
1_1_ _ _ _ ,,,1,2,2,2
1_9_ _ _ _ ,,,0,5,2,3
1_5_ _ _ _ ,,,1,3,2,2
1_0_ _ _ _ ,,,1,5,2,3
1_4_ _ _ _ ,,,1,2,2,2
1_2_ _ _ _ ,,,1,3,2,2
1_7_ _ _ _ ,,,0,3,2,2
1_3_ _ _ _ ,,,2,3,2,3
1_8_ _ _ _ ,,,0,2,2,1
