Generation,mean,stderr,mean collisions,collision stderr,collisions min,collisions max,mean wires,mean wires stderr
1,1,0.31622776601683794,0.8,0.18973665961010275,0,2,,
2,1,0.31622776601683794,1.0,0.0,1,1,,
3,1,0.31622776601683794,1.3,0.14491376746189438,1,2,,
4,1,0.31622776601683794,1.2,0.23664319132398462,0,2,,
5,1,0.31622776601683794,1.2,0.23664319132398465,0,2,,
6,1,0.31622776601683794,1.6,0.15491933384829668,1,2,,
7,1,0.31622776601683794,1.6,0.20976176963403037,0,2,,
8,1,0.31622776601683794,1.6,0.15491933384829668,1,2,,
9,1,0.31622776601683794,1.5,0.15811388300841897,1,2,,
10,1,0.31622776601683794,1.8,0.12649110640673517,1,2,,
