Filename,Raw Performance,Normalzied Performance,Number of Collisions,Number of Wires,Number of Crossover Points,Number of Active Threads
7_5_6_5_6_3,,,2,4,4,3
7_3_6_8_6_0,,,0,4,3,3
7_4_6_4_6_9,,,0,3,3,2
7_8_6_3_6_0,,,2,2,3,2
7_9_6_1_6_8,,,0,3,4,2
7_7_6_5_6_4,,,2,4,4,3
7_1_6_9_6_0,,,0,1,2,1
7_0_6_0_6_3,,,0,2,2,2
7_6_6_2_6_9,,,0,2,2,2
7_2_6_5_6_3,,,2,4,4,3
10_0_9_6_9_7,,,0,4,3,3
10_6_9_8_9_9,,,0,2,2,2
10_7_9_4_9_3,,,0,1,3,1
10_3_9_4_9_1,,,2,3,3,3
10_2_9_6_9_3,,,0,3,3,2
10_5_9_7_9_6,,,0,4,4,3
10_8_9_6_9_2,,,0,4,3,3
10_1_9_7_9_4,,,2,2,3,2
10_9_9_1_9_7,,,0,3,2,3
10_4_9_8_9_3,,,0,2,2,2
9_6_8_9_8_6,,,0,4,3,3
9_2_8_5_8_8,,,0,4,3,3
9_7_8_1_8_7,,,2,2,3,2
9_5_8_8_8_5,,,2,4,4,3
9_9_8_0_8_5,,,0,2,2,2
9_1_8_7_8_0,,,0,2,2,2
9_4_8_6_8_7,,,2,2,3,2
9_3_8_1_8_0,,,2,2,3,2
9_8_8_4_8_8,,,0,2,2,2
9_0_8_5_8_8,,,0,4,3,3
11_4_10_4_10_1,,,0,2,2,2
11_1_10_9_10_2,,,0,3,2,3
11_9_10_9_10_1,,,0,3,2,3
11_3_10_2_10_3,,,1,5,3,4
11_6_10_7_10_0,,,0,3,4,2
11_8_10_2_10_3,,,3,6,3,5
11_5_10_9_10_0,,,0,3,2,3
11_2_10_4_10_3,,,0,2,2,2
11_7_10_4_10_6,,,0,2,2,2
11_0_10_3_10_9,,,2,3,3,3
6_3_5_7_5_6,,,0,3,5,2
6_7_5_0_5_3,,,0,3,5,2
6_9_5_4_5_8,,,0,1,2,1
6_5_5_5_5_1,,,2,4,4,3
6_4_5_3_5_8,,,0,4,3,3
6_8_5_6_5_1,,,0,3,4,2
6_0_5_8_5_3,,,0,2,2,2
6_1_5_3_5_6,,,0,3,3,2
6_2_5_8_5_1,,,0,2,2,2
6_6_5_7_5_5,,,2,2,3,2
8_2_7_5_7_0,,,2,2,3,2
8_8_7_8_7_6,,,2,2,3,2
8_5_7_4_7_0,,,0,4,3,3
8_9_7_4_7_9,,,0,3,4,2
8_0_7_6_7_8,,,0,2,2,2
8_1_7_8_7_6,,,2,2,3,2
8_7_7_0_7_7,,,0,2,2,2
8_6_7_5_7_2,,,2,4,4,3
8_4_7_6_7_8,,,0,2,2,2
8_3_7_2_7_5,,,2,4,4,3
5_2_4_5_4_7,,,0,3,3,2
5_4_4_7_4_0,,,0,1,2,1
5_7_4_1_4_9,,,0,3,5,2
5_3_4_9_4_5,,,0,3,3,2
5_0_4_1_4_5,,,0,3,5,2
5_8_4_6_4_8,,,0,2,2,2
5_5_4_1_4_6,,,2,2,3,2
5_1_4_0_4_1,,,0,3,4,2
5_6_4_5_4_0,,,0,3,3,2
5_9_4_4_4_7,,,0,3,3,2
4_3_3_0_3_7,,,2,2,3,2
4_4_3_9_3_3,,,1,4,3,3
4_8_3_0_3_3,,,0,3,5,2
4_6_3_8_3_7,,,0,3,1,3
4_7_3_4_3_9,,,0,1,2,1
4_2_3_9_3_3,,,1,4,3,3
4_9_3_5_3_1,,,0,3,3,2
4_5_3_5_3_1,,,0,3,3,2
4_0_3_9_3_5,,,0,3,3,2
4_1_3_0_3_5,,,0,3,5,2
2_5_1_2_1_6,,,1,5,2,3
2_3_1_9_1_4,,,0,3,3,3
2_0_1_5_1_4,,,1,4,3,3
2_2_1_6_1_2,,,1,5,3,3
2_7_1_9_1_6,,,0,1,1,1
2_1_1_4_1_5,,,1,5,2,3
2_6_1_5_1_4,,,1,4,3,3
2_4_1_8_1_5,,,1,3,4,2
2_8_1_8_1_2,,,3,5,3,4
2_9_1_7_1_3,,,2,4,3,3
3_4_2_7_2_3,,,0,2,2,2
3_3_2_0_2_8,,,1,4,3,3
3_1_2_4_2_7,,,0,1,3,1
3_0_2_4_2_3,,,0,1,4,1
3_8_2_7_2_6,,,0,1,2,1
3_7_2_3_2_5,,,0,3,1,3
3_5_2_6_2_4,,,0,3,3,2
3_6_2_4_2_8,,,3,5,3,4
3_2_2_6_2_3,,,0,4,4,3
3_9_2_0_2_2,,,0,5,3,3
1_6_ _ _ _ ,,,0,3,2,1
1_1_ _ _ _ ,,,1,7,2,5
1_9_ _ _ _ ,,,1,3,2,2
1_5_ _ _ _ ,,,1,3,2,2
1_0_ _ _ _ ,,,0,3,2,2
1_4_ _ _ _ ,,,1,4,2,2
1_2_ _ _ _ ,,,0,3,2,3
1_7_ _ _ _ ,,,1,3,2,2
1_3_ _ _ _ ,,,2,3,2,2
1_8_ _ _ _ ,,,1,3,2,2
