Generation,mean,stderr,mean collisions,collision stderr,collisions min,collisions max,mean wires,mean wires stderr
1,1,0.31622776601683794,0.8,0.18973665961010278,0,2,,
2,1,0.31622776601683794,1.1,0.26267851073127396,0,3,,
3,1,0.31622776601683794,0.4,0.28982753492378877,0,3,,
4,1,0.31622776601683794,0.4,0.20976176963403032,0,2,,
5,1,0.31622776601683794,0.2,0.18973665961010278,0,2,,
6,1,0.31622776601683794,0.4,0.2529822128134704,0,2,,
7,1,0.31622776601683794,0.8,0.30983866769659335,0,2,,
8,1,0.31622776601683794,1.0,0.31622776601683794,0,2,,
9,1,0.31622776601683794,0.8,0.30983866769659335,0,2,,
10,1,0.31622776601683794,0.4,0.2529822128134704,0,2,,
