Generation,mean,stderr,mean collisions,collision stderr,collisions min,collisions max,mean wires,mean wires stderr
1,1,0.31622776601683794,0.9,0.26267851073127396,0,3,,
2,1,0.31622776601683794,1.0,0.3741657386773941,0,4,,
3,1,0.31622776601683794,0.6,0.3794733192202055,0,4,,
4,1,0.31622776601683794,0.3,0.20248456731316583,0,2,,
5,1,0.31622776601683794,0.3,0.20248456731316583,0,2,,
6,1,0.31622776601683794,0.3,0.14491376746189438,0,1,,
7,1,0.31622776601683794,0.1,0.09486832980505139,0,1,,
8,1,0.31622776601683794,0.0,0.0,0,0,,
9,1,0.31622776601683794,0.0,0.0,0,0,,
10,1,0.31622776601683794,0.0,0.0,0,0,,
