Filename,Raw Performance,Normalzied Performance,Number of Collisions,Number of Wires,Number of Crossover Points
7_6_6_0_6_7,,,0,2,5
7_9_6_6_6_8,,,0,1,8
7_2_6_7_6_6,,,1,4,5
7_5_6_6_6_8,,,1,4,6
7_4_6_0_6_2,,,0,2,5
7_3_6_5_6_7,,,0,5,5
7_1_6_5_6_8,,,0,4,5
7_7_6_5_6_2,,,0,5,5
7_8_6_3_6_1,,,0,3,4
7_0_6_7_6_5,,,0,4,6
10_2_9_9_9_3,,,0,3,9
10_0_9_2_9_3,,,1,4,7
10_9_9_2_9_3,,,1,4,9
10_6_9_5_9_6,,,0,2,8
10_8_9_9_9_7,,,0,3,9
10_1_9_2_9_5,,,0,2,10
10_4_9_9_9_5,,,0,2,7
10_5_9_2_9_6,,,1,4,6
10_3_9_1_9_3,,,0,5,7
10_7_9_1_9_0,,,0,5,6
9_5_8_4_8_9,,,0,1,6
9_4_8_0_8_5,,,0,2,7
9_8_8_5_8_9,,,0,1,6
9_1_8_9_8_0,,,0,5,6
9_2_8_8_8_3,,,1,4,7
9_3_8_8_8_3,,,1,4,7
9_6_8_6_8_4,,,0,5,5
9_7_8_8_8_3,,,1,4,7
9_0_8_0_8_9,,,0,5,7
9_9_8_0_8_7,,,0,2,7
11_5_10_3_10_2,,,0,3,8
11_0_10_8_10_5,,,0,2,7
11_3_10_5_10_7,,,1,4,6
11_6_10_9_10_4,,,0,2,9
11_4_10_8_10_4,,,0,2,8
11_8_10_2_10_5,,,0,2,7
11_2_10_8_10_7,,,0,3,9
11_7_10_7_10_3,,,0,5,8
11_9_10_8_10_1,,,0,2,11
11_1_10_2_10_5,,,0,2,7
6_3_5_5_5_2,,,0,2,5
6_9_5_2_5_0,,,0,4,5
6_0_5_5_5_8,,,0,3,4
6_7_5_9_5_5,,,1,3,6
6_8_5_8_5_6,,,0,1,6
6_4_5_0_5_8,,,0,4,6
6_2_5_0_5_2,,,0,3,5
6_5_5_6_5_3,,,0,4,5
6_6_5_7_5_3,,,1,4,3
6_1_5_5_5_8,,,0,3,4
8_7_7_8_7_7,,,0,2,7
8_5_7_4_7_0,,,0,1,6
8_2_7_5_7_2,,,1,4,7
8_4_7_8_7_7,,,0,2,6
8_0_7_5_7_7,,,0,5,6
8_8_7_2_7_5,,,1,4,7
8_3_7_5_7_2,,,1,4,8
8_6_7_3_7_1,,,0,5,5
8_9_7_0_7_4,,,0,2,7
8_1_7_8_7_7,,,0,2,6
5_2_4_1_4_6,,,0,3,5
5_0_4_3_4_5,,,0,4,5
5_4_4_5_4_3,,,0,2,6
5_3_4_9_4_6,,,0,4,3
5_7_4_2_4_1,,,1,4,3
5_6_4_6_4_9,,,0,4,5
5_5_4_7_4_1,,,0,2,5
5_1_4_5_4_3,,,0,2,6
5_9_4_4_4_3,,,0,3,6
5_8_4_7_4_5,,,0,3,3
4_7_3_7_3_5,,,0,3,3
4_8_3_4_3_0,,,0,2,3
4_9_3_2_3_1,,,0,4,3
4_6_3_8_3_6,,,0,4,4
4_5_3_7_3_5,,,0,3,3
4_2_3_1_3_4,,,0,4,4
4_3_3_6_3_4,,,0,4,5
4_1_3_6_3_8,,,0,3,5
4_0_3_6_3_8,,,0,3,5
4_4_3_1_3_8,,,0,3,7
2_5_1_4_1_8,,,0,3,3
2_6_1_4_1_8,,,0,3,4
2_3_1_7_1_3,,,0,2,2
2_0_1_7_1_5,,,0,0,4
2_4_1_5_1_2,,,0,4,1
2_9_1_3_1_6,,,0,3,6
2_8_1_2_1_5,,,2,4,2
2_7_1_1_1_7,,,0,4,2
2_2_1_5_1_2,,,0,4,1
2_1_1_7_1_8,,,0,1,1
3_5_2_4_2_9,,,0,3,2
3_9_2_2_2_6,,,0,4,2
3_7_2_7_2_9,,,0,4,4
3_0_2_6_2_4,,,0,4,3
3_2_2_4_2_6,,,0,4,2
3_4_2_0_2_5,,,0,1,3
3_8_2_8_2_0,,,0,3,4
3_3_2_6_2_8,,,1,4,3
3_6_2_5_2_4,,,0,4,4
3_1_2_8_2_0,,,0,3,5
1_6_ _ _ _ ,,,0,2,2
1_1_ _ _ _ ,,,0,4,2
1_9_ _ _ _ ,,,1,4,2
1_5_ _ _ _ ,,,0,4,2
1_0_ _ _ _ ,,,1,4,2
1_4_ _ _ _ ,,,0,3,2
1_2_ _ _ _ ,,,0,5,2
1_7_ _ _ _ ,,,1,3,2
1_3_ _ _ _ ,,,0,2,2
1_8_ _ _ _ ,,,1,6,2
