Generation,mean,stderr,mean collisions,collision stderr,collisions min,collisions max,mean wires,mean wires stderr
1,1,0.31622776601683794,0.4,0.15491933384829668,0,1,,
2,1,0.31622776601683794,0.2,0.18973665961010278,0,2,,
3,1,0.31622776601683794,0.1,0.09486832980505139,0,1,,
4,1,0.31622776601683794,0.0,0.0,0,0,,
5,1,0.31622776601683794,0.1,0.09486832980505139,0,1,,
6,1,0.31622776601683794,0.2,0.1264911064067352,0,1,,
7,1,0.31622776601683794,0.2,0.1264911064067352,0,1,,
8,1,0.31622776601683794,0.3,0.14491376746189435,0,1,,
9,1,0.31622776601683794,0.3,0.14491376746189435,0,1,,
10,1,0.31622776601683794,0.3,0.14491376746189438,0,1,,
1,1,0.31622776601683794,0.5,0.21213203435596426,0,2,,
2,1,0.22360679774997896,0.3,0.1244989959798873,0,2,,
3,1,0.22360679774997896,0.45,0.1495827530165159,0,2,,
4,1,0.22360679774997896,0.25,0.11989578808281799,0,2,,
5,1,0.22360679774997896,0.1,0.0670820393249937,0,1,,
