Filename,Raw Performance,Normalzied Performance,Number of Collisions,Number of Wires,Number of Crossover Points,Number of Active Threads
7_0_6_9_6_0,,,2,4,3,3
7_3_6_1_6_7,,,2,4,5,3
7_9_6_5_6_4,,,0,0,5,0
7_2_6_1_6_0,,,1,3,5,2
7_5_6_0_6_6,,,1,3,4,2
7_6_6_6_6_1,,,1,3,5,2
7_8_6_9_6_7,,,2,3,4,3
7_4_6_5_6_9,,,0,1,3,1
7_7_6_2_6_0,,,0,1,3,1
7_1_6_5_6_9,,,2,3,2,2
10_9_9_8_9_6,,,2,3,13,2
10_4_9_2_9_3,,,2,4,7,3
10_1_9_9_9_8,,,2,4,9,3
10_6_9_3_9_1,,,2,4,6,3
10_2_9_3_9_2,,,2,4,9,3
10_3_9_6_9_8,,,0,1,13,1
10_0_9_9_9_3,,,2,4,6,3
10_8_9_2_9_4,,,2,4,6,3
10_7_9_0_9_9,,,0,1,8,1
10_5_9_1_9_9,,,2,4,5,3
9_2_8_5_8_4,,,2,4,6,3
9_0_8_8_8_4,,,0,1,9,1
9_4_8_9_8_5,,,0,1,5,1
9_8_8_1_8_5,,,2,4,8,3
9_1_8_6_8_8,,,2,4,6,3
9_6_8_8_8_4,,,0,1,11,1
9_3_8_6_8_8,,,2,4,6,3
9_5_8_3_8_4,,,2,3,6,3
9_7_8_7_8_9,,,1,4,5,3
9_9_8_6_8_3,,,2,4,5,3
11_5_10_4_10_5,,,2,4,7,3
11_8_10_7_10_1,,,0,1,12,1
11_0_10_9_10_5,,,2,4,9,3
11_1_10_9_10_2,,,2,4,11,3
11_6_10_3_10_2,,,0,2,14,2
11_4_10_1_10_9,,,2,4,11,3
11_7_10_4_10_5,,,2,4,7,3
11_9_10_9_10_6,,,2,4,9,3
11_2_10_5_10_1,,,2,4,8,3
11_3_10_2_10_6,,,2,4,8,3
6_9_5_2_5_8,,,2,4,2,3
6_4_5_2_5_0,,,2,4,4,3
6_2_5_7_5_8,,,0,1,4,1
6_7_5_7_5_9,,,0,2,3,2
6_6_5_0_5_1,,,2,4,4,3
6_8_5_6_5_5,,,2,4,4,3
6_3_5_6_5_7,,,2,4,3,3
6_5_5_8_5_1,,,0,2,3,1
6_1_5_6_5_1,,,1,3,4,2
6_0_5_6_5_1,,,1,3,4,2
8_3_7_8_7_5,,,2,3,5,3
8_2_7_7_7_8,,,0,2,3,2
8_9_7_7_7_6,,,0,1,4,1
8_6_7_5_7_8,,,2,4,6,3
8_1_7_3_7_0,,,2,4,7,3
8_7_7_3_7_1,,,2,3,5,2
8_4_7_3_7_0,,,2,4,8,3
8_5_7_6_7_7,,,1,3,5,2
8_8_7_9_7_0,,,0,1,7,1
8_0_7_3_7_7,,,2,4,6,3
5_2_4_6_4_9,,,2,4,3,3
5_1_4_1_4_2,,,0,1,3,1
5_9_4_9_4_7,,,2,4,2,3
5_8_4_5_4_1,,,0,4,4,2
5_5_4_1_4_9,,,0,2,1,2
5_0_4_2_4_9,,,2,4,3,3
5_7_4_4_4_2,,,0,2,2,2
5_4_4_6_4_7,,,2,4,3,3
5_3_4_2_4_0,,,1,3,4,2
5_6_4_6_4_0,,,1,3,4,2
4_0_3_8_3_0,,,0,2,4,1
4_3_3_7_3_5,,,2,4,3,3
4_7_3_1_3_5,,,3,4,1,3
4_1_3_0_3_8,,,0,1,5,1
4_9_3_2_3_3,,,2,3,3,2
4_5_3_8_3_3,,,0,4,4,2
4_8_3_8_3_0,,,0,2,4,1
4_4_3_0_3_2,,,0,2,1,2
4_2_3_7_3_5,,,2,4,3,3
4_6_3_7_3_6,,,2,4,3,3
2_5_1_6_1_1,,,1,4,4,2
2_3_1_7_1_3,,,0,3,3,2
2_9_1_1_1_0,,,1,4,3,3
2_4_1_5_1_4,,,2,3,2,2
2_1_1_6_1_4,,,4,5,4,3
2_2_1_3_1_7,,,4,5,2,4
2_7_1_6_1_7,,,1,4,4,2
2_8_1_5_1_4,,,2,3,2,2
2_0_1_7_1_6,,,1,4,3,2
2_6_1_8_1_3,,,0,2,3,1
3_4_2_6_2_8,,,1,3,1,2
3_9_2_7_2_6,,,2,4,4,2
3_3_2_3_2_0,,,1,4,3,2
3_5_2_2_2_4,,,3,5,1,4
3_0_2_0_2_2,,,0,2,4,1
3_7_2_9_2_8,,,2,4,2,3
3_8_2_0_2_2,,,0,2,4,1
3_1_2_2_2_0,,,3,4,3,3
3_6_2_4_2_3,,,2,3,2,2
3_2_2_4_2_3,,,2,3,2,2
1_6_ _ _ _ ,6607.000000000014,0.009771530755327367,0,4,2,2
1_1_ _ _ _ ,4068.500000000003,0.006017174644778166,1,3,2,2
1_9_ _ _ _ ,4869.300000000004,0.0072015309076608885,0,5,2,3
1_5_ _ _ _ ,5319.900000000006,0.007867953150486759,0,3,2,2
1_0_ _ _ _ ,29773.29999999993,0.04403370919291464,0,5,2,3
1_4_ _ _ _ ,5652.80000000001,0.008360301052476846,0,2,2,2
1_2_ _ _ _ ,5214.900000000003,0.007712661682451433,0,4,2,2
1_7_ _ _ _ ,1392.6999999999966,0.0020597564526932594,0,3,2,2
1_3_ _ _ _ ,3606.0,0.005333152702241625,3,4,2,3
1_8_ _ _ _ ,5268.500000000004,0.00779193427946756,0,2,2,1
