Generation,mean,stderr,mean collisions,collision stderr,collisions min,collisions max,mean wires,mean wires stderr
1,1,0.31622776601683794,0.4,0.28982753492378877,0,3,,
2,1,0.31622776601683794,1.6,0.4289522117905443,0,4,,
3,1,0.31622776601683794,1.6,0.322490309931942,0,3,,
4,1,0.31622776601683794,1.1,0.35916569992135944,0,3,,
5,1,0.31622776601683794,1.0,0.282842712474619,0,2,,
6,1,0.31622776601683794,1.2,0.27568097504180444,0,2,,
7,1,0.31622776601683794,1.1,0.26267851073127396,0,2,,
8,1,0.31622776601683794,1.3,0.28460498941515416,0,2,,
9,1,0.31622776601683794,1.3,0.28460498941515416,0,2,,
10,1,0.31622776601683794,1.6,0.25298221281347033,0,2,,
