"Plot Title: devo_1_7_0_0_0_0"
"#","Date Time, GMT-05:00","Intensity, Lux (LGR S/N: 1262011, SEN S/N: 1262011, LBL: light)","Host Connected (LGR S/N: 1262011)","Coupler Attached (LGR S/N: 1262011)","Stopped (LGR S/N: 1262011)","End Of File (LGR S/N: 1262011)"
1,03/05/16 08:25:00 PM,53.8,,,,
2,03/05/16 08:25:01 PM,21.5,,,,
3,03/05/16 08:25:02 PM,32.3,,,,
4,03/05/16 08:25:03 PM,43.1,,,,
5,03/05/16 08:25:04 PM,43.1,,,,
6,03/05/16 08:25:05 PM,43.1,,,,
7,03/05/16 08:25:06 PM,32.3,,,,
8,03/05/16 08:25:07 PM,21.5,,,,
9,03/05/16 08:25:08 PM,21.5,,,,
10,03/05/16 08:25:09 PM,21.5,,,,
11,03/05/16 08:25:10 PM,21.5,,,,
12,03/05/16 08:25:11 PM,21.5,,,,
13,03/05/16 08:25:12 PM,32.3,,,,
14,03/05/16 08:25:13 PM,21.5,,,,
15,03/05/16 08:25:14 PM,21.5,,,,
16,03/05/16 08:25:15 PM,32.3,,,,
17,03/05/16 08:25:16 PM,21.5,,,,
18,03/05/16 08:25:17 PM,21.5,,,,
19,03/05/16 08:25:18 PM,21.5,,,,
20,03/05/16 08:25:19 PM,21.5,,,,
21,03/05/16 08:25:20 PM,21.5,,,,
22,03/05/16 08:25:21 PM,21.5,,,,
23,03/05/16 08:25:22 PM,21.5,,,,
24,03/05/16 08:25:23 PM,21.5,,,,
25,03/05/16 08:25:24 PM,32.3,,,,
26,03/05/16 08:25:25 PM,21.5,,,,
27,03/05/16 08:25:26 PM,32.3,,,,
28,03/05/16 08:25:27 PM,21.5,,,,
29,03/05/16 08:25:28 PM,21.5,,,,
30,03/05/16 08:25:29 PM,21.5,,,,
31,03/05/16 08:25:30 PM,32.3,,,,
32,03/05/16 08:25:31 PM,21.5,,,,
33,03/05/16 08:25:32 PM,32.3,,,,
34,03/05/16 08:25:33 PM,32.3,,,,
35,03/05/16 08:25:34 PM,32.3,,,,
36,03/05/16 08:25:35 PM,21.5,,,,
37,03/05/16 08:25:36 PM,21.5,,,,
38,03/05/16 08:25:37 PM,21.5,,,,
39,03/05/16 08:25:38 PM,21.5,,,,
40,03/05/16 08:25:39 PM,32.3,,,,
41,03/05/16 08:25:40 PM,32.3,,,,
42,03/05/16 08:25:41 PM,32.3,,,,
43,03/05/16 08:25:42 PM,32.3,,,,
44,03/05/16 08:25:43 PM,32.3,,,,
45,03/05/16 08:25:44 PM,32.3,,,,
46,03/05/16 08:25:45 PM,32.3,,,,
47,03/05/16 08:25:46 PM,32.3,,,,
48,03/05/16 08:25:47 PM,32.3,,,,
49,03/05/16 08:25:48 PM,32.3,,,,
50,03/05/16 08:25:49 PM,32.3,,,,
51,03/05/16 08:25:50 PM,32.3,,,,
52,03/05/16 08:25:51 PM,32.3,,,,
53,03/05/16 08:25:52 PM,32.3,,,,
54,03/05/16 08:25:53 PM,32.3,,,,
55,03/05/16 08:25:54 PM,32.3,,,,
56,03/05/16 08:25:55 PM,32.3,,,,
57,03/05/16 08:25:56 PM,32.3,,,,
58,03/05/16 08:25:57 PM,32.3,,,,
59,03/05/16 08:25:58 PM,32.3,,,,
60,03/05/16 08:25:59 PM,32.3,,,,
61,03/05/16 08:26:00 PM,32.3,,,,
62,03/05/16 08:26:01 PM,32.3,,,,
63,03/05/16 08:26:02 PM,32.3,,,,
64,03/05/16 08:26:03 PM,32.3,,,,
65,03/05/16 08:26:04 PM,32.3,,,,
66,03/05/16 08:26:05 PM,32.3,,,,
67,03/05/16 08:26:06 PM,32.3,,,,
68,03/05/16 08:26:07 PM,32.3,,,,
69,03/05/16 08:26:08 PM,32.3,,,,
70,03/05/16 08:26:09 PM,32.3,,,,
71,03/05/16 08:26:10 PM,32.3,,,,
72,03/05/16 08:26:11 PM,32.3,,,,
73,03/05/16 08:26:12 PM,32.3,,,,
74,03/05/16 08:26:13 PM,32.3,,,,
