"Plot Title: no_devo1_5_0_0_0_0_redo"
"#","Date Time, GMT-05:00","Intensity, Lux (LGR S/N: 1262011, SEN S/N: 1262011, LBL: light)","Host Connected (LGR S/N: 1262011)","Coupler Attached (LGR S/N: 1262011)","Stopped (LGR S/N: 1262011)","End Of File (LGR S/N: 1262011)"
1,03/05/16 03:05:00 PM,75.3,,,,
2,03/05/16 03:05:01 PM,32.3,,,,
3,03/05/16 03:05:02 PM,10.8,,,,
4,03/05/16 03:05:03 PM,10.8,,,,
5,03/05/16 03:05:04 PM,0.0,,,,
6,03/05/16 03:05:05 PM,21.5,,,,
7,03/05/16 03:05:06 PM,21.5,,,,
8,03/05/16 03:05:07 PM,43.1,,,,
9,03/05/16 03:05:08 PM,64.6,,,,
10,03/05/16 03:05:09 PM,43.1,,,,
11,03/05/16 03:05:10 PM,0.0,,,,
12,03/05/16 03:05:11 PM,10.8,,,,
13,03/05/16 03:05:12 PM,10.8,,,,
14,03/05/16 03:05:13 PM,32.3,,,,
15,03/05/16 03:05:14 PM,43.1,,,,
16,03/05/16 03:05:15 PM,43.1,,,,
17,03/05/16 03:05:16 PM,43.1,,,,
18,03/05/16 03:05:17 PM,43.1,,,,
19,03/05/16 03:05:18 PM,32.3,,,,
20,03/05/16 03:05:19 PM,43.1,,,,
21,03/05/16 03:05:20 PM,43.1,,,,
22,03/05/16 03:05:21 PM,43.1,,,,
23,03/05/16 03:05:22 PM,43.1,,,,
24,03/05/16 03:05:23 PM,43.1,,,,
25,03/05/16 03:05:24 PM,43.1,,,,
26,03/05/16 03:05:25 PM,43.1,,,,
27,03/05/16 03:05:26 PM,43.1,,,,
28,03/05/16 03:05:27 PM,43.1,,,,
29,03/05/16 03:05:28 PM,43.1,,,,
30,03/05/16 03:05:29 PM,43.1,,,,
31,03/05/16 03:05:30 PM,43.1,,,,
32,03/05/16 03:05:31 PM,43.1,,,,
33,03/05/16 03:05:32 PM,53.8,,,,
34,03/05/16 03:05:33 PM,53.8,,,,
35,03/05/16 03:05:34 PM,53.8,,,,
36,03/05/16 03:05:35 PM,53.8,,,,
37,03/05/16 03:05:36 PM,53.8,,,,
38,03/05/16 03:05:37 PM,53.8,,,,
39,03/05/16 03:05:38 PM,53.8,,,,
40,03/05/16 03:05:39 PM,53.8,,,,
41,03/05/16 03:05:40 PM,53.8,,,,
42,03/05/16 03:05:41 PM,53.8,,,,
43,03/05/16 03:05:42 PM,43.1,,,,
44,03/05/16 03:05:43 PM,43.1,,,,
45,03/05/16 03:05:44 PM,43.1,,,,
46,03/05/16 03:05:45 PM,43.1,,,,
47,03/05/16 03:05:46 PM,43.1,,,,
48,03/05/16 03:05:47 PM,43.1,,,,
49,03/05/16 03:05:48 PM,43.1,,,,
50,03/05/16 03:05:49 PM,43.1,,,,
51,03/05/16 03:05:50 PM,43.1,,,,
52,03/05/16 03:05:51 PM,43.1,,,,
53,03/05/16 03:05:52 PM,43.1,,,,
54,03/05/16 03:05:53 PM,53.8,,,,
55,03/05/16 03:05:54 PM,53.8,,,,
