"Plot Title: no_devo1_1_0_0_0_0_new"
"#","Date Time, GMT-05:00","Intensity, Lux (LGR S/N: 1262011, SEN S/N: 1262011, LBL: light)","Coupler Attached (LGR S/N: 1262011)","Host Connected (LGR S/N: 1262011)","Stopped (LGR S/N: 1262011)","End Of File (LGR S/N: 1262011)"
1,03/05/16 02:42:00 PM,64.6,,,,
2,03/05/16 02:42:01 PM,75.3,,,,
3,03/05/16 02:42:02 PM,64.6,,,,
4,03/05/16 02:42:03 PM,53.8,,,,
5,03/05/16 02:42:04 PM,32.3,,,,
6,03/05/16 02:42:05 PM,21.5,,,,
7,03/05/16 02:42:06 PM,10.8,,,,
8,03/05/16 02:42:07 PM,21.5,,,,
9,03/05/16 02:42:08 PM,10.8,,,,
10,03/05/16 02:42:09 PM,0.0,,,,
11,03/05/16 02:42:10 PM,0.0,,,,
12,03/05/16 02:42:11 PM,0.0,,,,
13,03/05/16 02:42:12 PM,21.5,,,,
14,03/05/16 02:42:13 PM,43.1,,,,
15,03/05/16 02:42:14 PM,53.8,,,,
16,03/05/16 02:42:15 PM,75.3,,,,
17,03/05/16 02:42:16 PM,64.6,,,,
18,03/05/16 02:42:17 PM,64.6,,,,
19,03/05/16 02:42:18 PM,43.1,,,,
20,03/05/16 02:42:19 PM,32.3,,,,
21,03/05/16 02:42:20 PM,21.5,,,,
22,03/05/16 02:42:21 PM,21.5,,,,
23,03/05/16 02:42:22 PM,10.8,,,,
24,03/05/16 02:42:23 PM,0.0,,,,
25,03/05/16 02:42:24 PM,0.0,,,,
26,03/05/16 02:42:25 PM,0.0,,,,
27,03/05/16 02:42:26 PM,21.5,,,,
28,03/05/16 02:42:27 PM,43.1,,,,
29,03/05/16 02:42:28 PM,53.8,,,,
30,03/05/16 02:42:29 PM,75.3,,,,
31,03/05/16 02:42:30 PM,75.3,,,,
32,03/05/16 02:42:31 PM,64.6,,,,
33,03/05/16 02:42:32 PM,53.8,,,,
34,03/05/16 02:42:33 PM,21.5,,,,
35,03/05/16 02:42:34 PM,21.5,,,,
36,03/05/16 02:42:35 PM,21.5,,,,
37,03/05/16 02:42:36 PM,10.8,,,,
38,03/05/16 02:42:37 PM,10.8,,,,
39,03/05/16 02:42:38 PM,0.0,,,,
40,03/05/16 02:42:39 PM,0.0,,,,
41,03/05/16 02:42:40 PM,0.0,,,,
42,03/05/16 02:42:41 PM,32.3,,,,
43,03/05/16 02:42:42 PM,43.1,,,,
44,03/05/16 02:42:43 PM,43.1,,,,
45,03/05/16 02:42:44 PM,75.3,,,,
46,03/05/16 02:42:45 PM,64.6,,,,
47,03/05/16 02:42:46 PM,64.6,,,,
48,03/05/16 02:42:47 PM,32.3,,,,
49,03/05/16 02:42:48 PM,21.5,,,,
50,03/05/16 02:42:49 PM,21.5,,,,
51,03/05/16 02:42:50 PM,21.5,,,,
52,03/05/16 02:42:51 PM,10.8,,,,
53,03/05/16 02:42:52 PM,0.0,,,,
54,03/05/16 02:42:53 PM,0.0,,,,
55,03/05/16 02:42:54 PM,0.0,,,,
56,03/05/16 02:42:55 PM,10.8,,,,
57,03/05/16 02:42:56 PM,43.1,,,,
58,03/05/16 02:42:57 PM,43.1,,,,
59,03/05/16 02:42:58 PM,75.3,,,,
60,03/05/16 02:42:59 PM,75.3,,,,
61,03/05/16 02:43:00 PM,64.6,,,,
62,03/05/16 02:43:01 PM,53.8,,,,
63,03/05/16 02:43:02 PM,32.3,,,,
64,03/05/16 02:43:03 PM,32.3,,,,
65,03/05/16 02:43:04 PM,21.5,,,,
66,03/05/16 02:43:05 PM,0.0,,,,
67,03/05/16 02:43:06 PM,10.8,,,,
68,03/05/16 02:43:07 PM,0.0,,,,
69,03/05/16 02:43:08 PM,0.0,,,,
70,03/05/16 02:43:09 PM,0.0,,,,
71,03/05/16 02:43:10 PM,32.3,,,,
72,03/05/16 02:43:11 PM,32.3,,,,
73,03/05/16 02:43:12 PM,53.8,,,,
74,03/05/16 02:43:13 PM,75.3,,,,
75,03/05/16 02:43:14 PM,64.6,,,,
76,03/05/16 02:43:15 PM,64.6,,,,
77,03/05/16 02:43:16 PM,53.8,,,,
78,03/05/16 02:43:17 PM,43.1,,,,
79,03/05/16 02:43:18 PM,32.3,,,,
80,03/05/16 02:43:19 PM,21.5,,,,
81,03/05/16 02:43:20 PM,21.5,,,,
82,03/05/16 02:43:21 PM,0.0,,,,
83,03/05/16 02:43:22 PM,0.0,,,,
84,03/05/16 02:43:23 PM,0.0,,,,
85,03/05/16 02:43:24 PM,21.5,,,,
86,03/05/16 02:43:25 PM,32.3,,,,
87,03/05/16 02:43:26 PM,32.3,,,,
88,03/05/16 02:43:27 PM,75.3,,,,
89,03/05/16 02:43:28 PM,75.3,,,,
90,03/05/16 02:43:29 PM,64.6,,,,
91,03/05/16 02:43:30 PM,64.6,,,,
92,03/05/16 02:43:31 PM,53.8,,,,
93,03/05/16 02:43:32 PM,43.1,,,,
94,03/05/16 02:43:33 PM,32.3,,,,
95,03/05/16 02:43:34 PM,10.8,,,,
96,03/05/16 02:43:35 PM,10.8,,,,
97,03/05/16 02:43:36 PM,0.0,,,,
98,03/05/16 02:43:37 PM,0.0,,,,
99,03/05/16 02:43:38 PM,0.0,,,,
100,03/05/16 02:43:39 PM,32.3,,,,
101,03/05/16 02:43:40 PM,32.3,,,,
102,03/05/16 02:43:41 PM,53.8,,,,
103,03/05/16 02:43:42 PM,75.3,,,,
104,03/05/16 02:43:43 PM,75.3,,,,
105,03/05/16 02:43:44 PM,75.3,,,,
106,03/05/16 02:43:45 PM,64.6,,,,
107,03/05/16 02:43:46 PM,53.8,,,,
108,03/05/16 02:43:47 PM,43.1,,,,
109,03/05/16 02:43:48 PM,32.3,,,,
110,03/05/16 02:43:49 PM,21.5,,,,
111,03/05/16 02:43:50 PM,0.0,,,,
112,03/05/16 02:43:51 PM,0.0,,,,
113,03/05/16 02:43:52 PM,0.0,,,,
114,03/05/16 02:43:53 PM,0.0,,,,
115,03/05/16 02:43:54 PM,21.5,,,,
116,03/05/16 02:43:55 PM,32.3,,,,
117,03/05/16 02:43:56 PM,53.8,,,,
118,03/05/16 02:43:57 PM,64.6,,,,
119,03/05/16 02:43:58 PM,75.3,,,,
120,03/05/16 02:43:59 PM,75.3,,,,
121,03/05/16 02:44:00 PM,53.8,,,,
122,03/05/16 02:44:01 PM,53.8,,,,
123,03/05/16 02:44:02 PM,53.8,,,,
124,03/05/16 02:44:03 PM,10.8,,,,
125,03/05/16 02:44:04 PM,0.0,,,,
126,03/05/16 02:44:05 PM,0.0,,,,
127,03/05/16 02:44:06 PM,0.0,,,,
128,03/05/16 02:44:07 PM,0.0,,,,
129,03/05/16 02:44:08 PM,0.0,,,,
130,03/05/16 02:44:09 PM,0.0,,,,
131,03/05/16 02:44:10 PM,0.0,Logged,Logged,,
132,03/05/16 02:44:11 PM,0.0,,,,
133,03/05/16 02:44:12 PM,0.0,,,,
134,03/05/16 02:44:13 PM,0.0,,,,
135,03/05/16 02:44:14 PM,0.0,,,Logged,Logged
