"Plot Title: no_devo_1_8_0_0_0_0"
"#","Date Time, GMT-05:00","Intensity, Lux (LGR S/N: 1262011, SEN S/N: 1262011, LBL: light)","Coupler Attached (LGR S/N: 1262011)","Host Connected (LGR S/N: 1262011)","Stopped (LGR S/N: 1262011)","End Of File (LGR S/N: 1262011)"
1,03/05/16 08:44:00 PM,75.3,,,,
2,03/05/16 08:44:01 PM,64.6,,,,
3,03/05/16 08:44:02 PM,53.8,,,,
4,03/05/16 08:44:03 PM,43.1,,,,
5,03/05/16 08:44:04 PM,43.1,,,,
6,03/05/16 08:44:05 PM,53.8,,,,
7,03/05/16 08:44:06 PM,53.8,,,,
8,03/05/16 08:44:07 PM,53.8,,,,
9,03/05/16 08:44:08 PM,43.1,,,,
10,03/05/16 08:44:09 PM,43.1,,,,
11,03/05/16 08:44:10 PM,43.1,,,,
12,03/05/16 08:44:11 PM,43.1,,,,
13,03/05/16 08:44:12 PM,43.1,,,,
14,03/05/16 08:44:13 PM,43.1,,,,
15,03/05/16 08:44:14 PM,43.1,,,,
16,03/05/16 08:44:15 PM,43.1,,,,
17,03/05/16 08:44:16 PM,43.1,,,,
18,03/05/16 08:44:17 PM,43.1,,,,
19,03/05/16 08:44:18 PM,43.1,,,,
20,03/05/16 08:44:19 PM,43.1,,,,
21,03/05/16 08:44:20 PM,43.1,,,,
22,03/05/16 08:44:21 PM,43.1,,,,
23,03/05/16 08:44:22 PM,43.1,,,,
24,03/05/16 08:44:23 PM,43.1,,,,
25,03/05/16 08:44:24 PM,43.1,,,,
26,03/05/16 08:44:25 PM,43.1,,,,
27,03/05/16 08:44:26 PM,43.1,,,,
28,03/05/16 08:44:27 PM,43.1,,,,
29,03/05/16 08:44:28 PM,43.1,,,,
30,03/05/16 08:44:29 PM,43.1,,,,
31,03/05/16 08:44:30 PM,43.1,,,,
32,03/05/16 08:44:31 PM,43.1,,,,
33,03/05/16 08:44:32 PM,43.1,,,,
34,03/05/16 08:44:33 PM,43.1,,,,
35,03/05/16 08:44:34 PM,43.1,,,,
36,03/05/16 08:44:35 PM,43.1,,,,
37,03/05/16 08:44:36 PM,43.1,,,,
38,03/05/16 08:44:37 PM,43.1,,,,
39,03/05/16 08:44:38 PM,43.1,,,,
40,03/05/16 08:44:39 PM,43.1,,,,
41,03/05/16 08:44:40 PM,43.1,,,,
42,03/05/16 08:44:41 PM,43.1,,,,
43,03/05/16 08:44:42 PM,43.1,,,,
44,03/05/16 08:44:43 PM,43.1,,,,
45,03/05/16 08:44:44 PM,43.1,,,,
46,03/05/16 08:44:45 PM,43.1,,,,
47,03/05/16 08:44:46 PM,43.1,,,,
48,03/05/16 08:44:47 PM,43.1,,,,
49,03/05/16 08:44:48 PM,43.1,,,,
50,03/05/16 08:44:49 PM,43.1,,,,
51,03/05/16 08:44:50 PM,43.1,,,,
52,03/05/16 08:44:51 PM,43.1,,,,
53,03/05/16 08:44:52 PM,43.1,,,,
54,03/05/16 08:44:53 PM,43.1,,,,
55,03/05/16 08:44:54 PM,43.1,,,,
