"Plot Title: nodevo_1_7_0_0_0_0"
"#","Date Time, GMT-05:00","Intensity, Lux (LGR S/N: 1262011, SEN S/N: 1262011, LBL: light)","Coupler Attached (LGR S/N: 1262011)","Host Connected (LGR S/N: 1262011)","Stopped (LGR S/N: 1262011)","End Of File (LGR S/N: 1262011)"
1,03/01/16 05:51:00 PM,21.5,,,,
2,03/01/16 05:51:01 PM,21.5,,,,
3,03/01/16 05:51:02 PM,10.8,,,,
4,03/01/16 05:51:03 PM,21.5,,,,
5,03/01/16 05:51:04 PM,10.8,,,,
6,03/01/16 05:51:05 PM,10.8,,,,
7,03/01/16 05:51:06 PM,10.8,,,,
8,03/01/16 05:51:07 PM,10.8,,,,
9,03/01/16 05:51:08 PM,10.8,,,,
10,03/01/16 05:51:09 PM,10.8,,,,
11,03/01/16 05:51:10 PM,10.8,,,,
12,03/01/16 05:51:11 PM,10.8,,,,
13,03/01/16 05:51:12 PM,10.8,,,,
14,03/01/16 05:51:13 PM,10.8,,,,
15,03/01/16 05:51:14 PM,10.8,,,,
16,03/01/16 05:51:15 PM,10.8,,,,
17,03/01/16 05:51:16 PM,10.8,,,,
18,03/01/16 05:51:17 PM,10.8,,,,
19,03/01/16 05:51:18 PM,10.8,,,,
20,03/01/16 05:51:19 PM,10.8,,,,
21,03/01/16 05:51:20 PM,10.8,,,,
22,03/01/16 05:51:21 PM,10.8,,,,
23,03/01/16 05:51:22 PM,10.8,,,,
24,03/01/16 05:51:23 PM,10.8,,,,
25,03/01/16 05:51:24 PM,10.8,,,,
26,03/01/16 05:51:25 PM,10.8,,,,
27,03/01/16 05:51:26 PM,10.8,,,,
28,03/01/16 05:51:27 PM,10.8,,,,
29,03/01/16 05:51:28 PM,10.8,,,,
30,03/01/16 05:51:29 PM,10.8,,,,
31,03/01/16 05:51:30 PM,10.8,,,,
32,03/01/16 05:51:31 PM,10.8,,,,
33,03/01/16 05:51:32 PM,10.8,,,,
34,03/01/16 05:51:33 PM,10.8,,,,
35,03/01/16 05:51:34 PM,10.8,,,,
36,03/01/16 05:51:35 PM,10.8,,,,
37,03/01/16 05:51:36 PM,10.8,,,,
38,03/01/16 05:51:37 PM,10.8,,,,
39,03/01/16 05:51:38 PM,10.8,,,,
40,03/01/16 05:51:39 PM,10.8,,,,
41,03/01/16 05:51:40 PM,10.8,,,,
42,03/01/16 05:51:41 PM,10.8,,,,
43,03/01/16 05:51:42 PM,10.8,,,,
44,03/01/16 05:51:43 PM,10.8,,,,
45,03/01/16 05:51:44 PM,10.8,,,,
46,03/01/16 05:51:45 PM,10.8,,,,
47,03/01/16 05:51:46 PM,10.8,,,,
48,03/01/16 05:51:47 PM,10.8,,,,
49,03/01/16 05:51:48 PM,10.8,,,,
50,03/01/16 05:51:49 PM,10.8,,,,
51,03/01/16 05:51:50 PM,10.8,,,,
52,03/01/16 05:51:51 PM,10.8,,,,
53,03/01/16 05:51:52 PM,10.8,,,,
54,03/01/16 05:51:53 PM,10.8,,,,
55,03/01/16 05:51:54 PM,10.8,,,,
56,03/01/16 05:51:55 PM,10.8,,,,
57,03/01/16 05:51:56 PM,10.8,,,,
58,03/01/16 05:51:57 PM,10.8,,,,
59,03/01/16 05:51:58 PM,10.8,,,,
60,03/01/16 05:51:59 PM,10.8,,,,
61,03/01/16 05:52:00 PM,10.8,,,,
62,03/01/16 05:52:01 PM,10.8,,,,
63,03/01/16 05:52:02 PM,10.8,,,,
64,03/01/16 05:52:03 PM,10.8,,,,
65,03/01/16 05:52:04 PM,10.8,,,,
66,03/01/16 05:52:05 PM,10.8,,,,
67,03/01/16 05:52:06 PM,10.8,,,,
68,03/01/16 05:52:07 PM,10.8,,,,
69,03/01/16 05:52:08 PM,10.8,,,,
70,03/01/16 05:52:09 PM,10.8,,,,
71,03/01/16 05:52:10 PM,10.8,,,,
72,03/01/16 05:52:11 PM,10.8,,,,
73,03/01/16 05:52:12 PM,10.8,,,,
74,03/01/16 05:52:13 PM,10.8,,,,
75,03/01/16 05:52:14 PM,10.8,,,,
76,03/01/16 05:52:15 PM,10.8,,,,
77,03/01/16 05:52:16 PM,10.8,,,,
78,03/01/16 05:52:17 PM,10.8,,,,
79,03/01/16 05:52:18 PM,10.8,,,,
80,03/01/16 05:52:19 PM,10.8,,,,
81,03/01/16 05:52:20 PM,10.8,,,,
82,03/01/16 05:52:21 PM,10.8,,,,
83,03/01/16 05:52:22 PM,10.8,,,,
84,03/01/16 05:52:23 PM,10.8,,,,
85,03/01/16 05:52:24 PM,10.8,,,,
86,03/01/16 05:52:25 PM,10.8,,,,
87,03/01/16 05:52:26 PM,10.8,,,,
88,03/01/16 05:52:27 PM,10.8,,,,
89,03/01/16 05:52:28 PM,10.8,,,,
90,03/01/16 05:52:29 PM,10.8,,,,
91,03/01/16 05:52:30 PM,10.8,,,,
92,03/01/16 05:52:31 PM,10.8,,,,
93,03/01/16 05:52:32 PM,10.8,,,,
94,03/01/16 05:52:33 PM,10.8,,,,
95,03/01/16 05:52:34 PM,10.8,,,,
96,03/01/16 05:52:35 PM,10.8,,,,
97,03/01/16 05:52:36 PM,10.8,,,,
98,03/01/16 05:52:37 PM,10.8,,,,
99,03/01/16 05:52:38 PM,10.8,,,,
100,03/01/16 05:52:39 PM,10.8,,,,
101,03/01/16 05:52:40 PM,10.8,,,,
102,03/01/16 05:52:41 PM,10.8,,,,
103,03/01/16 05:52:42 PM,10.8,,,,
104,03/01/16 05:52:43 PM,10.8,,,,
105,03/01/16 05:52:44 PM,10.8,,,,
106,03/01/16 05:52:45 PM,10.8,,,,
107,03/01/16 05:52:46 PM,10.8,,,,
108,03/01/16 05:52:47 PM,10.8,,,,
109,03/01/16 05:52:48 PM,10.8,,,,
