"Plot Title: devo_1_8_0_0_0_0"
"#","Date Time, GMT-05:00","Intensity, Lux (LGR S/N: 1262011, SEN S/N: 1262011, LBL: light)","Host Connected (LGR S/N: 1262011)","Coupler Attached (LGR S/N: 1262011)","Stopped (LGR S/N: 1262011)","End Of File (LGR S/N: 1262011)"
1,03/01/16 05:59:00 PM,21.5,,,,
2,03/01/16 05:59:01 PM,21.5,,,,
3,03/01/16 05:59:02 PM,10.8,,,,
4,03/01/16 05:59:03 PM,10.8,,,,
5,03/01/16 05:59:04 PM,10.8,,,,
6,03/01/16 05:59:05 PM,10.8,,,,
7,03/01/16 05:59:06 PM,10.8,,,,
8,03/01/16 05:59:07 PM,10.8,,,,
9,03/01/16 05:59:08 PM,10.8,,,,
10,03/01/16 05:59:09 PM,10.8,,,,
11,03/01/16 05:59:10 PM,10.8,,,,
12,03/01/16 05:59:11 PM,10.8,,,,
13,03/01/16 05:59:12 PM,10.8,,,,
14,03/01/16 05:59:13 PM,0.0,,,,
15,03/01/16 05:59:14 PM,10.8,,,,
16,03/01/16 05:59:15 PM,10.8,,,,
17,03/01/16 05:59:16 PM,10.8,,,,
18,03/01/16 05:59:17 PM,10.8,,,,
19,03/01/16 05:59:18 PM,10.8,,,,
20,03/01/16 05:59:19 PM,10.8,,,,
21,03/01/16 05:59:20 PM,10.8,,,,
22,03/01/16 05:59:21 PM,10.8,,,,
23,03/01/16 05:59:22 PM,10.8,,,,
24,03/01/16 05:59:23 PM,10.8,,,,
25,03/01/16 05:59:24 PM,10.8,,,,
26,03/01/16 05:59:25 PM,10.8,,,,
27,03/01/16 05:59:26 PM,10.8,,,,
28,03/01/16 05:59:27 PM,10.8,,,,
29,03/01/16 05:59:28 PM,10.8,,,,
30,03/01/16 05:59:29 PM,10.8,,,,
31,03/01/16 05:59:30 PM,10.8,,,,
32,03/01/16 05:59:31 PM,10.8,,,,
33,03/01/16 05:59:32 PM,10.8,,,,
