"Plot Title: NO_Devo_1_0_0_0_0_0"
"#","Date Time, GMT-05:00","Intensity, Lux (LGR S/N: 1262011, SEN S/N: 1262011, LBL: light)","Coupler Attached (LGR S/N: 1262011)","Host Connected (LGR S/N: 1262011)","Stopped (LGR S/N: 1262011)","End Of File (LGR S/N: 1262011)"
1,03/01/16 02:32:00 PM,21.5,,,,
2,03/01/16 02:32:01 PM,0.0,,,,
3,03/01/16 02:32:02 PM,0.0,,,,
4,03/01/16 02:32:03 PM,10.8,,,,
5,03/01/16 02:32:04 PM,21.5,,,,
6,03/01/16 02:32:05 PM,10.8,,,,
7,03/01/16 02:32:06 PM,21.5,,,,
8,03/01/16 02:32:07 PM,10.8,,,,
9,03/01/16 02:32:08 PM,0.0,,,,
10,03/01/16 02:32:09 PM,0.0,,,,
11,03/01/16 02:32:10 PM,21.5,,,,
12,03/01/16 02:32:11 PM,21.5,,,,
13,03/01/16 02:32:12 PM,21.5,,,,
14,03/01/16 02:32:13 PM,10.8,,,,
15,03/01/16 02:32:14 PM,0.0,,,,
16,03/01/16 02:32:15 PM,0.0,,,,
17,03/01/16 02:32:16 PM,10.8,,,,
18,03/01/16 02:32:17 PM,21.5,,,,
19,03/01/16 02:32:18 PM,21.5,,,,
20,03/01/16 02:32:19 PM,0.0,,,,
21,03/01/16 02:32:20 PM,0.0,,,,
22,03/01/16 02:32:21 PM,0.0,,,,
23,03/01/16 02:32:22 PM,0.0,,,,
24,03/01/16 02:32:23 PM,21.5,,,,
25,03/01/16 02:32:24 PM,0.0,,,,
26,03/01/16 02:32:25 PM,21.5,,,,
27,03/01/16 02:32:26 PM,10.8,,,,
28,03/01/16 02:32:27 PM,0.0,,,,
29,03/01/16 02:32:28 PM,0.0,,,,
30,03/01/16 02:32:29 PM,21.5,,,,
31,03/01/16 02:32:30 PM,21.5,,,,
32,03/01/16 02:32:31 PM,21.5,,,,
33,03/01/16 02:32:32 PM,10.8,,,,
34,03/01/16 02:32:33 PM,0.0,,,,
35,03/01/16 02:32:34 PM,0.0,,,,
36,03/01/16 02:32:35 PM,10.8,,,,
37,03/01/16 02:32:36 PM,21.5,,,,
38,03/01/16 02:32:37 PM,21.5,,,,
39,03/01/16 02:32:38 PM,21.5,,,,
40,03/01/16 02:32:39 PM,0.0,,,,
41,03/01/16 02:32:40 PM,0.0,,,,
42,03/01/16 02:32:41 PM,0.0,,,,
43,03/01/16 02:32:42 PM,21.5,,,,
44,03/01/16 02:32:43 PM,10.8,,,,
45,03/01/16 02:32:44 PM,21.5,,,,
46,03/01/16 02:32:45 PM,10.8,,,,
47,03/01/16 02:32:46 PM,0.0,,,,
48,03/01/16 02:32:47 PM,0.0,,,,
49,03/01/16 02:32:48 PM,21.5,,,,
50,03/01/16 02:32:49 PM,10.8,,,,
51,03/01/16 02:32:50 PM,21.5,,,,
52,03/01/16 02:32:51 PM,0.0,,,,
53,03/01/16 02:32:52 PM,0.0,,,,
54,03/01/16 02:32:53 PM,0.0,,,,
55,03/01/16 02:32:54 PM,10.8,,,,
56,03/01/16 02:32:55 PM,21.5,,,,
57,03/01/16 02:32:56 PM,21.5,,,,
58,03/01/16 02:32:57 PM,21.5,,,,
59,03/01/16 02:32:58 PM,10.8,,,,
60,03/01/16 02:32:59 PM,0.0,,,,
61,03/01/16 02:33:00 PM,0.0,,,,
62,03/01/16 02:33:01 PM,21.5,,,,
63,03/01/16 02:33:02 PM,21.5,,,,
