"Plot Title: devo_2_2_0_0_0_0"
"#","Date Time, GMT-05:00","Intensity, Lux (LGR S/N: 1262011, SEN S/N: 1262011, LBL: light)","Coupler Attached (LGR S/N: 1262011)","Host Connected (LGR S/N: 1262011)","Stopped (LGR S/N: 1262011)","End Of File (LGR S/N: 1262011)"
1,03/02/16 10:08:00 PM,21.5,,,,
2,03/02/16 10:08:01 PM,21.5,,,,
3,03/02/16 10:08:02 PM,21.5,,,,
4,03/02/16 10:08:03 PM,10.8,,,,
5,03/02/16 10:08:04 PM,10.8,,,,
6,03/02/16 10:08:05 PM,10.8,,,,
7,03/02/16 10:08:06 PM,10.8,,,,
8,03/02/16 10:08:07 PM,10.8,,,,
9,03/02/16 10:08:08 PM,10.8,,,,
10,03/02/16 10:08:09 PM,10.8,,,,
11,03/02/16 10:08:10 PM,10.8,,,,
12,03/02/16 10:08:11 PM,10.8,,,,
13,03/02/16 10:08:12 PM,10.8,,,,
14,03/02/16 10:08:13 PM,10.8,,,,
15,03/02/16 10:08:14 PM,10.8,,,,
16,03/02/16 10:08:15 PM,10.8,,,,
17,03/02/16 10:08:16 PM,10.8,,,,
18,03/02/16 10:08:17 PM,10.8,,,,
19,03/02/16 10:08:18 PM,10.8,,,,
20,03/02/16 10:08:19 PM,10.8,,,,
21,03/02/16 10:08:20 PM,10.8,,,,
22,03/02/16 10:08:21 PM,10.8,,,,
23,03/02/16 10:08:22 PM,10.8,,,,
24,03/02/16 10:08:23 PM,10.8,,,,
25,03/02/16 10:08:24 PM,10.8,,,,
26,03/02/16 10:08:25 PM,10.8,,,,
27,03/02/16 10:08:26 PM,10.8,,,,
28,03/02/16 10:08:27 PM,10.8,,,,
29,03/02/16 10:08:28 PM,10.8,,,,
30,03/02/16 10:08:29 PM,10.8,,,,
31,03/02/16 10:08:30 PM,10.8,,,,
32,03/02/16 10:08:31 PM,10.8,,,,
33,03/02/16 10:08:32 PM,10.8,,,,
34,03/02/16 10:08:33 PM,10.8,,,,
35,03/02/16 10:08:34 PM,10.8,,,,
36,03/02/16 10:08:35 PM,10.8,,,,
37,03/02/16 10:08:36 PM,10.8,,,,
38,03/02/16 10:08:37 PM,10.8,,,,
39,03/02/16 10:08:38 PM,10.8,,,,
40,03/02/16 10:08:39 PM,10.8,,,,
41,03/02/16 10:08:40 PM,10.8,,,,
42,03/02/16 10:08:41 PM,10.8,,,,
43,03/02/16 10:08:42 PM,10.8,,,,
44,03/02/16 10:08:43 PM,10.8,,,,
45,03/02/16 10:08:44 PM,10.8,,,,
46,03/02/16 10:08:45 PM,10.8,,,,
47,03/02/16 10:08:46 PM,10.8,,,,
48,03/02/16 10:08:47 PM,10.8,,,,
49,03/02/16 10:08:48 PM,10.8,,,,
50,03/02/16 10:08:49 PM,10.8,,,,
51,03/02/16 10:08:50 PM,10.8,,,,
52,03/02/16 10:08:51 PM,10.8,,,,
53,03/02/16 10:08:52 PM,10.8,,,,
54,03/02/16 10:08:53 PM,10.8,,,,
55,03/02/16 10:08:54 PM,10.8,,,,
56,03/02/16 10:08:55 PM,10.8,,,,
57,03/02/16 10:08:56 PM,10.8,,,,
58,03/02/16 10:08:57 PM,10.8,,,,
59,03/02/16 10:08:58 PM,10.8,,,,
60,03/02/16 10:08:59 PM,10.8,,,,
61,03/02/16 10:09:00 PM,10.8,,,,
62,03/02/16 10:09:01 PM,10.8,,,,
63,03/02/16 10:09:02 PM,10.8,,,,
64,03/02/16 10:09:03 PM,10.8,,,,
65,03/02/16 10:09:04 PM,10.8,,,,
66,03/02/16 10:09:05 PM,10.8,,,,
67,03/02/16 10:09:06 PM,10.8,,,,
68,03/02/16 10:09:07 PM,10.8,,,,
69,03/02/16 10:09:08 PM,10.8,,,,
70,03/02/16 10:09:09 PM,10.8,,,,
71,03/02/16 10:09:10 PM,10.8,,,,
72,03/02/16 10:09:11 PM,10.8,,,,
73,03/02/16 10:09:12 PM,10.8,,,,
74,03/02/16 10:09:13 PM,10.8,,,,
75,03/02/16 10:09:14 PM,10.8,,,,
76,03/02/16 10:09:15 PM,10.8,,,,
77,03/02/16 10:09:16 PM,10.8,,,,
78,03/02/16 10:09:17 PM,10.8,,,,
79,03/02/16 10:09:18 PM,10.8,,,,
80,03/02/16 10:09:19 PM,10.8,,,,
81,03/02/16 10:09:20 PM,10.8,,,,
82,03/02/16 10:09:21 PM,10.8,,,,
83,03/02/16 10:09:22 PM,10.8,,,,
84,03/02/16 10:09:23 PM,10.8,,,,
85,03/02/16 10:09:24 PM,10.8,,,,
86,03/02/16 10:09:25 PM,10.8,,,,
87,03/02/16 10:09:26 PM,10.8,,,,
88,03/02/16 10:09:27 PM,10.8,,,,
89,03/02/16 10:09:28 PM,10.8,,,,
90,03/02/16 10:09:29 PM,10.8,,,,
91,03/02/16 10:09:30 PM,10.8,,,,
92,03/02/16 10:09:31 PM,10.8,,,,
93,03/02/16 10:09:32 PM,10.8,,,,
94,03/02/16 10:09:33 PM,10.8,,,,
95,03/02/16 10:09:34 PM,10.8,,,,
96,03/02/16 10:09:35 PM,10.8,,,,
97,03/02/16 10:09:36 PM,10.8,,,,
98,03/02/16 10:09:37 PM,10.8,,,,
99,03/02/16 10:09:38 PM,10.8,,,,
100,03/02/16 10:09:39 PM,10.8,,,,
101,03/02/16 10:09:40 PM,10.8,,,,
102,03/02/16 10:09:41 PM,10.8,,,,
103,03/02/16 10:09:42 PM,10.8,,,,
104,03/02/16 10:09:43 PM,10.8,,,,
105,03/02/16 10:09:44 PM,10.8,,,,
