"Plot Title: gen_2_baseline"
"#","Date Time, GMT-05:00","Intensity, Lux (LGR S/N: 1262011, SEN S/N: 1262011, LBL: light)","Host Connected (LGR S/N: 1262011)","Coupler Attached (LGR S/N: 1262011)","Stopped (LGR S/N: 1262011)","End Of File (LGR S/N: 1262011)"
1,03/02/16 09:51:00 PM,21.5,,,,
2,03/02/16 09:51:01 PM,43.1,,,,
3,03/02/16 09:51:02 PM,21.5,,,,
4,03/02/16 09:51:03 PM,107.6,,,,
5,03/02/16 09:51:04 PM,183.0,,,,
6,03/02/16 09:51:05 PM,269.1,,,,
7,03/02/16 09:51:06 PM,398.3,,,,
8,03/02/16 09:51:07 PM,538.2,,,,
9,03/02/16 09:51:08 PM,688.9,,,,
10,03/02/16 09:51:09 PM,861.1,,,,
11,03/02/16 09:51:10 PM,1044.1,,,,
12,03/02/16 09:51:11 PM,1302.4,,,,
13,03/02/16 09:51:12 PM,1550.0,,,,
14,03/02/16 09:51:13 PM,1894.5,,,,
15,03/02/16 09:51:14 PM,2325.0,,,,
16,03/02/16 09:51:15 PM,2755.6,,,,
17,03/02/16 09:51:16 PM,3272.2,,,,
18,03/02/16 09:51:17 PM,3788.9,,,,
19,03/02/16 09:51:18 PM,4477.8,,,,
20,03/02/16 09:51:19 PM,4650.0,,,,
21,03/02/16 09:51:20 PM,4477.8,,,,
22,03/02/16 09:51:21 PM,3961.1,,,,
23,03/02/16 09:51:22 PM,3961.1,,,,
24,03/02/16 09:51:23 PM,4133.4,,,,
25,03/02/16 09:51:24 PM,4305.6,,,,
26,03/02/16 09:51:25 PM,4650.0,,,,
27,03/02/16 09:51:26 PM,4650.0,,,,
28,03/02/16 09:51:27 PM,4650.0,,,,
29,03/02/16 09:51:28 PM,4650.0,,,,
30,03/02/16 09:51:29 PM,4650.0,,,,
31,03/02/16 09:51:30 PM,4477.8,,,,
32,03/02/16 09:51:31 PM,4477.8,,,,
33,03/02/16 09:51:32 PM,4305.6,,,,
34,03/02/16 09:51:33 PM,4305.6,,,,
35,03/02/16 09:51:34 PM,4305.6,,,,
36,03/02/16 09:51:35 PM,4133.4,,,,
37,03/02/16 09:51:36 PM,4133.4,,,,
38,03/02/16 09:51:37 PM,4133.4,,,,
39,03/02/16 09:51:38 PM,4133.4,,,,
40,03/02/16 09:51:39 PM,4133.4,,,,
41,03/02/16 09:51:40 PM,4133.4,,,,
42,03/02/16 09:51:41 PM,4133.4,,,,
43,03/02/16 09:51:42 PM,4133.4,,,,
44,03/02/16 09:51:43 PM,4133.4,,,,
45,03/02/16 09:51:44 PM,4133.4,,,,
46,03/02/16 09:51:45 PM,4133.4,,,,
47,03/02/16 09:51:46 PM,4133.4,,,,
48,03/02/16 09:51:47 PM,4305.6,,,,
49,03/02/16 09:51:48 PM,4305.6,,,,
50,03/02/16 09:51:49 PM,4305.6,,,,
51,03/02/16 09:51:50 PM,4305.6,,,,
52,03/02/16 09:51:51 PM,4305.6,,,,
53,03/02/16 09:51:52 PM,4477.8,,,,
54,03/02/16 09:51:53 PM,4477.8,,,,
55,03/02/16 09:51:54 PM,4477.8,,,,
56,03/02/16 09:51:55 PM,4477.8,,,,
57,03/02/16 09:51:56 PM,4477.8,,,,
58,03/02/16 09:51:57 PM,4477.8,,,,
59,03/02/16 09:51:58 PM,4477.8,,,,
60,03/02/16 09:51:59 PM,4477.8,,,,
61,03/02/16 09:52:00 PM,4305.6,,,,
62,03/02/16 09:52:01 PM,4305.6,,,,
63,03/02/16 09:52:02 PM,4305.6,,,,
64,03/02/16 09:52:03 PM,4133.4,,,,
65,03/02/16 09:52:04 PM,4133.4,,,,
66,03/02/16 09:52:05 PM,4133.4,,,,
67,03/02/16 09:52:06 PM,4133.4,,,,
68,03/02/16 09:52:07 PM,4133.4,,,,
69,03/02/16 09:52:08 PM,4133.4,,,,
70,03/02/16 09:52:09 PM,4133.4,,,,
71,03/02/16 09:52:10 PM,4305.6,,,,
72,03/02/16 09:52:11 PM,4305.6,,,,
73,03/02/16 09:52:12 PM,4305.6,,,,
74,03/02/16 09:52:13 PM,4305.6,,,,
75,03/02/16 09:52:14 PM,4477.8,,,,
76,03/02/16 09:52:15 PM,4477.8,,,,
77,03/02/16 09:52:16 PM,4477.8,,,,
78,03/02/16 09:52:17 PM,4477.8,,,,
79,03/02/16 09:52:18 PM,4477.8,,,,
80,03/02/16 09:52:19 PM,4477.8,,,,
81,03/02/16 09:52:20 PM,4477.8,,,,
82,03/02/16 09:52:21 PM,4305.6,,,,
83,03/02/16 09:52:22 PM,4305.6,,,,
84,03/02/16 09:52:23 PM,4305.6,,,,
85,03/02/16 09:52:24 PM,4305.6,,,,
86,03/02/16 09:52:25 PM,4133.4,,,,
87,03/02/16 09:52:26 PM,4133.4,,,,
88,03/02/16 09:52:27 PM,4133.4,,,,
89,03/02/16 09:52:28 PM,4133.4,,,,
90,03/02/16 09:52:29 PM,4133.4,,,,
91,03/02/16 09:52:30 PM,4133.4,,,,
92,03/02/16 09:52:31 PM,4133.4,,,,
93,03/02/16 09:52:32 PM,4133.4,,,,
94,03/02/16 09:52:33 PM,4133.4,,,,
95,03/02/16 09:52:34 PM,4133.4,,,,
96,03/02/16 09:52:35 PM,4305.6,,,,
97,03/02/16 09:52:36 PM,4305.6,,,,
98,03/02/16 09:52:37 PM,4305.6,,,,
99,03/02/16 09:52:38 PM,4305.6,,,,
100,03/02/16 09:52:39 PM,4305.6,,,,
101,03/02/16 09:52:40 PM,4305.6,,,,
102,03/02/16 09:52:41 PM,4305.6,,,,
103,03/02/16 09:52:42 PM,4477.8,,,,
104,03/02/16 09:52:43 PM,4477.8,,,,
105,03/02/16 09:52:44 PM,4477.8,,,,
106,03/02/16 09:52:45 PM,4477.8,,,,
107,03/02/16 09:52:46 PM,4477.8,,,,
