"Plot Title: devo_2_3_0_0_0_0"
"#","Date Time, GMT-05:00","Intensity, Lux (LGR S/N: 1262011, SEN S/N: 1262011, LBL: light)","Coupler Attached (LGR S/N: 1262011)","Host Connected (LGR S/N: 1262011)","Stopped (LGR S/N: 1262011)","End Of File (LGR S/N: 1262011)"
1,03/02/16 10:13:00 PM,10.8,,,,
2,03/02/16 10:13:01 PM,10.8,,,,
3,03/02/16 10:13:02 PM,10.8,,,,
4,03/02/16 10:13:03 PM,10.8,,,,
5,03/02/16 10:13:04 PM,10.8,,,,
6,03/02/16 10:13:05 PM,10.8,,,,
7,03/02/16 10:13:06 PM,10.8,,,,
8,03/02/16 10:13:07 PM,10.8,,,,
9,03/02/16 10:13:08 PM,10.8,,,,
10,03/02/16 10:13:09 PM,10.8,,,,
11,03/02/16 10:13:10 PM,10.8,,,,
12,03/02/16 10:13:11 PM,10.8,,,,
13,03/02/16 10:13:12 PM,10.8,,,,
14,03/02/16 10:13:13 PM,10.8,,,,
15,03/02/16 10:13:14 PM,10.8,,,,
16,03/02/16 10:13:15 PM,10.8,,,,
17,03/02/16 10:13:16 PM,10.8,,,,
18,03/02/16 10:13:17 PM,10.8,,,,
19,03/02/16 10:13:18 PM,10.8,,,,
20,03/02/16 10:13:19 PM,10.8,,,,
21,03/02/16 10:13:20 PM,10.8,,,,
22,03/02/16 10:13:21 PM,10.8,,,,
23,03/02/16 10:13:22 PM,10.8,,,,
24,03/02/16 10:13:23 PM,10.8,,,,
25,03/02/16 10:13:24 PM,10.8,,,,
26,03/02/16 10:13:25 PM,10.8,,,,
27,03/02/16 10:13:26 PM,10.8,,,,
28,03/02/16 10:13:27 PM,10.8,,,,
29,03/02/16 10:13:28 PM,10.8,,,,
30,03/02/16 10:13:29 PM,10.8,,,,
31,03/02/16 10:13:30 PM,10.8,,,,
32,03/02/16 10:13:31 PM,10.8,,,,
33,03/02/16 10:13:32 PM,10.8,,,,
34,03/02/16 10:13:33 PM,10.8,,,,
35,03/02/16 10:13:34 PM,10.8,,,,
36,03/02/16 10:13:35 PM,10.8,,,,
37,03/02/16 10:13:36 PM,10.8,,,,
38,03/02/16 10:13:37 PM,10.8,,,,
39,03/02/16 10:13:38 PM,10.8,,,,
40,03/02/16 10:13:39 PM,10.8,,,,
41,03/02/16 10:13:40 PM,10.8,,,,
42,03/02/16 10:13:41 PM,10.8,,,,
43,03/02/16 10:13:42 PM,10.8,,,,
44,03/02/16 10:13:43 PM,10.8,,,,
45,03/02/16 10:13:44 PM,10.8,,,,
46,03/02/16 10:13:45 PM,10.8,,,,
47,03/02/16 10:13:46 PM,10.8,,,,
48,03/02/16 10:13:47 PM,10.8,,,,
49,03/02/16 10:13:48 PM,10.8,,,,
50,03/02/16 10:13:49 PM,10.8,,,,
51,03/02/16 10:13:50 PM,10.8,,,,
52,03/02/16 10:13:51 PM,10.8,,,,
53,03/02/16 10:13:52 PM,10.8,,,,
54,03/02/16 10:13:53 PM,10.8,,,,
55,03/02/16 10:13:54 PM,10.8,,,,
56,03/02/16 10:13:55 PM,10.8,,,,
57,03/02/16 10:13:56 PM,10.8,,,,
58,03/02/16 10:13:57 PM,10.8,,,,
59,03/02/16 10:13:58 PM,10.8,,,,
60,03/02/16 10:13:59 PM,10.8,,,,
61,03/02/16 10:14:00 PM,10.8,,,,
62,03/02/16 10:14:01 PM,10.8,,,,
63,03/02/16 10:14:02 PM,10.8,,,,
64,03/02/16 10:14:03 PM,10.8,,,,
65,03/02/16 10:14:04 PM,10.8,,,,
66,03/02/16 10:14:05 PM,10.8,,,,
67,03/02/16 10:14:06 PM,10.8,,,,
68,03/02/16 10:14:07 PM,10.8,,,,
69,03/02/16 10:14:08 PM,10.8,,,,
70,03/02/16 10:14:09 PM,10.8,,,,
71,03/02/16 10:14:10 PM,10.8,,,,
72,03/02/16 10:14:11 PM,10.8,,,,
73,03/02/16 10:14:12 PM,10.8,,,,
74,03/02/16 10:14:13 PM,10.8,,,,
75,03/02/16 10:14:14 PM,10.8,,,,
76,03/02/16 10:14:15 PM,10.8,,,,
77,03/02/16 10:14:16 PM,10.8,,,,
78,03/02/16 10:14:17 PM,10.8,,,,
79,03/02/16 10:14:18 PM,10.8,,,,
80,03/02/16 10:14:19 PM,10.8,,,,
81,03/02/16 10:14:20 PM,10.8,,,,
82,03/02/16 10:14:21 PM,10.8,,,,
83,03/02/16 10:14:22 PM,10.8,,,,
84,03/02/16 10:14:23 PM,10.8,,,,
85,03/02/16 10:14:24 PM,10.8,,,,
86,03/02/16 10:14:25 PM,10.8,,,,
87,03/02/16 10:14:26 PM,10.8,,,,
88,03/02/16 10:14:27 PM,10.8,,,,
89,03/02/16 10:14:28 PM,10.8,,,,
90,03/02/16 10:14:29 PM,10.8,,,,
91,03/02/16 10:14:30 PM,10.8,,,,
92,03/02/16 10:14:31 PM,10.8,,,,
93,03/02/16 10:14:32 PM,10.8,,,,
94,03/02/16 10:14:33 PM,10.8,,,,
95,03/02/16 10:14:34 PM,10.8,,,,
96,03/02/16 10:14:35 PM,10.8,,,,
97,03/02/16 10:14:36 PM,10.8,,,,
98,03/02/16 10:14:37 PM,10.8,,,,
99,03/02/16 10:14:38 PM,10.8,,,,
100,03/02/16 10:14:39 PM,10.8,,,,
101,03/02/16 10:14:40 PM,10.8,,,,
102,03/02/16 10:14:41 PM,10.8,,,,
103,03/02/16 10:14:42 PM,10.8,,,,
104,03/02/16 10:14:43 PM,10.8,,,,
105,03/02/16 10:14:44 PM,10.8,,,,
106,03/02/16 10:14:45 PM,10.8,,,,
107,03/02/16 10:14:46 PM,10.8,,,,
108,03/02/16 10:14:47 PM,10.8,,,,
109,03/02/16 10:14:48 PM,10.8,,,,
110,03/02/16 10:14:49 PM,10.8,,,,
111,03/02/16 10:14:50 PM,10.8,,,,
112,03/02/16 10:14:51 PM,10.8,,,,
113,03/02/16 10:14:52 PM,10.8,,,,
114,03/02/16 10:14:53 PM,10.8,,,,
115,03/02/16 10:14:54 PM,10.8,,,,
116,03/02/16 10:14:55 PM,10.8,,,,
117,03/02/16 10:14:56 PM,10.8,,,,
118,03/02/16 10:14:57 PM,10.8,,,,
119,03/02/16 10:14:58 PM,10.8,,,,
120,03/02/16 10:14:59 PM,10.8,,,,
121,03/02/16 10:15:00 PM,10.8,,,,
122,03/02/16 10:15:01 PM,10.8,,,,
123,03/02/16 10:15:02 PM,10.8,,,,
124,03/02/16 10:15:03 PM,10.8,,,,
125,03/02/16 10:15:04 PM,10.8,,,,
126,03/02/16 10:15:05 PM,10.8,,,,
127,03/02/16 10:15:06 PM,10.8,,,,
128,03/02/16 10:15:07 PM,10.8,,,,
129,03/02/16 10:15:08 PM,10.8,,,,
130,03/02/16 10:15:09 PM,10.8,,,,
131,03/02/16 10:15:10 PM,10.8,,,,
132,03/02/16 10:15:11 PM,0.0,,,,
133,03/02/16 10:15:12 PM,0.0,,,,
134,03/02/16 10:15:13 PM,0.0,,,,
135,03/02/16 10:15:14 PM,0.0,,,,
136,03/02/16 10:15:15 PM,0.0,Logged,Logged,,
137,03/02/16 10:15:16 PM,0.0,,,,
138,03/02/16 10:15:17 PM,0.0,,,,
139,03/02/16 10:15:18 PM,0.0,,,,
140,03/02/16 10:15:19 PM,0.0,,,,
141,03/02/16 10:15:20 PM,0.0,,,Logged,Logged
